交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150624,IF1507                        ,期货公司,3599920,-489064,126775,-6882,126775,-6882
20150624,IF1507                        ,非期货公司,0,0,0,0,0,0
20150624,IF1509                        ,期货公司,218094,-64580,36300,-327,36300,-327
20150624,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150624,IF1507                        ,1,中信期货    ,329456,-11897,中信期货    ,15105,1577,中信期货    ,17453,-2207
20150624,IF1507                        ,2,海通期货    ,190797,-33429,海通期货    ,9692,-1210,海通期货    ,15365,-2473
20150624,IF1507                        ,3,申银万国    ,190152,-11233,光大期货    ,8796,187,国泰君安    ,8898,-82
20150624,IF1507                        ,4,华鑫期货    ,166188,31435,倍特期货    ,6247,589,广发期货    ,6108,-2761
20150624,IF1507                        ,5,南华期货    ,162563,-51253,浙商期货    ,6071,-107,永安期货    ,5804,529
20150624,IF1507                        ,6,国泰君安    ,147321,-46609,永安期货    ,5606,-689,上海东证    ,4911,212
20150624,IF1507                        ,7,兴证期货    ,137911,-35410,国泰君安    ,5526,461,华泰期货    ,4469,-965
20150624,IF1507                        ,8,华泰期货    ,137466,-24973,安信期货    ,4665,-295,财富期货    ,4267,-419
20150624,IF1507                        ,9,光大期货    ,117346,-34531,国信期货    ,4002,-58,方正中期    ,4258,571
20150624,IF1507                        ,10,方正中期    ,110414,-820,方正中期    ,3454,-835,中银国际    ,4131,-439
20150624,IF1507                        ,11,招商期货    ,105806,-52009,招商期货    ,3405,246,中信建投    ,3469,-88
20150624,IF1507                        ,12,五矿期货    ,99676,-335,中国国际    ,2776,356,国信期货    ,3408,-223
20150624,IF1507                        ,13,银河期货    ,98494,-312,广发期货    ,2472,110,新湖期货    ,3238,-27
20150624,IF1507                        ,14,上海东证    ,93782,-3545,宏源期货    ,2414,-163,申银万国    ,3028,509
20150624,IF1507                        ,15,广发期货    ,93193,-20997,瑞达期货    ,2323,-8,银河期货    ,2741,-80
20150624,IF1507                        ,16,瑞达期货    ,79971,-3459,大地期货    ,2278,-68,南华期货    ,2531,380
20150624,IF1507                        ,17,浙商期货    ,53728,-1685,银河期货    ,2241,-160,光大期货    ,2450,-423
20150624,IF1507                        ,18,鲁证期货    ,53430,-9378,宝城期货    ,2014,446,浙商期货    ,2389,387
20150624,IF1507                        ,19,永安期货    ,50752,-14306,华泰期货    ,1850,-565,鲁证期货    ,2351,-215
20150624,IF1507                        ,20,国信期货    ,48237,-6651,一德期货    ,1829,-119,西部期货    ,2049,64
20150624,IF1509                        ,1,中信期货    ,44594,-7030,中信期货    ,5917,-906,华泰期货    ,6485,167
20150624,IF1509                        ,2,华鑫期货    ,20101,-3292,申银万国    ,4385,254,中信期货    ,5248,8
20150624,IF1509                        ,3,招商期货    ,12043,2169,海通期货    ,2178,-75,广发期货    ,5184,-4
20150624,IF1509                        ,4,五矿期货    ,9678,-3910,国泰君安    ,1909,-35,银河期货    ,2879,-21
20150624,IF1509                        ,5,光大期货    ,8910,-2489,格林大华    ,1713,769,招商期货    ,2860,32
20150624,IF1509                        ,6,兴证期货    ,8265,-4995,银河期货    ,1462,-33,长江期货    ,1116,62
20150624,IF1509                        ,7,海通期货    ,8036,-7695,南华期货    ,1024,6,海通期货    ,832,-131
20150624,IF1509                        ,8,银河期货    ,7284,-1201,方正中期    ,825,313,美尔雅     ,791,-159
20150624,IF1509                        ,9,新湖期货    ,6312,-10210,广发期货    ,777,54,兴业期货    ,733,0
20150624,IF1509                        ,10,南华期货    ,6007,-3721,永安期货    ,739,-86,格林大华    ,730,-2
20150624,IF1509                        ,11,华西期货    ,5347,-2869,光大期货    ,701,-89,国信期货    ,699,-277
20150624,IF1509                        ,12,申银万国    ,4383,-2581,五矿期货    ,669,80,国泰君安    ,636,-63
20150624,IF1509                        ,13,国泰君安    ,4320,-1444,华泰期货    ,631,38,光大期货    ,633,15
20150624,IF1509                        ,14,浙商期货    ,3713,-428,招商期货    ,618,-41,上海东证    ,629,12
20150624,IF1509                        ,15,华泰期货    ,3421,-369,上海中期    ,602,37,鲁证期货    ,590,21
20150624,IF1509                        ,16,上海东证    ,3386,-1426,东兴期货    ,561,-1,安信期货    ,575,-3
20150624,IF1509                        ,17,国信期货    ,3352,641,中国国际    ,487,-23,方正中期    ,557,-1
20150624,IF1509                        ,18,格林大华    ,3297,1528,鲁证期货    ,479,98,永安期货    ,414,25
20150624,IF1509                        ,19,方正中期    ,3108,528,国联期货    ,445,-77,中投天琪    ,375,-49
20150624,IF1509                        ,20,广发期货    ,2702,-730,中融汇信    ,441,-3,南华期货    ,306,-7
