交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150814,IF1508                        ,期货公司,3653202,141044,56590,-2652,56590,-2652
20150814,IF1508                        ,非期货公司,0,0,0,0,0,0
20150814,IF1509                        ,期货公司,267698,-4498,37510,1919,37510,1919
20150814,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150814,IF1508                        ,1,中信期货    ,191516,-12678,南华期货    ,4263,1024,中信期货    ,5298,-772
20150814,IF1508                        ,2,国泰君安    ,181018,4723,中信期货    ,3959,-160,国泰君安    ,4941,-716
20150814,IF1508                        ,3,申银万国    ,175049,-3934,海通期货    ,3877,700,华泰期货    ,3384,13
20150814,IF1508                        ,4,海通期货    ,174147,-4875,国泰君安    ,2977,-482,鲁证期货    ,3049,268
20150814,IF1508                        ,5,华泰期货    ,138729,-5774,混沌天成    ,2685,-44,海通期货    ,2987,-367
20150814,IF1508                        ,6,方正中期    ,130423,13512,光大期货    ,2500,-370,兴证期货    ,2804,204
20150814,IF1508                        ,7,瑞达期货    ,130372,27817,国信期货    ,2362,80,国信期货    ,2716,-513
20150814,IF1508                        ,8,银河期货    ,128691,187,申银万国    ,1875,148,南华期货    ,2091,98
20150814,IF1508                        ,9,上海东证    ,121378,8762,招商期货    ,1677,-123,光大期货    ,2051,-242
20150814,IF1508                        ,10,光大期货    ,120870,6058,华泰期货    ,1658,50,上海东证    ,1830,58
20150814,IF1508                        ,11,南华期货    ,114704,17324,上海东证    ,1618,44,永安期货    ,1704,-695
20150814,IF1508                        ,12,广发期货    ,108632,6895,银河期货    ,1505,-529,广发期货    ,1515,208
20150814,IF1508                        ,13,兴证期货    ,103069,-292,永安期货    ,1378,17,申银万国    ,1340,235
20150814,IF1508                        ,14,大有期货    ,82955,-2273,广发期货    ,1265,-968,银河期货    ,1185,-120
20150814,IF1508                        ,15,国贸期货    ,71869,12931,中信建投    ,1128,27,中大期货    ,1141,-3
20150814,IF1508                        ,16,浙商期货    ,58555,6867,华西期货    ,1122,729,锦泰期货    ,1033,-81
20150814,IF1508                        ,17,鲁证期货    ,55064,-2422,方正中期    ,1036,-820,安信期货    ,990,296
20150814,IF1508                        ,18,美尔雅     ,54587,-179,鲁证期货    ,978,38,中信建投    ,922,14
20150814,IF1508                        ,19,招商期货    ,54204,262,北京首创    ,875,217,招商期货    ,904,-205
20150814,IF1508                        ,20,国信期货    ,50533,5414,倍特期货    ,851,3,方正中期    ,805,-85
20150814,IF1509                        ,1,海通期货    ,22007,-848,国泰君安    ,4276,-200,华泰期货    ,5695,-49
20150814,IF1509                        ,2,华西期货    ,21149,-471,中信期货    ,3936,618,中信期货    ,3954,243
20150814,IF1509                        ,3,中信期货    ,19261,-4783,银河期货    ,2156,181,国泰君安    ,3530,-127
20150814,IF1509                        ,4,光大期货    ,13529,-584,华泰期货    ,1389,-7,银河期货    ,3003,71
20150814,IF1509                        ,5,国泰君安    ,12535,-966,方正中期    ,1233,239,招商期货    ,2832,9
20150814,IF1509                        ,6,银河期货    ,10148,1746,海通期货    ,1183,1,广发期货    ,2830,-2
20150814,IF1509                        ,7,南华期货    ,9653,2428,永安期货    ,1139,94,永安期货    ,1417,140
20150814,IF1509                        ,8,华泰期货    ,9506,821,鲁证期货    ,1076,155,国信期货    ,923,289
20150814,IF1509                        ,9,兴证期货    ,8008,-163,中大期货    ,878,137,海通期货    ,851,-58
20150814,IF1509                        ,10,招商期货    ,7324,-906,大地期货    ,863,11,安信期货    ,833,260
20150814,IF1509                        ,11,上海东证    ,6424,1444,中原期货    ,739,11,光大期货    ,794,-18
20150814,IF1509                        ,12,申银万国    ,6190,1389,广发期货    ,727,81,上海东证    ,678,170
20150814,IF1509                        ,13,永安期货    ,5610,-665,财富期货    ,699,-2,鲁证期货    ,667,-113
20150814,IF1509                        ,14,方正中期    ,5442,-301,申银万国    ,688,186,长江期货    ,642,-6
20150814,IF1509                        ,15,国信期货    ,5063,308,招商期货    ,675,35,五矿经易    ,616,19
20150814,IF1509                        ,16,金瑞期货    ,5044,-42,国信期货    ,668,46,美尔雅     ,537,510
20150814,IF1509                        ,17,西部期货    ,4417,517,光大期货    ,667,87,南华期货    ,520,63
20150814,IF1509                        ,18,广发期货    ,4157,-259,长江期货    ,638,38,申银万国    ,445,184
20150814,IF1509                        ,19,五矿经易    ,3859,359,中国国际    ,604,74,新湖期货    ,437,-8
20150814,IF1509                        ,20,美尔雅     ,3698,0,瑞达期货    ,581,113,中投天琪    ,403,22
