交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150901,IF1509                        ,期货公司,1162268,40910,54062,-3683,54062,-3683
20150901,IF1509                        ,非期货公司,0,0,0,0,0,0
20150901,IF1512                        ,期货公司,21194,-1250,10820,-185,10820,-185
20150901,IF1512                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150901,IF1509                        ,1,国泰君安    ,62969,-1186,国泰君安    ,4786,-158,华泰期货    ,5217,-929
20150901,IF1509                        ,2,海通期货    ,52498,8290,鲁证期货    ,4783,-25,国泰君安    ,4954,-155
20150901,IF1509                        ,3,中信期货    ,48521,-350,海通期货    ,4241,744,中信期货    ,4525,-219
20150901,IF1509                        ,4,申银万国    ,48360,619,中信期货    ,3825,-412,广发期货    ,3982,-58
20150901,IF1509                        ,5,华泰期货    ,44729,-62,永安期货    ,1957,177,银河期货    ,3342,-170
20150901,IF1509                        ,6,广发期货    ,44006,3090,国投中谷    ,1819,97,海通期货    ,2929,270
20150901,IF1509                        ,7,银河期货    ,40015,2203,安信期货    ,1758,-246,鲁证期货    ,2477,499
20150901,IF1509                        ,8,兴证期货    ,39889,2274,华泰期货    ,1719,-468,国信期货    ,2247,-116
20150901,IF1509                        ,9,光大期货    ,38507,2262,财富期货    ,1646,-72,招商期货    ,1615,-92
20150901,IF1509                        ,10,方正中期    ,35739,-1458,广发期货    ,1525,-214,上海东证    ,1444,143
20150901,IF1509                        ,11,上海东证    ,31207,1699,光大期货    ,1465,-514,永安期货    ,1317,-112
20150901,IF1509                        ,12,南华期货    ,26093,1512,申银万国    ,1419,-247,兴证期货    ,1310,-374
20150901,IF1509                        ,13,鲁证期货    ,24822,-839,中大期货    ,1393,122,申银万国    ,1273,-43
20150901,IF1509                        ,14,永安期货    ,23803,2672,国信期货    ,1361,-129,南华期货    ,1060,-220
20150901,IF1509                        ,15,瑞达期货    ,21294,2349,银河期货    ,1309,-13,方正中期    ,1022,-72
20150901,IF1509                        ,16,中信建投    ,20614,982,东海期货    ,900,18,光大期货    ,979,-445
20150901,IF1509                        ,17,招商期货    ,20410,1041,华西期货    ,877,259,浙商期货    ,932,-56
20150901,IF1509                        ,18,中大期货    ,20154,-1052,招商期货    ,867,-72,长江期货    ,844,-123
20150901,IF1509                        ,19,美尔雅     ,19130,1744,方正中期    ,788,-7,五矿经易    ,696,-25
20150901,IF1509                        ,20,浙商期货    ,18494,-529,南华期货    ,771,-623,中大期货    ,648,-92
20150901,IF1512                        ,1,华西期货    ,2211,82,国泰君安    ,1091,58,招商期货    ,2651,29
20150901,IF1512                        ,2,光大期货    ,1628,-190,大连良运    ,931,-75,国泰君安    ,2535,-24
20150901,IF1512                        ,3,中信期货    ,1595,-191,永安期货    ,731,-89,光大期货    ,804,-106
20150901,IF1512                        ,4,海通期货    ,1544,54,南华期货    ,684,-98,银河期货    ,739,12
20150901,IF1512                        ,5,国泰君安    ,1192,-2,方正中期    ,537,-24,中信期货    ,574,-70
20150901,IF1512                        ,6,南华期货    ,1170,-76,华泰期货    ,500,7,安信期货    ,500,-1
20150901,IF1512                        ,7,永安期货    ,788,276,海通期货    ,484,40,国信期货    ,412,-1
20150901,IF1512                        ,8,华泰期货    ,605,-10,东海期货    ,428,-6,华泰期货    ,286,64
20150901,IF1512                        ,9,招商期货    ,513,-6,中信期货    ,397,-45,广州期货    ,182,-3
20150901,IF1512                        ,10,申银万国    ,483,86,宏源期货    ,324,37,广发期货    ,148,-1
20150901,IF1512                        ,11,方正中期    ,474,-75,万达期货    ,244,1,上海东证    ,139,0
20150901,IF1512                        ,12,广发期货    ,441,-138,格林大华    ,234,7,申银万国    ,138,45
20150901,IF1512                        ,13,金瑞期货    ,433,53,鲁证期货    ,226,9,永安期货    ,115,-37
20150901,IF1512                        ,14,银河期货    ,392,5,招商期货    ,225,-32,兴证期货    ,115,13
20150901,IF1512                        ,15,上海东证    ,331,26,国信期货    ,224,9,海通期货    ,104,2
20150901,IF1512                        ,16,兴证期货    ,322,-342,上海中期    ,187,-81,南华期货    ,103,10
20150901,IF1512                        ,17,国信期货    ,298,-227,申银万国    ,181,36,中国国际    ,96,3
20150901,IF1512                        ,18,中信建投    ,298,16,银河期货    ,160,-24,国金期货    ,90,0
20150901,IF1512                        ,19,中国国际    ,284,-4,同信久恒    ,157,-5,方正中期    ,86,0
20150901,IF1512                        ,20,美尔雅     ,282,51,国金期货    ,150,-3,中信建投    ,67,32
