交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150922,IF1510                        ,期货公司,30664,-2448,23793,288,23793,288
20150922,IF1510                        ,非期货公司,0,0,0,0,0,0
20150922,IF1512                        ,期货公司,3956,-172,12522,-148,12522,-148
20150922,IF1512                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150922,IF1510                        ,1,国泰君安    ,1946,145,中信期货    ,2697,-15,银河期货    ,3185,34
20150922,IF1510                        ,2,中信期货    ,1854,-211,国泰君安    ,2233,106,华泰期货    ,2757,-137
20150922,IF1510                        ,3,海通期货    ,1748,-1,海通期货    ,1851,144,中信期货    ,2121,-65
20150922,IF1510                        ,4,华泰期货    ,1560,-262,财富期货    ,1787,0,广发期货    ,1693,1
20150922,IF1510                        ,5,光大期货    ,1209,-82,广发期货    ,1365,38,国泰君安    ,1505,46
20150922,IF1510                        ,6,银河期货    ,1116,-82,华泰期货    ,1061,15,海通期货    ,850,-42
20150922,IF1510                        ,7,广发期货    ,919,-158,银河期货    ,860,38,光大期货    ,841,-81
20150922,IF1510                        ,8,申银万国    ,918,-64,永安期货    ,851,38,兴证期货    ,775,37
20150922,IF1510                        ,9,永安期货    ,900,7,鲁证期货    ,749,126,鲁证期货    ,647,-23
20150922,IF1510                        ,10,鲁证期货    ,815,-163,申银万国    ,577,-10,南华期货    ,529,34
20150922,IF1510                        ,11,兴证期货    ,811,15,光大期货    ,554,-24,招商期货    ,448,-4
20150922,IF1510                        ,12,上海东证    ,754,11,招商期货    ,462,16,永安期货    ,429,-24
20150922,IF1510                        ,13,招商期货    ,676,-133,上海东证    ,407,30,申银万国    ,407,26
20150922,IF1510                        ,14,方正中期    ,649,-50,兴证期货    ,404,16,上海东证    ,396,8
20150922,IF1510                        ,15,浙商期货    ,629,-179,安信期货    ,375,99,中信建投    ,369,22
20150922,IF1510                        ,16,中信建投    ,613,-52,中国国际    ,352,-9,国信期货    ,318,-8
20150922,IF1510                        ,17,国信期货    ,586,-2,中大期货    ,349,30,安信期货    ,277,-1
20150922,IF1510                        ,18,南华期货    ,480,-99,国投中谷    ,340,6,东兴期货    ,241,16
20150922,IF1510                        ,19,安信期货    ,460,-28,南华期货    ,327,28,中大期货    ,231,18
20150922,IF1510                        ,20,中国国际    ,432,-25,华西期货    ,315,-13,浙商期货    ,199,-42
20150922,IF1512                        ,1,招商期货    ,366,32,国泰君安    ,2112,-6,国泰君安    ,3771,9
20150922,IF1512                        ,2,华泰期货    ,228,87,南华期货    ,580,-6,广发期货    ,1776,8
20150922,IF1512                        ,3,大连良运    ,168,168,大连良运    ,567,-158,招商期货    ,1404,-285
20150922,IF1512                        ,4,国泰君安    ,157,14,海通期货    ,565,-7,银河期货    ,798,19
20150922,IF1512                        ,5,海通期货    ,144,-21,上海东证    ,520,1,安信期货    ,611,-4
20150922,IF1512                        ,6,宏源期货    ,127,-70,中信期货    ,516,14,长江期货    ,531,5
20150922,IF1512                        ,7,中信期货    ,123,-57,东海期货    ,507,-2,中信期货    ,402,9
20150922,IF1512                        ,8,永安期货    ,118,-2,广发期货    ,447,-4,国信期货    ,286,20
20150922,IF1512                        ,9,南华期货    ,116,5,方正中期    ,391,-20,光大期货    ,274,-7
20150922,IF1512                        ,10,方正中期    ,105,15,银河期货    ,386,-6,中投天琪    ,230,5
20150922,IF1512                        ,11,申银万国    ,104,-17,永安期货    ,333,-9,华泰期货    ,220,19
20150922,IF1512                        ,12,光大期货    ,93,-7,瑞达期货    ,316,4,五矿经易    ,133,16
20150922,IF1512                        ,13,银河期货    ,91,-42,华泰期货    ,313,-43,海通期货    ,127,-1
20150922,IF1512                        ,14,格林大华    ,90,31,申银万国    ,313,11,南证期货    ,106,-1
20150922,IF1512                        ,15,国信期货    ,86,-3,万达期货    ,271,-10,华西期货    ,102,-1
20150922,IF1512                        ,16,华西期货    ,85,-18,国信期货    ,259,20,西部期货    ,101,1
20150922,IF1512                        ,17,上海东证    ,84,1,安信期货    ,255,-6,方正中期    ,99,13
20150922,IF1512                        ,18,广发期货    ,76,12,鲁证期货    ,248,-2,永安期货    ,94,11
20150922,IF1512                        ,19,中信建投    ,72,20,光大期货    ,228,12,广州期货    ,93,4
20150922,IF1512                        ,20,华联期货    ,70,14,兴证期货    ,219,13,申银万国    ,83,7
