交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20151029,IF1511                        ,期货公司,27602,-592,23096,688,23096,688
20151029,IF1511                        ,非期货公司,0,0,0,0,0,0
20151029,IF1512                        ,期货公司,5188,386,19440,-53,19440,-53
20151029,IF1512                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20151029,IF1511                        ,1,华泰期货    ,1567,-52,中信期货    ,2894,79,华泰期货    ,2395,-62
20151029,IF1511                        ,2,海通期货    ,1531,-139,财富期货    ,2303,0,中信期货    ,2036,127
20151029,IF1511                        ,3,国泰君安    ,1511,-42,永安期货    ,1732,33,广发期货    ,1391,71
20151029,IF1511                        ,4,中信期货    ,1496,-65,海通期货    ,1519,-12,国泰君安    ,1380,15
20151029,IF1511                        ,5,光大期货    ,1232,63,华泰期货    ,1152,7,兴证期货    ,1178,-42
20151029,IF1511                        ,6,兴证期货    ,1197,-7,银河期货    ,940,36,海通期货    ,1021,29
20151029,IF1511                        ,7,银河期货    ,1150,31,国泰君安    ,784,6,光大期货    ,991,183
20151029,IF1511                        ,8,广发期货    ,992,120,安信期货    ,731,131,银河期货    ,946,18
20151029,IF1511                        ,9,申银万国    ,775,-11,国投中谷    ,647,-9,南华期货    ,918,119
20151029,IF1511                        ,10,永安期货    ,700,-107,上海东证    ,638,36,招商期货    ,641,134
20151029,IF1511                        ,11,招商期货    ,699,28,广发期货    ,578,39,上海东证    ,609,88
20151029,IF1511                        ,12,方正中期    ,642,47,兴证期货    ,553,33,永安期货    ,565,-3
20151029,IF1511                        ,13,中信建投    ,636,29,申银万国    ,512,20,方正中期    ,447,41
20151029,IF1511                        ,14,南华期货    ,600,16,鲁证期货    ,488,32,中信建投    ,422,-12
20151029,IF1511                        ,15,上海东证    ,582,75,光大期货    ,414,-17,申银万国    ,414,-31
20151029,IF1511                        ,16,鲁证期货    ,536,-116,招商期货    ,406,7,宏源期货    ,369,-8
20151029,IF1511                        ,17,国信期货    ,499,17,南华期货    ,398,13,国信期货    ,326,-7
20151029,IF1511                        ,18,五矿经易    ,440,-25,五矿经易    ,394,42,鲁证期货    ,316,24
20151029,IF1511                        ,19,信达期货    ,438,-82,国信期货    ,324,42,国金期货    ,281,3
20151029,IF1511                        ,20,安信期货    ,433,48,方正中期    ,263,13,北京首创    ,253,3
20151029,IF1512                        ,1,华泰期货    ,352,33,国泰君安    ,3125,-4,国泰君安    ,4315,-28
20151029,IF1512                        ,2,海通期货    ,343,103,安信期货    ,1269,33,广发期货    ,2435,-16
20151029,IF1512                        ,3,中信期货    ,249,98,广发期货    ,1216,-6,海通期货    ,2286,-6
20151029,IF1512                        ,4,南华期货    ,224,-10,海通期货    ,963,-93,招商期货    ,1144,-1
20151029,IF1512                        ,5,国泰君安    ,212,34,中信期货    ,793,-37,中信期货    ,1141,16
20151029,IF1512                        ,6,银河期货    ,164,18,南华期货    ,687,-29,华泰期货    ,1089,2
20151029,IF1512                        ,7,宏源期货    ,150,-14,华泰期货    ,667,36,银河期货    ,1010,-2
20151029,IF1512                        ,8,光大期货    ,146,51,申银万国    ,562,-2,兴业期货    ,923,11
20151029,IF1512                        ,9,招商期货    ,146,-107,瑞达期货    ,512,1,安信期货    ,676,-5
20151029,IF1512                        ,10,渤海期货    ,136,8,鲁证期货    ,509,-11,长江期货    ,529,5
20151029,IF1512                        ,11,英大期货    ,124,0,银河期货    ,492,4,光大期货    ,515,16
20151029,IF1512                        ,12,国信期货    ,111,3,永安期货    ,491,-6,国信期货    ,315,-1
20151029,IF1512                        ,13,格林大华    ,109,-47,五矿经易    ,402,-39,格林大华    ,248,-22
20151029,IF1512                        ,14,申银万国    ,108,11,招商期货    ,397,-19,五矿经易    ,189,2
20151029,IF1512                        ,15,永安期货    ,106,-4,宏源期货    ,390,1,鲁证期货    ,177,-9
20151029,IF1512                        ,16,华西期货    ,106,20,安粮期货    ,355,52,永安期货    ,170,6
20151029,IF1512                        ,17,上海东证    ,105,23,上海东证    ,333,13,中投天琪    ,145,-14
20151029,IF1512                        ,18,兴证期货    ,104,9,中原期货    ,319,-1,方正中期    ,126,-10
20151029,IF1512                        ,19,金瑞期货    ,97,69,光大期货    ,316,6,渤海期货    ,116,0
20151029,IF1512                        ,20,方正中期    ,96,8,兴证期货    ,305,19,上海东证    ,111,2
