交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20151030,IF1511                        ,期货公司,29278,1676,23506,410,23506,410
20151030,IF1511                        ,非期货公司,0,0,0,0,0,0
20151030,IF1512                        ,期货公司,5168,-20,19289,-151,19289,-151
20151030,IF1512                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20151030,IF1511                        ,1,国泰君安    ,1705,194,中信期货    ,2891,-3,华泰期货    ,2401,6
20151030,IF1511                        ,2,华泰期货    ,1701,134,财富期货    ,2304,1,中信期货    ,2076,40
20151030,IF1511                        ,3,海通期货    ,1680,149,永安期货    ,1845,113,国泰君安    ,1495,115
20151030,IF1511                        ,4,中信期货    ,1475,-21,海通期货    ,1624,105,广发期货    ,1252,-139
20151030,IF1511                        ,5,光大期货    ,1208,-24,华泰期货    ,1167,15,兴证期货    ,1236,58
20151030,IF1511                        ,6,银河期货    ,1174,24,银河期货    ,927,-13,海通期货    ,1132,111
20151030,IF1511                        ,7,兴证期货    ,1115,-82,安信期货    ,826,95,光大期货    ,1065,74
20151030,IF1511                        ,8,招商期货    ,852,153,国泰君安    ,704,-80,南华期货    ,1014,96
20151030,IF1511                        ,9,广发期货    ,840,-152,国投中谷    ,657,10,银河期货    ,953,7
20151030,IF1511                        ,10,申银万国    ,815,40,鲁证期货    ,623,135,招商期货    ,740,99
20151030,IF1511                        ,11,永安期货    ,754,54,上海东证    ,585,-53,永安期货    ,572,7
20151030,IF1511                        ,12,鲁证期货    ,707,171,广发期货    ,557,-21,上海东证    ,558,-51
20151030,IF1511                        ,13,方正中期    ,642,0,兴证期货    ,536,-17,中信建投    ,427,5
20151030,IF1511                        ,14,南华期货    ,640,40,申银万国    ,525,13,方正中期    ,411,-36
20151030,IF1511                        ,15,中信建投    ,589,-47,五矿经易    ,436,42,申银万国    ,408,-6
20151030,IF1511                        ,16,国信期货    ,520,21,招商期货    ,397,-9,宏源期货    ,404,35
20151030,IF1511                        ,17,上海东证    ,504,-78,光大期货    ,396,-18,鲁证期货    ,360,44
20151030,IF1511                        ,18,信达期货    ,498,60,南华期货    ,368,-30,国信期货    ,353,27
20151030,IF1511                        ,19,五矿经易    ,476,36,国信期货    ,317,-7,国金期货    ,293,12
20151030,IF1511                        ,20,浙商期货    ,463,83,华西期货    ,264,37,北京首创    ,255,2
20151030,IF1512                        ,1,国泰君安    ,396,184,国泰君安    ,3011,-114,国泰君安    ,4161,-154
20151030,IF1512                        ,2,华泰期货    ,381,29,安信期货    ,1334,65,广发期货    ,2450,15
20151030,IF1512                        ,3,海通期货    ,255,-88,广发期货    ,1208,-8,海通期货    ,2269,-17
20151030,IF1512                        ,4,中信期货    ,232,-17,海通期货    ,891,-72,中信期货    ,1147,6
20151030,IF1512                        ,5,南华期货    ,221,-3,中信期货    ,779,-14,招商期货    ,1145,1
20151030,IF1512                        ,6,银河期货    ,174,10,南华期货    ,707,20,华泰期货    ,1109,20
20151030,IF1512                        ,7,光大期货    ,161,15,华泰期货    ,662,-5,银河期货    ,1030,20
20151030,IF1512                        ,8,招商期货    ,147,1,申银万国    ,559,-3,兴业期货    ,943,20
20151030,IF1512                        ,9,渤海期货    ,134,-2,瑞达期货    ,549,37,安信期货    ,674,-2
20151030,IF1512                        ,10,英大期货    ,131,7,鲁证期货    ,509,0,长江期货    ,530,1
20151030,IF1512                        ,11,永安期货    ,125,19,永安期货    ,496,5,光大期货    ,521,6
20151030,IF1512                        ,12,宏源期货    ,125,-25,银河期货    ,484,-8,国信期货    ,315,0
20151030,IF1512                        ,13,华西期货    ,112,6,招商期货    ,403,6,格林大华    ,243,-5
20151030,IF1512                        ,14,安信期货    ,101,27,安粮期货    ,402,47,五矿经易    ,184,-5
20151030,IF1512                        ,15,美尔雅     ,95,11,宏源期货    ,400,10,永安期货    ,178,8
20151030,IF1512                        ,16,广发期货    ,93,9,五矿经易    ,383,-19,鲁证期货    ,174,-3
20151030,IF1512                        ,17,兴证期货    ,92,-12,上海东证    ,341,8,中投天琪    ,134,-11
20151030,IF1512                        ,18,新湖期货    ,89,15,中原期货    ,316,-3,方正中期    ,125,-1
20151030,IF1512                        ,19,申银万国    ,85,-23,光大期货    ,315,-1,渤海期货    ,113,-3
20151030,IF1512                        ,20,长江期货    ,84,11,兴证期货    ,296,-9,上海东证    ,107,-4
