交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20151222,IF1601                        ,期货公司,26418,-3272,27558,14,27558,14
20151222,IF1601                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20151222,IF1601                        ,1,海通期货    ,2379,427,中信期货    ,2617,9,中信期货    ,2792,-91
20151222,IF1601                        ,2,国泰君安    ,1553,-216,财富期货    ,2356,19,银河期货    ,1934,38
20151222,IF1601                        ,3,兴证期货    ,1404,-93,国泰君安    ,1759,27,广发期货    ,1779,30
20151222,IF1601                        ,4,中信期货    ,1370,-109,永安期货    ,1624,-112,海通期货    ,1772,296
20151222,IF1601                        ,5,银河期货    ,1225,-124,广发期货    ,1553,-11,华泰期货    ,1386,-39
20151222,IF1601                        ,6,光大期货    ,1045,-418,华泰期货    ,1510,11,兴证期货    ,1309,16
20151222,IF1601                        ,7,华泰期货    ,1042,-181,海通期货    ,1315,-25,招商期货    ,1193,35
20151222,IF1601                        ,8,广发期货    ,1039,-202,银河期货    ,1272,-29,光大期货    ,1094,-73
20151222,IF1601                        ,9,永安期货    ,699,16,申银万国    ,858,23,国泰君安    ,998,36
20151222,IF1601                        ,10,南华期货    ,686,-47,兴证期货    ,742,-46,上海东证    ,983,-90
20151222,IF1601                        ,11,申银万国    ,644,-106,鲁证期货    ,606,138,南华期货    ,727,-20
20151222,IF1601                        ,12,上海东证    ,641,-80,南华期货    ,582,8,红塔期货    ,664,0
20151222,IF1601                        ,13,鲁证期货    ,572,-241,宏源期货    ,508,-28,安信期货    ,655,4
20151222,IF1601                        ,14,招商期货    ,571,-223,瑞达期货    ,492,22,永安期货    ,639,13
20151222,IF1601                        ,15,中信建投    ,553,-117,招商期货    ,490,-2,格林大华    ,565,50
20151222,IF1601                        ,16,国信期货    ,500,-25,上海东证    ,483,37,鲁证期货    ,517,-8
20151222,IF1601                        ,17,方正中期    ,470,-30,光大期货    ,476,-2,中信建投    ,445,3
20151222,IF1601                        ,18,安信期货    ,381,62,安信期货    ,473,175,国金期货    ,438,20
20151222,IF1601                        ,19,浙商期货    ,336,-79,新湖期货    ,458,22,申银万国    ,389,-21
20151222,IF1601                        ,20,中国国际    ,312,-63,国信期货    ,387,-20,兴业期货    ,366,-44
