交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160226,IF1603                        ,期货公司,41492,-6384,37572,-87,37572,-87
20160226,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160226,IF1603                        ,1,国泰君安    ,2678,-851,国泰君安    ,3359,-66,中信期货    ,3863,40
20160226,IF1603                        ,2,海通期货    ,2573,150,广发期货    ,2706,88,国泰君安    ,2581,104
20160226,IF1603                        ,3,中信期货    ,2277,-269,中信期货    ,2676,-9,华泰期货    ,2369,-145
20160226,IF1603                        ,4,华泰期货    ,2041,-592,中金期货    ,2389,42,光大期货    ,2186,-33
20160226,IF1603                        ,5,兴证期货    ,1975,-233,海通期货    ,2208,51,招商期货    ,1815,9
20160226,IF1603                        ,6,光大期货    ,1893,-138,国投中谷    ,2179,190,海通期货    ,1775,362
20160226,IF1603                        ,7,广发期货    ,1734,-360,永安期货    ,1848,-77,南华期货    ,1748,-8
20160226,IF1603                        ,8,银河期货    ,1724,-118,华泰期货    ,1650,-154,广发期货    ,1703,88
20160226,IF1603                        ,9,永安期货    ,1115,-235,银河期货    ,1618,19,兴证期货    ,1489,-98
20160226,IF1603                        ,10,申银万国    ,1112,-228,兴证期货    ,971,-17,银河期货    ,1144,-105
20160226,IF1603                        ,11,南华期货    ,1027,100,申银万国    ,966,-4,五矿经易    ,1008,156
20160226,IF1603                        ,12,招商期货    ,1011,-176,光大期货    ,761,16,上海东证    ,963,7
20160226,IF1603                        ,13,上海东证    ,1006,-215,南华期货    ,759,-11,永安期货    ,957,-56
20160226,IF1603                        ,14,鲁证期货    ,820,3,五矿经易    ,675,-34,中金期货    ,804,250
20160226,IF1603                        ,15,方正中期    ,817,-251,招商期货    ,615,-40,中信建投    ,793,-18
20160226,IF1603                        ,16,中信建投    ,764,-212,瑞达期货    ,576,1,国投中谷    ,763,-25
20160226,IF1603                        ,17,五矿经易    ,716,-32,鲁证期货    ,571,25,国信期货    ,744,12
20160226,IF1603                        ,18,浙商期货    ,633,-73,宏源期货    ,555,-44,鲁证期货    ,696,-177
20160226,IF1603                        ,19,国投中谷    ,627,-93,西部期货    ,555,-23,申银万国    ,683,-42
20160226,IF1603                        ,20,西部期货    ,569,-80,方正中期    ,497,-27,长江期货    ,672,-19
