交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160509,IF1605                        ,期货公司,32174,-1722,29286,-1785,29286,-1785
20160509,IF1605                        ,非期货公司,0,0,0,0,0,0
20160509,IF1606                        ,期货公司,6082,1536,11725,824,11725,824
20160509,IF1606                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160509,IF1605                        ,1,中信期货    ,2260,3,国泰君安    ,3387,-189,中信期货    ,2967,-196
20160509,IF1605                        ,2,国泰君安    ,2114,93,中信期货    ,3110,-206,国泰君安    ,2237,43
20160509,IF1605                        ,3,海通期货    ,1879,-178,中金期货    ,2191,-13,华泰期货    ,1824,-183
20160509,IF1605                        ,4,华泰期货    ,1789,56,海通期货    ,1967,9,海通期货    ,1617,12
20160509,IF1605                        ,5,兴证期货    ,1523,11,华泰期货    ,1864,-46,广发期货    ,1498,101
20160509,IF1605                        ,6,光大期货    ,1279,-143,国投中谷    ,1663,48,光大期货    ,1431,-151
20160509,IF1605                        ,7,永安期货    ,1172,299,银河期货    ,1279,20,方正中期    ,1413,-143
20160509,IF1605                        ,8,广发期货    ,1162,64,永安期货    ,1060,-545,南华期货    ,1345,-230
20160509,IF1605                        ,9,银河期货    ,1152,-242,兴证期货    ,1007,109,兴证期货    ,955,6
20160509,IF1605                        ,10,鲁证期货    ,1018,316,光大期货    ,821,40,银河期货    ,930,-124
20160509,IF1605                        ,11,上海东证    ,864,126,广发期货    ,662,-71,中金期货    ,902,-106
20160509,IF1605                        ,12,南华期货    ,849,-5,鲁证期货    ,649,-345,永安期货    ,751,-43
20160509,IF1605                        ,13,申银万国    ,835,-168,招商期货    ,612,4,招商期货    ,700,-3
20160509,IF1605                        ,14,方正中期    ,785,75,南华期货    ,605,-9,国投中谷    ,692,-38
20160509,IF1605                        ,15,五矿经易    ,740,210,上海东证    ,595,-239,上海东证    ,624,-13
20160509,IF1605                        ,16,中信建投    ,633,-133,申银万国    ,551,-77,鲁证期货    ,567,-107
20160509,IF1605                        ,17,招商期货    ,583,-217,国信期货    ,443,25,中信建投    ,547,-5
20160509,IF1605                        ,18,国信期货    ,470,-260,五矿经易    ,356,-271,国信期货    ,534,-69
20160509,IF1605                        ,19,金瑞期货    ,421,-52,方正中期    ,325,-10,平安期货    ,420,12
20160509,IF1605                        ,20,东航期货    ,416,1,中信建投    ,317,-18,申银万国    ,379,-234
20160509,IF1606                        ,1,中信期货    ,655,322,国泰君安    ,1952,227,招商期货    ,1744,35
20160509,IF1606                        ,2,国泰君安    ,571,365,中信期货    ,1014,190,中信期货    ,1365,135
20160509,IF1606                        ,3,海通期货    ,499,147,永安期货    ,842,3,永安期货    ,596,43
20160509,IF1606                        ,4,华泰期货    ,322,-3,华泰期货    ,841,55,华泰期货    ,585,-15
20160509,IF1606                        ,5,申银万国    ,236,149,兴证期货    ,591,26,兴业期货    ,558,32
20160509,IF1606                        ,6,华西期货    ,223,82,广发期货    ,580,66,光大期货    ,532,-4
20160509,IF1606                        ,7,南华期货    ,203,46,海通期货    ,402,49,国泰君安    ,526,212
20160509,IF1606                        ,8,方正中期    ,184,69,宏源期货    ,374,5,鲁证期货    ,502,68
20160509,IF1606                        ,9,鲁证期货    ,173,60,中金期货    ,345,44,长江期货    ,400,4
20160509,IF1606                        ,10,光大期货    ,167,-101,五矿经易    ,343,7,广发期货    ,372,22
20160509,IF1606                        ,11,兴证期货    ,165,99,申银万国    ,308,5,海通期货    ,322,-14
20160509,IF1606                        ,12,广发期货    ,148,74,南华期货    ,262,21,南华期货    ,298,28
20160509,IF1606                        ,13,格林大华    ,145,97,瑞达期货    ,254,3,中金期货    ,288,29
20160509,IF1606                        ,14,上海东证    ,145,75,福能期货    ,252,0,上海东证    ,285,-33
20160509,IF1606                        ,15,五矿经易    ,134,29,鲁证期货    ,213,-9,中信建投    ,271,40
20160509,IF1606                        ,16,永安期货    ,120,-2,冠通期货    ,194,0,兴证期货    ,263,27
20160509,IF1606                        ,17,渤海期货    ,117,26,国投中谷    ,189,12,申银万国    ,259,149
20160509,IF1606                        ,18,铜冠金源    ,110,58,光大期货    ,179,-1,银河期货    ,254,18
20160509,IF1606                        ,19,东海期货    ,107,61,银河期货    ,171,-4,国信期货    ,231,21
20160509,IF1606                        ,20,招商期货    ,96,-145,招商期货    ,165,15,五矿经易    ,149,-51
