交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170602,IF1706                        ,期货公司,27398,1766,29432,-473,29432,-473
20170602,IF1706                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170602,IF1706                        ,1,中信期货    ,3058,318,中信期货    ,3573,-67,中信期货    ,3691,-17
20170602,IF1706                        ,2,国泰君安    ,1664,172,五矿经易    ,3369,-103,华泰期货    ,2082,-61
20170602,IF1706                        ,3,海通期货    ,1492,229,国泰君安    ,1811,100,上海东证    ,1991,-20
20170602,IF1706                        ,4,银河期货    ,1314,-53,中金期货    ,1778,13,银河期货    ,1985,-29
20170602,IF1706                        ,5,兴证期货    ,1285,45,兴证期货    ,1194,18,光大期货    ,1680,1
20170602,IF1706                        ,6,光大期货    ,1244,7,广发期货    ,1168,-27,国泰君安    ,1566,-50
20170602,IF1706                        ,7,华泰期货    ,969,43,海通期货    ,1160,-34,国投安信    ,1366,1
20170602,IF1706                        ,8,五矿经易    ,963,-83,银河期货    ,1064,-5,广发期货    ,1192,-53
20170602,IF1706                        ,9,南华期货    ,883,341,申银万国    ,1047,-44,海通期货    ,1169,92
20170602,IF1706                        ,10,招商期货    ,760,-39,华泰期货    ,951,10,兴证期货    ,1095,-31
20170602,IF1706                        ,11,申银万国    ,698,-54,南华期货    ,877,-237,招商期货    ,822,-11
20170602,IF1706                        ,12,广发期货    ,638,82,上海东证    ,812,34,永安期货    ,655,-38
20170602,IF1706                        ,13,浙商期货    ,607,-52,永安期货    ,736,3,国信期货    ,480,-70
20170602,IF1706                        ,14,永安期货    ,593,-9,招商期货    ,686,37,申银万国    ,460,30
20170602,IF1706                        ,15,鲁证期货    ,576,242,光大期货    ,616,-23,鲁证期货    ,458,-73
20170602,IF1706                        ,16,西部期货    ,546,-19,国富期货    ,574,-62,南华期货    ,444,34
20170602,IF1706                        ,17,新湖期货    ,540,43,鲁证期货    ,516,-3,天风期货    ,436,-9
20170602,IF1706                        ,18,中信建投    ,479,138,中银国际    ,411,-7,中金期货    ,365,2
20170602,IF1706                        ,19,上海东证    ,460,-84,中信建投    ,388,-3,华信万达    ,331,28
20170602,IF1706                        ,20,国信期货    ,404,55,乾坤期货    ,377,0,中信建投    ,330,22
