交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170706,IF1707                        ,期货公司,29164,680,25628,187,25628,187
20170706,IF1707                        ,非期货公司,0,0,0,0,0,0
20170706,IF1709                        ,期货公司,2294,-164,10103,27,10103,27
20170706,IF1709                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170706,IF1707                        ,1,中信期货    ,3248,90,中信期货    ,3155,-36,中信期货    ,3362,74
20170706,IF1707                        ,2,国泰君安    ,1767,-39,海通期货    ,1662,-85,国泰君安    ,2025,-72
20170706,IF1707                        ,3,海通期货    ,1640,115,永安期货    ,1560,33,银河期货    ,1603,-16
20170706,IF1707                        ,4,光大期货    ,1375,101,五矿经易    ,1473,331,上海东证    ,1516,24
20170706,IF1707                        ,5,银河期货    ,1338,207,国泰君安    ,1291,-11,海通期货    ,1452,41
20170706,IF1707                        ,6,兴证期货    ,1334,3,鲁证期货    ,963,2,光大期货    ,1428,47
20170706,IF1707                        ,7,五矿经易    ,1045,-314,银河期货    ,836,20,华泰期货    ,1363,39
20170706,IF1707                        ,8,华泰期货    ,960,0,广发期货    ,818,-95,兴证期货    ,1195,8
20170706,IF1707                        ,9,南华期货    ,891,160,华泰期货    ,808,7,广发期货    ,963,36
20170706,IF1707                        ,10,申银万国    ,875,51,兴证期货    ,799,-28,国投安信    ,776,-22
20170706,IF1707                        ,11,永安期货    ,857,-43,申银万国    ,786,-58,招商期货    ,673,-9
20170706,IF1707                        ,12,招商期货    ,774,20,上海东证    ,741,-72,永安期货    ,583,16
20170706,IF1707                        ,13,广发期货    ,757,-6,南华期货    ,704,56,申银万国    ,526,-5
20170706,IF1707                        ,14,上海东证    ,620,177,光大期货    ,677,-50,南华期货    ,434,-45
20170706,IF1707                        ,15,鲁证期货    ,575,8,国富期货    ,661,33,中金期货    ,361,-30
20170706,IF1707                        ,16,国信期货    ,554,10,中金期货    ,643,-21,鲁证期货    ,325,-55
20170706,IF1707                        ,17,新湖期货    ,543,34,招商期货    ,562,-21,方正中期    ,312,21
20170706,IF1707                        ,18,中信建投    ,529,28,国信期货    ,426,59,天风期货    ,311,22
20170706,IF1707                        ,19,浙商期货    ,502,-117,浙商期货    ,411,33,西部期货    ,303,-15
20170706,IF1707                        ,20,西部期货    ,448,-15,国投安信    ,378,0,五矿经易    ,292,90
20170706,IF1709                        ,1,海通期货    ,207,35,国泰君安    ,1391,6,中信期货    ,2031,32
20170706,IF1709                        ,2,兴证期货    ,150,7,中信期货    ,979,-3,国投安信    ,1016,-2
20170706,IF1709                        ,3,国泰君安    ,144,18,鲁证期货    ,784,-2,上海东证    ,997,-11
20170706,IF1709                        ,4,光大期货    ,136,49,五矿经易    ,749,0,华泰期货    ,717,8
20170706,IF1709                        ,5,新湖期货    ,129,29,中金期货    ,636,0,光大期货    ,693,-2
20170706,IF1709                        ,6,中信期货    ,103,-13,华泰期货    ,480,8,银河期货    ,469,-6
20170706,IF1709                        ,7,浙商期货    ,102,4,南华期货    ,368,9,国泰君安    ,399,-8
20170706,IF1709                        ,8,华泰期货    ,92,-11,华联期货    ,355,2,广发期货    ,391,-8
20170706,IF1709                        ,9,国投安信    ,89,43,申银万国    ,336,1,建信期货    ,336,0
20170706,IF1709                        ,10,中融汇信    ,84,14,招商期货    ,251,-2,中金期货    ,310,-5
20170706,IF1709                        ,11,招商期货    ,74,-65,中信建投    ,224,7,招商期货    ,217,4
20170706,IF1709                        ,12,申银万国    ,71,10,银河期货    ,218,9,兴证期货    ,207,7
20170706,IF1709                        ,13,上海东证    ,70,18,海通期货    ,202,31,渤海期货    ,200,4
20170706,IF1709                        ,14,南华期货    ,63,-53,兴证期货    ,191,13,华西期货    ,199,4
20170706,IF1709                        ,15,银河期货    ,61,-13,第一创业    ,177,0,中粮期货    ,191,0
20170706,IF1709                        ,16,新世纪     ,50,33,国投安信    ,160,-45,海通期货    ,158,24
20170706,IF1709                        ,17,五矿经易    ,46,-79,瑞达期货    ,159,1,方正中期    ,122,5
20170706,IF1709                        ,18,方正中期    ,38,1,永安期货    ,155,3,国信期货    ,118,3
20170706,IF1709                        ,19,中信建投    ,37,12,东航期货    ,146,-1,鲁证期货    ,110,-3
20170706,IF1709                        ,20,华西期货    ,37,-4,上海东证    ,135,-29,新湖期货    ,94,3
