交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170721,IF1707                        ,期货公司,9686,-10408,0,-6100,0,-6100
20170721,IF1707                        ,非期货公司,0,0,0,0,0,0
20170721,IF1708                        ,期货公司,23042,3002,20787,3051,20787,3051
20170721,IF1708                        ,非期货公司,0,0,0,0,0,0
20170721,IF1709                        ,期货公司,3456,-732,13340,315,13340,315
20170721,IF1709                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170721,IF1707                        ,1,中信期货    ,1020,-1918,国泰君安    ,0,-232,国泰君安    ,0,-506
20170721,IF1707                        ,2,国泰君安    ,651,-506,南华期货    ,0,-119,南华期货    ,0,-150
20170721,IF1707                        ,3,海通期货    ,633,-443,永安期货    ,0,-212,永安期货    ,0,-119
20170721,IF1707                        ,4,银河期货    ,575,-161,一德期货    ,0,-5,一德期货    ,0,-3
20170721,IF1707                        ,5,华泰期货    ,541,-50,鲁证期货    ,0,-217,鲁证期货    ,0,-151
20170721,IF1707                        ,6,兴证期货    ,492,-543,光大期货    ,0,-187,光大期货    ,0,-212
20170721,IF1707                        ,7,光大期货    ,383,-598,东海期货    ,0,-16,东海期货    ,0,-5
20170721,IF1707                        ,8,招商期货    ,300,-201,浙商期货    ,0,-65,浙商期货    ,0,-72
20170721,IF1707                        ,9,永安期货    ,296,-115,中粮期货    ,0,-6,中粮期货    ,0,-10
20170721,IF1707                        ,10,上海东证    ,267,-358,华泰期货    ,0,-233,华泰期货    ,0,-414
20170721,IF1707                        ,11,南华期货    ,263,-149,五矿经易    ,0,-106,五矿经易    ,0,-64
20170721,IF1707                        ,12,申银万国    ,256,-144,广发期货    ,0,-98,广发期货    ,0,-231
20170721,IF1707                        ,13,鲁证期货    ,219,-94,信达期货    ,0,-19,信达期货    ,0,-18
20170721,IF1707                        ,14,浙商期货    ,204,-140,中信期货    ,0,-648,中信期货    ,0,-462
20170721,IF1707                        ,15,方正中期    ,198,-73,金瑞期货    ,0,-19,金瑞期货    ,0,-20
20170721,IF1707                        ,16,国投安信    ,197,-30,新世纪     ,0,-23,新世纪     ,0,-6
20170721,IF1707                        ,17,广发期货    ,150,-315,兴证期货    ,0,-198,兴证期货    ,0,-414
20170721,IF1707                        ,18,中信建投    ,150,-58,建信期货    ,0,-38,建信期货    ,0,-33
20170721,IF1707                        ,19,东航期货    ,138,-43,平安期货    ,0,-1,平安期货    ,0,-3
20170721,IF1707                        ,20,中金期货    ,138,-95,格林大华    ,0,-39,格林大华    ,0,-51
20170721,IF1708                        ,1,中信期货    ,2694,481,中信期货    ,2420,406,中信期货    ,3728,354
20170721,IF1708                        ,2,国泰君安    ,1461,117,乾坤期货    ,1317,150,国泰君安    ,1709,311
20170721,IF1708                        ,3,海通期货    ,1354,334,国泰君安    ,1088,72,上海东证    ,1612,242
20170721,IF1708                        ,4,兴证期货    ,1249,22,海通期货    ,885,165,兴证期货    ,1074,159
20170721,IF1708                        ,5,光大期货    ,1064,-101,上海东证    ,871,180,光大期货    ,1073,49
20170721,IF1708                        ,6,银河期货    ,1049,228,广发期货    ,845,278,广发期货    ,934,79
20170721,IF1708                        ,7,五矿经易    ,951,218,兴证期货    ,801,-8,银河期货    ,833,171
20170721,IF1708                        ,8,华泰期货    ,853,61,永安期货    ,777,89,华泰期货    ,779,200
20170721,IF1708                        ,9,招商期货    ,819,252,银河期货    ,740,146,海通期货    ,754,137
20170721,IF1708                        ,10,广发期货    ,811,336,申银万国    ,702,76,永安期货    ,640,131
20170721,IF1708                        ,11,永安期货    ,600,130,五矿经易    ,700,-46,国投安信    ,639,28
20170721,IF1708                        ,12,上海东证    ,580,-334,华泰期货    ,656,165,招商期货    ,585,175
20170721,IF1708                        ,13,申银万国    ,555,118,鲁证期货    ,615,173,南华期货    ,465,126
20170721,IF1708                        ,14,鲁证期货    ,539,161,国富期货    ,599,-10,西部期货    ,326,86
20170721,IF1708                        ,15,南华期货    ,523,-35,光大期货    ,528,93,申银万国    ,310,31
20170721,IF1708                        ,16,浙商期货    ,500,153,招商期货    ,449,44,恒泰期货    ,272,27
20170721,IF1708                        ,17,新湖期货    ,489,114,中金期货    ,433,99,五矿经易    ,250,-31
20170721,IF1708                        ,18,方正中期    ,395,104,东航期货    ,341,33,中信建投    ,235,50
20170721,IF1708                        ,19,中信建投    ,368,127,中银国际    ,335,-34,弘业期货    ,227,19
20170721,IF1708                        ,20,国信期货    ,306,91,南华期货    ,330,43,国信期货    ,216,25
20170721,IF1709                        ,1,海通期货    ,317,47,中信期货    ,1695,189,中信期货    ,2609,67
20170721,IF1709                        ,2,中信期货    ,302,-276,五矿经易    ,1654,24,上海东证    ,1191,12
20170721,IF1709                        ,3,国泰君安    ,229,-11,国泰君安    ,1452,53,国投安信    ,1152,19
20170721,IF1709                        ,4,银河期货    ,210,81,南华期货    ,1051,26,光大期货    ,929,29
20170721,IF1709                        ,5,新湖期货    ,193,37,鲁证期货    ,771,5,华泰期货    ,921,4
20170721,IF1709                        ,6,五矿经易    ,177,-179,中金期货    ,644,0,银河期货    ,816,56
20170721,IF1709                        ,7,招商期货    ,145,6,申银万国    ,517,2,国泰君安    ,726,16
20170721,IF1709                        ,8,华泰期货    ,138,75,华联期货    ,458,-10,广发期货    ,463,-11
20170721,IF1709                        ,9,兴证期货    ,130,-77,银河期货    ,451,46,建信期货    ,339,0
20170721,IF1709                        ,10,光大期货    ,129,-78,华泰期货    ,370,-74,中金期货    ,339,20
20170721,IF1709                        ,11,北京首创    ,116,109,招商期货    ,285,6,渤海期货    ,317,-13
20170721,IF1709                        ,12,华西期货    ,103,-61,海通期货    ,278,4,招商期货    ,290,-39
20170721,IF1709                        ,13,南华期货    ,102,-31,中信建投    ,264,4,海通期货    ,282,29
20170721,IF1709                        ,14,上海东证    ,81,-80,兴证期货    ,232,36,华西期货    ,281,-5
20170721,IF1709                        ,15,方正中期    ,76,22,国投安信    ,232,-17,兴证期货    ,273,-10
