交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140212,TF1403                        ,期货公司,3432,-1240,3658,-222,3658,-222
20140212,TF1403                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140212,TF1403                        ,1,银河期货    ,345,-158,海通期货    ,739,-17,国泰君安    ,1085,-30
20140212,TF1403                        ,2,渤海期货    ,257,178,上海东证    ,504,-7,海通期货    ,705,-5
20140212,TF1403                        ,3,国泰君安    ,247,-185,中信期货    ,393,-85,中信建投    ,342,-26
20140212,TF1403                        ,4,中信期货    ,240,-179,广发期货    ,328,0,上海东证    ,319,-4
20140212,TF1403                        ,5,广发期货    ,175,-134,国海良时    ,156,7,广发期货    ,202,-19
20140212,TF1403                        ,6,华泰长城    ,174,70,信达期货    ,148,-34,财富期货    ,105,-6
20140212,TF1403                        ,7,海通期货    ,162,-68,华泰长城    ,109,-10,华泰长城    ,103,-18
20140212,TF1403                        ,8,申银万国    ,156,-68,财富期货    ,107,0,东海期货    ,77,0
20140212,TF1403                        ,9,招商期货    ,134,27,国信期货    ,105,13,招商期货    ,75,-32
20140212,TF1403                        ,10,和融期货    ,114,-14,国泰君安    ,90,-9,永安期货    ,57,0
20140212,TF1403                        ,11,长江期货    ,97,-1,中国国际    ,72,19,中粮期货    ,44,-1
20140212,TF1403                        ,12,信达期货    ,90,1,兴证期货    ,70,2,和融期货    ,42,-114
20140212,TF1403                        ,13,国信期货    ,78,1,宝城期货    ,56,-10,信达期货    ,41,0
20140212,TF1403                        ,14,宝城期货    ,70,-17,申银万国    ,52,7,南华期货    ,33,4
20140212,TF1403                        ,15,中信建投    ,68,-54,中粮期货    ,45,5,中信期货    ,33,-5
20140212,TF1403                        ,16,国投中谷    ,61,49,上海浙石    ,43,0,国信期货    ,33,-1
20140212,TF1403                        ,17,上海中期    ,54,4,新湖期货    ,43,6,银河期货    ,29,13
20140212,TF1403                        ,18,海航东银    ,52,-74,一德期货    ,38,-1,申银万国    ,27,-7
20140212,TF1403                        ,19,光大期货    ,49,-6,招商期货    ,37,-6,浙商期货    ,26,-2
20140212,TF1403                        ,20,华西期货    ,49,-39,浙商期货    ,34,-1,国金期货    ,21,18
