交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140627,TF1409                        ,期货公司,1052,-804,7396,57,7396,57
20140627,TF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140627,TF1409                        ,1,国泰君安    ,139,-111,中信期货    ,800,-38,海通期货    ,1152,-3
20140627,TF1409                        ,2,银河期货    ,99,-120,新湖期货    ,739,51,国泰君安    ,899,43
20140627,TF1409                        ,3,光大期货    ,73,58,财富期货    ,707,23,中信建投    ,864,-10
20140627,TF1409                        ,4,中信期货    ,65,-10,海通期货    ,475,0,五矿期货    ,649,-1
20140627,TF1409                        ,5,新湖期货    ,61,38,大连良运    ,391,0,上海东证    ,602,-2
20140627,TF1409                        ,6,申银万国    ,48,-10,中银国际    ,347,2,民生期货    ,494,0
20140627,TF1409                        ,7,中信建投    ,47,-63,申银万国    ,346,0,中信期货    ,432,-5
20140627,TF1409                        ,8,东海期货    ,38,-53,长江期货    ,345,0,东海期货    ,414,18
20140627,TF1409                        ,9,华泰长城    ,32,-3,国泰君安    ,305,12,南华期货    ,371,0
20140627,TF1409                        ,10,冠通期货    ,30,-41,北京首创    ,289,1,永安期货    ,325,-3
20140627,TF1409                        ,11,宝城期货    ,28,1,中钢期货    ,260,0,和融期货    ,313,0
20140627,TF1409                        ,12,招商期货    ,24,20,中粮期货    ,239,-2,招商期货    ,148,4
20140627,TF1409                        ,13,财富期货    ,23,-6,光大期货    ,208,0,广发期货    ,134,1
20140627,TF1409                        ,14,国联期货    ,22,-12,中融汇信    ,165,0,安信期货    ,66,1
20140627,TF1409                        ,15,南华期货    ,19,-109,银河期货    ,158,-4,上海中期    ,61,-1
20140627,TF1409                        ,16,倍特期货    ,19,-14,方正中期    ,126,1,宏源期货    ,60,0
20140627,TF1409                        ,17,中信新际    ,18,6,安信期货    ,125,0,金元期货    ,44,0
20140627,TF1409                        ,18,上海中期    ,18,-19,上海东证    ,121,1,华泰长城    ,42,-1
20140627,TF1409                        ,19,永安期货    ,17,-35,上海中期    ,110,7,中投天琪    ,37,0
20140627,TF1409                        ,20,广发期货    ,17,-14,华泰长城    ,104,3,光大期货    ,30,1
