交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141204,TF1412                        ,期货公司,58,-72,302,0,302,0
20141204,TF1412                        ,非期货公司,0,0,0,0,0,0
20141204,TF1503                        ,期货公司,25828,-4604,20040,54,20040,54
20141204,TF1503                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141204,TF1412                        ,1,申银万国    ,13,-1,中信建投    ,108,0,海通期货    ,120,0
20141204,TF1412                        ,2,华泰长城    ,12,-12,永安期货    ,107,1,东海期货    ,89,0
20141204,TF1412                        ,3,上海中期    ,6,0,中信期货    ,42,0,国泰君安    ,31,-1
20141204,TF1412                        ,4,兴证期货    ,5,5,上海东证    ,30,0,招商期货    ,29,0
20141204,TF1412                        ,5,万达期货    ,4,-2,中国国际    ,6,0,和融期货    ,20,0
20141204,TF1412                        ,6,徽商期货    ,4,4,上海中期    ,4,2,上海东证    ,10,0
20141204,TF1412                        ,7,国泰君安    ,3,-14,申银万国    ,2,-1,华泰长城    ,2,2
20141204,TF1412                        ,8,东海期货    ,2,0,光大期货    ,1,1,兴证期货    ,1,1
20141204,TF1412                        ,9,招商期货    ,2,2,国信期货    ,1,1,永安期货    ,0,0
20141204,TF1412                        ,10,东航期货    ,2,2,安粮期货    ,1,0,光大期货    ,0,0
20141204,TF1412                        ,11,国海良时    ,2,2,国泰君安    ,0,-2,中信期货    ,0,0
20141204,TF1412                        ,12,永安期货    ,1,-15,东海期货    ,0,0,国信期货    ,0,0
20141204,TF1412                        ,13,光大期货    ,1,-2,华泰长城    ,0,-2,中信建投    ,0,0
20141204,TF1412                        ,14,国信期货    ,1,1,兴证期货    ,0,0,万达期货    ,0,0
20141204,TF1412                        ,15,中信期货    ,0,0,万达期货    ,0,0,申银万国    ,0,0
20141204,TF1412                        ,16,中信建投    ,0,0,和融期货    ,0,0,东航期货    ,0,0
20141204,TF1412                        ,17,和融期货    ,0,0,海通期货    ,0,0,中国国际    ,0,0
20141204,TF1412                        ,18,海通期货    ,0,-6,招商期货    ,0,0,上海中期    ,0,-2
20141204,TF1412                        ,19,上海东证    ,0,-6,东航期货    ,0,0,国海良时    ,0,0
20141204,TF1412                        ,20,中国国际    ,0,-10,国海良时    ,0,0,徽商期货    ,0,0
20141204,TF1503                        ,1,银河期货    ,5066,101,国泰君安    ,2027,-198,中信建投    ,5277,185
20141204,TF1503                        ,2,国泰君安    ,2063,44,海通期货    ,1449,357,海通期货    ,3031,4
20141204,TF1503                        ,3,上海东证    ,1044,24,中信期货    ,1359,68,国泰君安    ,2130,-13
20141204,TF1503                        ,4,海通期货    ,1001,159,新湖期货    ,1295,-15,永安期货    ,1744,-110
20141204,TF1503                        ,5,中信期货    ,954,-1480,招商期货    ,1069,178,上海东证    ,1736,-190
20141204,TF1503                        ,6,冠通期货    ,937,-168,长江期货    ,1066,-135,中信期货    ,1668,104
20141204,TF1503                        ,7,华泰长城    ,894,250,中国国际    ,757,-26,五矿期货    ,676,2
20141204,TF1503                        ,8,申银万国    ,802,66,永安期货    ,720,-32,上海中期    ,424,18
20141204,TF1503                        ,9,东兴期货    ,715,357,银河期货    ,637,-180,招商期货    ,344,-17
20141204,TF1503                        ,10,光大期货    ,705,52,民生期货    ,580,67,东兴期货    ,320,310
20141204,TF1503                        ,11,国金期货    ,657,-138,光大期货    ,560,-96,南华期货    ,272,-16
20141204,TF1503                        ,12,兴证期货    ,622,293,财富期货    ,546,0,兴证期货    ,236,94
20141204,TF1503                        ,13,广发期货    ,606,-936,华泰长城    ,505,77,国金期货    ,217,-369
20141204,TF1503                        ,14,新湖期货    ,577,352,中粮期货    ,474,-28,银河期货    ,210,40
20141204,TF1503                        ,15,永安期货    ,558,-354,中钢期货    ,471,1,安信期货    ,206,14
20141204,TF1503                        ,16,东航期货    ,557,-48,申银万国    ,412,33,和融期货    ,180,150
20141204,TF1503                        ,17,鲁证期货    ,465,-110,鲁证期货    ,405,2,东海期货    ,152,-95
20141204,TF1503                        ,18,中信建投    ,414,-413,上海东证    ,376,-26,华泰长城    ,139,-41
20141204,TF1503                        ,19,招商期货    ,347,-260,中信建投    ,318,11,新世纪     ,86,-2
20141204,TF1503                        ,20,东海期货    ,315,40,同信久恒    ,293,5,金元期货    ,83,-2
