交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141210,TF1412                        ,期货公司,172,-30,285,17,285,17
20141210,TF1412                        ,非期货公司,0,0,0,0,0,0
20141210,TF1503                        ,期货公司,26426,-23378,21827,-1082,21827,-1082
20141210,TF1503                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141210,TF1412                        ,1,永安期货    ,26,19,永安期货    ,140,26,海通期货    ,120,0
20141210,TF1412                        ,2,申银万国    ,23,6,中信建投    ,89,12,东海期货    ,89,0
20141210,TF1412                        ,3,上海东证    ,23,23,中信期货    ,47,5,国泰君安    ,30,0
20141210,TF1412                        ,4,中信建投    ,20,12,上海东证    ,9,-21,招商期货    ,29,19
20141210,TF1412                        ,5,新湖期货    ,20,20,国泰君安    ,0,0,和融期货    ,17,0
20141210,TF1412                        ,6,招商期货    ,19,19,南华期货    ,0,0,南华期货    ,0,0
20141210,TF1412                        ,7,上海中期    ,14,9,鲁证期货    ,0,0,永安期货    ,0,0
20141210,TF1412                        ,8,中信期货    ,5,-79,东海期货    ,0,0,鲁证期货    ,0,0
20141210,TF1412                        ,9,南华期货    ,4,4,浙商期货    ,0,-1,浙商期货    ,0,0
20141210,TF1412                        ,10,鲁证期货    ,4,2,广发期货    ,0,0,广发期货    ,0,0
20141210,TF1412                        ,11,兴证期货    ,4,-4,兴证期货    ,0,0,中信期货    ,0,0
20141210,TF1412                        ,12,南证期货    ,4,4,万达期货    ,0,0,兴证期货    ,0,0
20141210,TF1412                        ,13,广发期货    ,2,2,和融期货    ,0,0,中信建投    ,0,0
20141210,TF1412                        ,14,浙商期货    ,1,0,申银万国    ,0,-2,万达期货    ,0,-1
20141210,TF1412                        ,15,万达期货    ,1,-2,海通期货    ,0,0,申银万国    ,0,-1
20141210,TF1412                        ,16,安信期货    ,1,0,招商期货    ,0,0,南证期货    ,0,0
20141210,TF1412                        ,17,中国国际    ,1,0,南证期货    ,0,0,安信期货    ,0,0
20141210,TF1412                        ,18,国泰君安    ,0,-4,安信期货    ,0,-1,新湖期货    ,0,0
20141210,TF1412                        ,19,东海期货    ,0,0,新湖期货    ,0,0,上海东证    ,0,0
20141210,TF1412                        ,20,和融期货    ,0,-7,中国国际    ,0,-1,中国国际    ,0,0
20141210,TF1503                        ,1,银河期货    ,4124,-3361,招商期货    ,1708,-74,中信建投    ,5297,-21
20141210,TF1503                        ,2,国泰君安    ,2174,-1970,中信期货    ,1488,-167,海通期货    ,3752,-380
20141210,TF1503                        ,3,海通期货    ,1410,143,国泰君安    ,1322,-125,中信期货    ,2711,-180
20141210,TF1503                        ,4,招商期货    ,1195,-1694,新湖期货    ,1224,-4,国泰君安    ,2467,-99
20141210,TF1503                        ,5,上海东证    ,1143,-532,海通期货    ,1193,-346,上海东证    ,1669,-13
20141210,TF1503                        ,6,冠通期货    ,1122,-640,永安期货    ,1145,74,永安期货    ,1646,25
20141210,TF1503                        ,7,中信期货    ,1119,-2471,华泰长城    ,1095,-29,五矿期货    ,689,2
20141210,TF1503                        ,8,鲁证期货    ,791,118,长江期货    ,1055,-5,上海中期    ,509,-15
20141210,TF1503                        ,9,广发期货    ,759,-433,申银万国    ,791,17,光大期货    ,314,85
20141210,TF1503                        ,10,申银万国    ,739,-1200,五矿期货    ,790,16,银河期货    ,300,17
20141210,TF1503                        ,11,东兴期货    ,649,383,中信建投    ,620,-2,东兴期货    ,290,-400
20141210,TF1503                        ,12,光大期货    ,623,-340,鲁证期货    ,549,14,招商期货    ,288,-7
20141210,TF1503                        ,13,东航期货    ,572,-646,广发期货    ,517,26,安信期货    ,263,9
20141210,TF1503                        ,14,华泰长城    ,523,-334,中国国际    ,500,2,南华期货    ,242,-17
20141210,TF1503                        ,15,徽商期货    ,504,49,银河期货    ,472,-47,广发期货    ,159,-41
20141210,TF1503                        ,16,中信建投    ,481,-896,光大期货    ,457,10,国金期货    ,152,15
20141210,TF1503                        ,17,方正中期    ,469,-443,大地期货    ,431,-189,东海期货    ,135,1
20141210,TF1503                        ,18,新湖期货    ,467,-292,南华期货    ,410,-18,华泰长城    ,107,10
20141210,TF1503                        ,19,永安期货    ,455,-782,中粮期货    ,382,135,和融期货    ,101,-9
20141210,TF1503                        ,20,大地期货    ,362,203,东兴期货    ,334,-5,新世纪     ,82,0
