交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150304,TF1503                        ,期货公司,436,-184,709,-90,709,-90
20150304,TF1503                        ,非期货公司,0,0,0,0,0,0
20150304,TF1506                        ,期货公司,22834,5044,32070,1183,32070,1183
20150304,TF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150304,TF1503                        ,1,海通期货    ,105,40,中信期货    ,205,17,海通期货    ,590,-70
20150304,TF1503                        ,2,银河期货    ,63,6,永安期货    ,143,6,兴证期货    ,39,0
20150304,TF1503                        ,3,中信期货    ,47,4,上海东证    ,101,0,宝城期货    ,11,0
20150304,TF1503                        ,4,美尔雅     ,33,33,东海期货    ,94,10,信达期货    ,10,0
20150304,TF1503                        ,5,信达期货    ,30,3,东航期货    ,41,-9,国投中谷    ,10,0
20150304,TF1503                        ,6,永安期货    ,26,-37,同信久恒    ,30,-10,徽商期货    ,8,0
20150304,TF1503                        ,7,东航期货    ,17,-52,中信建投    ,22,10,国信期货    ,7,0
20150304,TF1503                        ,8,上海中期    ,17,4,安信期货    ,22,0,华泰长城    ,6,-1
20150304,TF1503                        ,9,国泰君安    ,14,-1,南华期货    ,20,0,国泰君安    ,5,0
20150304,TF1503                        ,10,东海期货    ,10,-29,国泰君安    ,11,-2,中信期货    ,5,0
20150304,TF1503                        ,11,同信久恒    ,10,-20,广发期货    ,6,0,招商期货    ,5,0
20150304,TF1503                        ,12,中信建投    ,10,9,光大期货    ,5,0,中国国际    ,4,4
20150304,TF1503                        ,13,申银万国    ,9,-5,宏源期货    ,3,0,申银万国    ,3,0
20150304,TF1503                        ,14,国联期货    ,7,0,国信期货    ,2,0,英大期货    ,3,-3
20150304,TF1503                        ,15,中国国际    ,7,-1,新湖期货    ,2,0,光大期货    ,2,2
20150304,TF1503                        ,16,招商期货    ,6,2,银河期货    ,1,-1,大越期货    ,1,0
20150304,TF1503                        ,17,兴证期货    ,4,2,国海良时    ,1,-3,南华期货    ,0,0
20150304,TF1503                        ,18,宝城期货    ,4,-2,华泰长城    ,0,0,永安期货    ,0,-20
20150304,TF1503                        ,19,英大期货    ,3,-1,信达期货    ,0,-30,东海期货    ,0,0
20150304,TF1503                        ,20,国海良时    ,3,1,兴证期货    ,0,0,广发期货    ,0,0
20150304,TF1506                        ,1,招商期货    ,5874,4398,中信期货    ,4381,259,中信建投    ,7027,215
20150304,TF1506                        ,2,银河期货    ,3214,876,浙商期货    ,2298,291,五矿期货    ,4252,-5
20150304,TF1506                        ,3,国泰君安    ,1447,-41,招商期货    ,1964,49,国泰君安    ,3889,97
20150304,TF1506                        ,4,中信期货    ,1177,-597,新湖期货    ,1946,31,海通期货    ,3368,22
20150304,TF1506                        ,5,中信建投    ,805,254,永安期货    ,1805,160,中信期货    ,3151,314
20150304,TF1506                        ,6,海通期货    ,668,-316,海通期货    ,1649,-20,永安期货    ,3086,30
20150304,TF1506                        ,7,申银万国    ,614,227,国泰君安    ,1297,54,上海东证    ,2016,-7
20150304,TF1506                        ,8,东兴期货    ,463,262,长江期货    ,1255,-21,招商期货    ,844,279
20150304,TF1506                        ,9,冠通期货    ,453,-3,财富期货    ,1139,0,东海期货    ,825,38
20150304,TF1506                        ,10,广发期货    ,428,-3,华泰长城    ,1089,2,国金期货    ,684,62
20150304,TF1506                        ,11,浙商期货    ,414,-85,中国国际    ,904,172,兴证期货    ,516,-9
20150304,TF1506                        ,12,徽商期货    ,406,-45,中信建投    ,859,-36,上海中期    ,320,-6
20150304,TF1506                        ,13,华泰长城    ,401,-128,上海东证    ,741,58,和融期货    ,240,30
20150304,TF1506                        ,14,东航期货    ,401,90,安粮期货    ,646,14,华泰长城    ,233,19
20150304,TF1506                        ,15,方正中期    ,391,187,五矿期货    ,644,6,同信久恒    ,222,0
20150304,TF1506                        ,16,光大期货    ,377,64,鲁证期货    ,598,16,南华期货    ,198,-8
20150304,TF1506                        ,17,永安期货    ,334,64,银河期货    ,549,28,广发期货    ,140,72
20150304,TF1506                        ,18,中国国际    ,322,163,中钢期货    ,522,3,安信期货    ,127,41
20150304,TF1506                        ,19,海航东银    ,274,185,倍特期货    ,479,4,瑞达期货    ,96,4
20150304,TF1506                        ,20,南华期货    ,272,2,中粮期货    ,442,18,宏源期货    ,83,0
