交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150515,TF1506                        ,期货公司,9964,-4944,17558,-981,17558,-981
20150515,TF1506                        ,非期货公司,0,0,0,0,0,0
20150515,TF1509                        ,期货公司,6122,-4256,18527,-132,18527,-132
20150515,TF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150515,TF1506                        ,1,银河期货    ,992,-542,中信期货    ,1536,-191,国泰君安    ,3705,-32
20150515,TF1506                        ,2,中信期货    ,719,-146,方正中期    ,1049,296,上海东证    ,3312,2
20150515,TF1506                        ,3,招商期货    ,687,-418,长江期货    ,986,-12,永安期货    ,2942,-28
20150515,TF1506                        ,4,中信建投    ,629,-358,上海东证    ,981,-71,中信期货    ,2164,-380
20150515,TF1506                        ,5,南华期货    ,500,297,南华期货    ,969,87,中信建投    ,1843,-248
20150515,TF1506                        ,6,大地期货    ,491,-223,海通期货    ,967,-31,五矿期货    ,649,1
20150515,TF1506                        ,7,方正中期    ,479,-183,中信建投    ,857,-3,南华期货    ,602,-3
20150515,TF1506                        ,8,国泰君安    ,443,-579,国泰君安    ,854,-45,东海期货    ,483,27
20150515,TF1506                        ,9,广发期货    ,282,-103,五矿期货    ,802,-19,海通期货    ,360,-2
20150515,TF1506                        ,10,申银万国    ,269,-118,大地期货    ,659,-225,和融期货    ,281,-50
20150515,TF1506                        ,11,海通期货    ,247,-149,中国国际    ,597,-87,光大期货    ,202,-7
20150515,TF1506                        ,12,华泰长城    ,218,-471,金瑞期货    ,585,6,国金期货    ,183,-100
20150515,TF1506                        ,13,中国国际    ,211,149,永安期货    ,521,-24,宏源期货    ,100,-57
20150515,TF1506                        ,14,光大期货    ,210,43,鲁证期货    ,494,-30,银河期货    ,78,-25
20150515,TF1506                        ,15,永安期货    ,194,-28,宏源期货    ,491,-8,瑞达期货    ,74,13
20150515,TF1506                        ,16,上海东亚    ,184,-162,大连良运    ,462,0,安信期货    ,63,7
20150515,TF1506                        ,17,东海期货    ,170,-142,新湖期货    ,417,-22,国海良时    ,50,-12
20150515,TF1506                        ,18,华西期货    ,152,27,东兴期货    ,401,-33,建信期货    ,45,-5
20150515,TF1506                        ,19,上海东证    ,151,-225,招商期货    ,380,-11,中国国际    ,44,-2
20150515,TF1506                        ,20,英大期货    ,145,123,上海中期    ,332,-14,中衍期货    ,36,4
20150515,TF1509                        ,1,中信期货    ,464,-162,中信期货    ,2557,231,海通期货    ,4506,48
20150515,TF1509                        ,2,新湖期货    ,425,-35,招商期货    ,1519,-111,国泰君安    ,3307,8
20150515,TF1509                        ,3,申银万国    ,360,-266,华泰长城    ,1408,-7,五矿期货    ,2853,-90
20150515,TF1509                        ,4,国泰君安    ,347,-317,北京首创    ,1356,11,中信建投    ,1519,0
20150515,TF1509                        ,5,光大期货    ,282,164,财富期货    ,1141,21,中信期货    ,1371,-47
20150515,TF1509                        ,6,银河期货    ,281,-783,方正中期    ,1085,4,宏源期货    ,1213,45
20150515,TF1509                        ,7,永安期货    ,272,-12,新湖期货    ,1065,-42,南华期货    ,605,-6
20150515,TF1509                        ,8,海通期货    ,245,-601,国泰君安    ,867,-29,永安期货    ,523,-5
20150515,TF1509                        ,9,华泰长城    ,242,-131,国信期货    ,719,0,兴证期货    ,517,0
20150515,TF1509                        ,10,安信期货    ,232,136,永安期货    ,693,-27,国金期货    ,427,69
20150515,TF1509                        ,11,南华期货    ,178,95,上海东证    ,641,61,和融期货    ,363,8
20150515,TF1509                        ,12,大地期货    ,161,-81,华安期货    ,552,2,安信期货    ,247,-200
20150515,TF1509                        ,13,民生期货    ,160,160,浙商期货    ,498,8,东海期货    ,199,-32
20150515,TF1509                        ,14,广发期货    ,136,-33,银河期货    ,415,-28,上海东证    ,144,-21
20150515,TF1509                        ,15,上海东证    ,136,-41,光大期货    ,411,0,申银万国    ,98,-31
20150515,TF1509                        ,16,招商期货    ,135,3,东兴期货    ,331,-2,中粮期货    ,81,1
20150515,TF1509                        ,17,五矿期货    ,124,11,海通期货    ,316,17,光大期货    ,71,60
20150515,TF1509                        ,18,一德期货    ,123,101,五矿期货    ,295,4,东航期货    ,68,10
20150515,TF1509                        ,19,长江期货    ,111,-33,申银万国    ,266,1,华泰长城    ,62,7
20150515,TF1509                        ,20,西部期货    ,101,23,同信久恒    ,217,-3,弘业期货    ,40,0
