交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150601,TF1506                        ,期货公司,2530,382,2772,-780,2772,-780
20150601,TF1506                        ,非期货公司,0,0,0,0,0,0
20150601,TF1509                        ,期货公司,28624,13444,25356,-1176,25356,-1176
20150601,TF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150601,TF1506                        ,1,国泰君安    ,365,193,中信期货    ,1210,4,国泰君安    ,1170,-319
20150601,TF1506                        ,2,上海东证    ,290,-54,宏源期货    ,503,-170,上海东证    ,713,-286
20150601,TF1506                        ,3,光大期货    ,227,195,同信久恒    ,223,-9,东海期货    ,240,131
20150601,TF1506                        ,4,华泰长城    ,214,110,国泰君安    ,163,-4,中信期货    ,215,0
20150601,TF1506                        ,5,东海期货    ,209,43,招商期货    ,107,-13,海通期货    ,130,0
20150601,TF1506                        ,6,海通期货    ,186,141,上海东证    ,104,-2,兴业期货    ,75,-19
20150601,TF1506                        ,7,宏源期货    ,171,164,安信期货    ,100,-10,南华期货    ,72,17
20150601,TF1506                        ,8,中国国际    ,134,-40,银河期货    ,64,-10,永安期货    ,57,-35
20150601,TF1506                        ,9,方正中期    ,129,69,东航期货    ,60,0,银河期货    ,40,0
20150601,TF1506                        ,10,国海良时    ,91,82,中国国际    ,43,-106,中信建投    ,20,-58
20150601,TF1506                        ,11,中信期货    ,76,-2,北京首创    ,40,0,国海良时    ,17,0
20150601,TF1506                        ,12,申银万国    ,63,41,海通期货    ,39,-182,申银万国    ,5,5
20150601,TF1506                        ,13,中信建投    ,60,7,永安期货    ,25,-14,美尔雅     ,5,4
20150601,TF1506                        ,14,永安期货    ,55,-11,方正中期    ,20,-98,华泰长城    ,4,4
20150601,TF1506                        ,15,广发期货    ,40,-31,中信建投    ,11,-2,格林大华    ,3,0
20150601,TF1506                        ,16,浙商期货    ,23,17,南华期货    ,10,-3,中国国际    ,3,0
20150601,TF1506                        ,17,南华期货    ,20,-103,兴业期货    ,10,1,招商期货    ,2,0
20150601,TF1506                        ,18,兴业期货    ,20,20,弘业期货    ,5,0,光大期货    ,1,-199
20150601,TF1506                        ,19,一德期货    ,16,12,华泰长城    ,4,-2,一德期货    ,0,0
20150601,TF1506                        ,20,银河期货    ,16,-6,申银万国    ,4,-2,浙商期货    ,0,-8
20150601,TF1509                        ,1,银河期货    ,3194,1498,中信期货    ,1859,-748,海通期货    ,4457,-239
20150601,TF1509                        ,2,招商期货    ,2008,802,国泰君安    ,1426,286,国泰君安    ,3864,-263
20150601,TF1509                        ,3,国泰君安    ,1865,817,北京首创    ,1424,-13,中信建投    ,3692,55
20150601,TF1509                        ,4,中信期货    ,1716,1201,五矿期货    ,1415,186,五矿期货    ,3134,-239
20150601,TF1509                        ,5,新湖期货    ,966,893,华泰长城    ,1258,14,永安期货    ,1912,-154
20150601,TF1509                        ,6,申银万国    ,959,564,方正中期    ,1195,-7,宏源期货    ,1621,-169
20150601,TF1509                        ,7,东海期货    ,894,616,永安期货    ,1191,23,中信期货    ,1419,-294
20150601,TF1509                        ,8,海通期货    ,876,120,长江期货    ,1106,-5,南华期货    ,1067,4
20150601,TF1509                        ,9,一德期货    ,837,491,南华期货    ,903,-4,上海东证    ,917,8
20150601,TF1509                        ,10,中信建投    ,770,473,海通期货    ,848,213,财富期货    ,517,391
20150601,TF1509                        ,11,五矿期货    ,571,432,金瑞期货    ,811,102,大连良运    ,450,60
20150601,TF1509                        ,12,华泰长城    ,567,102,国信期货    ,778,-15,兴业期货    ,380,-63
20150601,TF1509                        ,13,方正中期    ,554,385,大地期货    ,767,-45,兴证期货    ,195,-180
20150601,TF1509                        ,14,浙商期货    ,553,96,上海东证    ,736,-33,和融期货    ,179,-70
20150601,TF1509                        ,15,永安期货    ,539,313,华安期货    ,689,3,华泰长城    ,131,57
20150601,TF1509                        ,16,光大期货    ,533,263,东兴期货    ,652,0,中钢期货    ,130,-20
20150601,TF1509                        ,17,江海汇鑫    ,514,514,广发期货    ,643,46,申银万国    ,129,9
20150601,TF1509                        ,18,长江期货    ,508,253,光大期货    ,636,-202,方正中期    ,94,17
20150601,TF1509                        ,19,广发期货    ,506,-136,鲁证期货    ,600,5,中粮期货    ,85,-2
20150601,TF1509                        ,20,中国国际    ,488,261,银河期货    ,567,22,银河期货    ,83,18
