交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160603,TF1606                        ,期货公司,0,-10,317,0,317,0
20160603,TF1606                        ,非期货公司,0,0,0,0,0,0
20160603,TF1609                        ,期货公司,11674,2618,26416,368,26416,368
20160603,TF1609                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160603,TF1606                        ,1,国泰君安    ,0,0,申银万国    ,297,0,兴证期货    ,224,0
20160603,TF1606                        ,2,南华期货    ,0,0,国泰君安    ,10,0,永安期货    ,43,0
20160603,TF1606                        ,3,永安期货    ,0,0,华安期货    ,10,0,海通期货    ,20,0
20160603,TF1606                        ,4,兴证期货    ,0,-5,南华期货    ,0,0,宏源期货    ,13,0
20160603,TF1606                        ,5,国贸期货    ,0,0,永安期货    ,0,0,南华期货    ,9,0
20160603,TF1606                        ,6,申银万国    ,0,0,兴证期货    ,0,0,上海东证    ,5,0
20160603,TF1606                        ,7,海通期货    ,0,0,国贸期货    ,0,0,国贸期货    ,3,0
20160603,TF1606                        ,8,宏源期货    ,0,0,海通期货    ,0,0,国泰君安    ,0,0
20160603,TF1606                        ,9,华安期货    ,0,0,宏源期货    ,0,0,申银万国    ,0,0
20160603,TF1606                        ,10,上海东证    ,0,0,上海东证    ,0,0,华安期货    ,0,0
20160603,TF1609                        ,1,海通期货    ,1447,140,华泰期货    ,3627,-38,海通期货    ,5422,-69
20160603,TF1609                        ,2,鲁证期货    ,813,247,中信期货    ,2940,-27,中信建投    ,4340,-49
20160603,TF1609                        ,3,光大期货    ,726,226,平安期货    ,2880,31,永安期货    ,3338,38
20160603,TF1609                        ,4,申银万国    ,706,578,光大期货    ,1883,11,渤海期货    ,1701,84
20160603,TF1609                        ,5,国泰君安    ,697,216,招商期货    ,1559,-21,国泰君安    ,1675,36
20160603,TF1609                        ,6,中信期货    ,677,98,新湖期货    ,1474,0,和融期货    ,1423,100
20160603,TF1609                        ,7,南华期货    ,656,186,申银万国    ,1441,529,中信期货    ,1154,50
20160603,TF1609                        ,8,兴证期货    ,399,93,中粮期货    ,1161,5,兴业期货    ,1030,0
20160603,TF1609                        ,9,中信建投    ,395,270,国泰君安    ,1023,135,宏源期货    ,629,-1
20160603,TF1609                        ,10,中融汇信    ,342,338,上海东证    ,1009,-3,华泰期货    ,408,10
20160603,TF1609                        ,11,上海东亚    ,333,-16,海通期货    ,843,-2,金元期货    ,393,5
20160603,TF1609                        ,12,上海东证    ,331,20,南华期货    ,636,-91,光大期货    ,341,5
20160603,TF1609                        ,13,方正中期    ,309,78,鲁证期货    ,628,-174,南华期货    ,301,25
20160603,TF1609                        ,14,国金期货    ,286,80,中国国际    ,572,5,上海东证    ,285,4
20160603,TF1609                        ,15,永安期货    ,261,181,国金期货    ,518,-74,申银万国    ,278,-25
20160603,TF1609                        ,16,迈科期货    ,244,-57,广发期货    ,444,-21,银河期货    ,260,2
20160603,TF1609                        ,17,长江期货    ,191,106,天风期货    ,408,0,东海期货    ,252,0
20160603,TF1609                        ,18,银河期货    ,181,96,永安期货    ,407,23,方正中期    ,246,-63
20160603,TF1609                        ,19,华泰期货    ,168,-71,中金期货    ,400,1,鲁证期货    ,200,151
20160603,TF1609                        ,20,华鑫期货    ,163,154,中信建投    ,343,-28,广发期货    ,197,3
