交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160819,TF1609                        ,期货公司,3846,-568,2251,-779,2251,-779
20160819,TF1609                        ,非期货公司,0,0,0,0,0,0
20160819,TF1612                        ,期货公司,22098,6746,19174,-993,19174,-993
20160819,TF1612                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160819,TF1609                        ,1,宝城期货    ,324,183,平安期货    ,738,-167,永安期货    ,471,-89
20160819,TF1609                        ,2,美尔雅     ,248,-28,天风期货    ,248,-129,中信期货    ,373,-53
20160819,TF1609                        ,3,上海东证    ,234,10,中信期货    ,237,-6,鲁证期货    ,173,154
20160819,TF1609                        ,4,国泰君安    ,223,105,国泰君安    ,197,-12,上海东证    ,140,29
20160819,TF1609                        ,5,西部期货    ,215,88,永安期货    ,124,-74,国金期货    ,120,99
20160819,TF1609                        ,6,鲁证期货    ,208,-190,国金期货    ,96,-28,西部期货    ,105,-140
20160819,TF1609                        ,7,永安期货    ,195,3,银河期货    ,94,-1,光大期货    ,84,-102
20160819,TF1609                        ,8,中信建投    ,174,149,新湖期货    ,94,-4,国信期货    ,76,2
20160819,TF1609                        ,9,平安期货    ,172,80,一德期货    ,84,0,国贸期货    ,66,-13
20160819,TF1609                        ,10,南华期货    ,161,-16,国投安信    ,54,0,华泰期货    ,50,-7
20160819,TF1609                        ,11,华西期货    ,160,-13,华泰期货    ,31,-4,瑞达期货    ,49,-36
20160819,TF1609                        ,12,光大期货    ,152,127,东航期货    ,29,-35,国投安信    ,46,-4
20160819,TF1609                        ,13,广发期货    ,147,123,英大期货    ,26,-5,中辉期货    ,46,-18
20160819,TF1609                        ,14,国金期货    ,143,51,鲁证期货    ,25,-40,兴证期货    ,40,-1
20160819,TF1609                        ,15,天风期货    ,130,130,兴证期货    ,21,-9,中大期货    ,40,0
20160819,TF1609                        ,16,海通期货    ,102,-327,长江期货    ,21,0,国泰君安    ,38,-93
20160819,TF1609                        ,17,中信期货    ,93,-268,招商期货    ,21,0,申银万国    ,36,-1
20160819,TF1609                        ,18,兴证期货    ,90,11,海通期货    ,13,-6,江海汇鑫    ,32,-2
20160819,TF1609                        ,19,宏源期货    ,90,-62,方正中期    ,13,-17,中粮期货    ,22,-1
20160819,TF1609                        ,20,方正中期    ,68,8,美尔雅     ,12,-1,银河期货    ,17,10
20160819,TF1612                        ,1,中信期货    ,2045,742,中信期货    ,3959,-163,海通期货    ,3620,-25
20160819,TF1612                        ,2,南华期货    ,1648,223,新湖期货    ,1829,6,中信建投    ,2902,-247
20160819,TF1612                        ,3,海通期货    ,1456,362,招商期货    ,1203,5,永安期货    ,2432,102
20160819,TF1612                        ,4,中信建投    ,1309,319,永安期货    ,1180,103,中信期货    ,2027,88
20160819,TF1612                        ,5,鲁证期货    ,1216,256,华泰期货    ,918,189,国泰君安    ,1407,-106
20160819,TF1612                        ,6,光大期货    ,1213,419,中粮期货    ,835,-408,上海东证    ,1079,112
20160819,TF1612                        ,7,华泰期货    ,1100,585,国泰君安    ,777,-18,兴业期货    ,1068,1
20160819,TF1612                        ,8,国泰君安    ,1078,430,申银万国    ,690,18,和融期货    ,495,-137
20160819,TF1612                        ,9,平安期货    ,727,109,海通期货    ,610,-21,渤海期货    ,423,5
20160819,TF1612                        ,10,上海东亚    ,657,197,银河期货    ,586,-2,银河期货    ,403,-78
20160819,TF1612                        ,11,永安期货    ,619,215,天风期货    ,559,-200,乾坤期货    ,230,0
20160819,TF1612                        ,12,申银万国    ,534,200,中金期货    ,456,0,华泰期货    ,226,-71
20160819,TF1612                        ,13,华西期货    ,526,88,鲁证期货    ,434,379,天风期货    ,217,-120
20160819,TF1612                        ,14,广发期货    ,488,188,中信建投    ,432,-2,鲁证期货    ,210,-253
20160819,TF1612                        ,15,中粮期货    ,473,422,东航期货    ,432,41,国投安信    ,162,5
20160819,TF1612                        ,16,上海东证    ,468,324,广发期货    ,361,-206,上海东亚    ,151,-28
20160819,TF1612                        ,17,国金期货    ,467,-19,上海东证    ,351,16,国海良时    ,144,1
20160819,TF1612                        ,18,新湖期货    ,456,168,平安期货    ,337,279,申银万国    ,141,34
20160819,TF1612                        ,19,美尔雅     ,430,45,上海中期    ,288,-16,方正中期    ,139,12
20160819,TF1612                        ,20,兴证期货    ,421,200,国金期货    ,264,100,光大期货    ,127,117
