交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160907,TF1609                        ,期货公司,12,12,79,-20,79,-20
20160907,TF1609                        ,非期货公司,0,0,0,0,0,0
20160907,TF1612                        ,期货公司,10048,-722,20770,48,20770,48
20160907,TF1612                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160907,TF1609                        ,1,国泰君安    ,6,6,平安期货    ,68,0,永安期货    ,60,0
20160907,TF1609                        ,2,国金期货    ,6,6,国金期货    ,11,-14,国贸期货    ,18,0
20160907,TF1609                        ,3,永安期货    ,0,0,国泰君安    ,0,-6,国海良时    ,1,0
20160907,TF1609                        ,4,平安期货    ,0,0,永安期货    ,0,0,国泰君安    ,0,0
20160907,TF1609                        ,5,国贸期货    ,0,0,国贸期货    ,0,0,平安期货    ,0,0
20160907,TF1609                        ,6,国海良时    ,0,0,国海良时    ,0,0,国金期货    ,0,-20
20160907,TF1612                        ,1,光大期货    ,1493,-46,中信期货    ,3384,-266,海通期货    ,3349,13
20160907,TF1612                        ,2,中信期货    ,1280,377,平安期货    ,1868,319,中信期货    ,3065,24
20160907,TF1612                        ,3,华泰期货    ,895,370,新湖期货    ,1807,6,永安期货    ,2189,-81
20160907,TF1612                        ,4,海通期货    ,622,49,招商期货    ,1270,-3,国泰君安    ,2063,183
20160907,TF1612                        ,5,鲁证期货    ,494,-659,申银万国    ,1225,62,中信建投    ,1489,-37
20160907,TF1612                        ,6,南华期货    ,464,-510,国金期货    ,1095,0,兴业期货    ,1200,0
20160907,TF1612                        ,7,国泰君安    ,462,81,中粮期货    ,1064,7,上海东证    ,926,-167
20160907,TF1612                        ,8,平安期货    ,359,113,国泰君安    ,879,35,鲁证期货    ,725,21
20160907,TF1612                        ,9,永安期货    ,304,120,华泰期货    ,767,-3,宏源期货    ,635,0
20160907,TF1612                        ,10,上海东证    ,284,161,天风期货    ,744,50,招商期货    ,571,18
20160907,TF1612                        ,11,方正中期    ,274,92,永安期货    ,621,-19,银河期货    ,514,9
20160907,TF1612                        ,12,兴证期货    ,272,8,南华期货    ,521,-129,和融期货    ,443,0
20160907,TF1612                        ,13,华西期货    ,236,-107,海通期货    ,514,-5,光大期货    ,362,-7
20160907,TF1612                        ,14,新湖期货    ,210,161,上海东证    ,485,-5,华泰期货    ,294,24
20160907,TF1612                        ,15,国金期货    ,204,96,中金期货    ,476,0,国投安信    ,281,2
20160907,TF1612                        ,16,广发期货    ,186,7,东航期货    ,379,4,国海良时    ,236,4
20160907,TF1612                        ,17,申银万国    ,181,-29,广发期货    ,323,-1,中国国际    ,197,-1
20160907,TF1612                        ,18,中信建投    ,156,5,银河期货    ,312,-30,方正中期    ,162,57
20160907,TF1612                        ,19,上海东亚    ,156,-156,方正中期    ,309,109,五矿经易    ,157,-1
20160907,TF1612                        ,20,银河期货    ,145,123,光大期货    ,293,0,广发期货    ,155,5
