交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20161130,TF1612                        ,期货公司,16,-34,822,0,822,0
20161130,TF1612                        ,非期货公司,0,0,0,0,0,0
20161130,TF1703                        ,期货公司,26868,4526,20149,-196,20149,-196
20161130,TF1703                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20161130,TF1612                        ,1,东航期货    ,15,7,上海东证    ,412,0,中信期货    ,526,0
20161130,TF1612                        ,2,恒泰期货    ,1,1,海通期货    ,280,0,永安期货    ,150,0
20161130,TF1612                        ,3,永安期货    ,0,0,银河期货    ,90,0,国贸期货    ,89,0
20161130,TF1612                        ,4,中信期货    ,0,-2,中信期货    ,30,0,第一创业    ,30,0
20161130,TF1612                        ,5,平安期货    ,0,0,天风期货    ,10,0,国金期货    ,23,0
20161130,TF1612                        ,6,国贸期货    ,0,-9,永安期货    ,0,0,平安期货    ,3,0
20161130,TF1612                        ,7,银河期货    ,0,-17,平安期货    ,0,0,东航期货    ,1,1
20161130,TF1612                        ,8,国金期货    ,0,-3,国贸期货    ,0,0,银河期货    ,0,0
20161130,TF1612                        ,9,海通期货    ,0,0,国金期货    ,0,0,海通期货    ,0,0
20161130,TF1612                        ,10,上海东证    ,0,0,东航期货    ,0,0,上海东证    ,0,0
20161130,TF1612                        ,11,天风期货    ,0,0,恒泰期货    ,0,0,恒泰期货    ,0,-1
20161130,TF1612                        ,12,第一创业    ,0,0,第一创业    ,0,0,天风期货    ,0,0
20161130,TF1703                        ,1,中信期货    ,4370,1809,中信期货    ,3511,90,海通期货    ,2407,-57
20161130,TF1703                        ,2,光大期货    ,3227,944,新湖期货    ,1940,-72,第一创业    ,2013,44
20161130,TF1703                        ,3,海通期货    ,2624,389,申银万国    ,1656,-605,和融期货    ,1976,50
20161130,TF1703                        ,4,申银万国    ,1451,710,国金期货    ,1444,50,中信期货    ,1915,222
20161130,TF1703                        ,5,中融汇信    ,1268,835,广发期货    ,1284,-55,中银国际    ,1755,0
20161130,TF1703                        ,6,兴证期货    ,1161,-405,南华期货    ,1210,58,永安期货    ,1258,-107
20161130,TF1703                        ,7,方正中期    ,889,484,平安期货    ,1149,249,兴业期货    ,1085,-3
20161130,TF1703                        ,8,南华期货    ,845,-291,天风期货    ,956,307,长江期货    ,894,192
20161130,TF1703                        ,9,新湖期货    ,777,302,上海东证    ,891,-4,银河期货    ,812,-9
20161130,TF1703                        ,10,天风期货    ,772,-122,招商期货    ,642,33,上海东证    ,671,17
20161130,TF1703                        ,11,国泰君安    ,767,-320,鲁证期货    ,564,-21,申银万国    ,526,-16
20161130,TF1703                        ,12,鲁证期货    ,767,30,国泰君安    ,504,-28,中信建投    ,416,-1
20161130,TF1703                        ,13,西部期货    ,741,205,民生期货    ,500,0,国泰君安    ,405,-63
20161130,TF1703                        ,14,广发期货    ,732,424,永安期货    ,472,97,宏源期货    ,370,0
20161130,TF1703                        ,15,华泰期货    ,573,164,光大期货    ,468,-11,华泰期货    ,330,39
20161130,TF1703                        ,16,平安期货    ,537,-67,信达期货    ,322,117,广发期货    ,311,5
20161130,TF1703                        ,17,美尔雅     ,518,211,乾坤期货    ,278,10,天风期货    ,284,-201
20161130,TF1703                        ,18,永安期货    ,424,-68,中信建投    ,255,-57,五矿经易    ,189,-1
20161130,TF1703                        ,19,五矿经易    ,327,-9,国海良时    ,234,0,中粮期货    ,169,35
20161130,TF1703                        ,20,国金期货    ,325,-189,东航期货    ,225,54,国投安信    ,166,-2
