交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20161201,TF1612                        ,期货公司,322,306,700,-122,700,-122
20161201,TF1612                        ,非期货公司,0,0,0,0,0,0
20161201,TF1703                        ,期货公司,29194,2326,21647,1498,21647,1498
20161201,TF1703                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20161201,TF1612                        ,1,中信期货    ,110,110,上海东证    ,400,-12,中信期货    ,426,-100
20161201,TF1612                        ,2,银河期货    ,90,90,海通期货    ,280,0,永安期货    ,150,0
20161201,TF1612                        ,3,国金期货    ,63,63,中信期货    ,20,-10,国金期货    ,60,37
20161201,TF1612                        ,4,国贸期货    ,55,55,永安期货    ,0,0,国贸期货    ,34,-55
20161201,TF1612                        ,5,东航期货    ,3,-12,平安期货    ,0,0,第一创业    ,30,0
20161201,TF1612                        ,6,平安期货    ,1,1,国贸期货    ,0,0,平安期货    ,0,-3
20161201,TF1612                        ,7,永安期货    ,0,0,银河期货    ,0,-90,银河期货    ,0,0
20161201,TF1612                        ,8,海通期货    ,0,0,国金期货    ,0,0,海通期货    ,0,0
20161201,TF1612                        ,9,上海东证    ,0,0,东航期货    ,0,0,东航期货    ,0,-1
20161201,TF1612                        ,10,天风期货    ,0,0,天风期货    ,0,-10,上海东证    ,0,0
20161201,TF1612                        ,11,第一创业    ,0,0,第一创业    ,0,0,天风期货    ,0,0
20161201,TF1703                        ,1,光大期货    ,3994,767,中信期货    ,4452,941,海通期货    ,2401,-6
20161201,TF1703                        ,2,中信期货    ,3803,-567,新湖期货    ,1964,24,和融期货    ,2241,265
20161201,TF1703                        ,3,海通期货    ,3103,479,申银万国    ,1869,213,中银国际    ,2204,449
20161201,TF1703                        ,4,南华期货    ,1698,853,南华期货    ,1583,373,第一创业    ,2199,186
20161201,TF1703                        ,5,兴证期货    ,1512,351,国金期货    ,1481,37,中信期货    ,2179,264
20161201,TF1703                        ,6,国泰君安    ,1422,655,广发期货    ,1336,52,永安期货    ,1224,-34
20161201,TF1703                        ,7,申银万国    ,1276,-175,天风期货    ,973,17,兴业期货    ,1086,1
20161201,TF1703                        ,8,鲁证期货    ,1228,461,上海东证    ,901,10,上海东证    ,909,238
20161201,TF1703                        ,9,平安期货    ,1165,628,平安期货    ,858,-291,长江期货    ,895,1
20161201,TF1703                        ,10,新湖期货    ,919,142,招商期货    ,646,4,银河期货    ,696,-116
20161201,TF1703                        ,11,西部期货    ,769,28,鲁证期货    ,627,63,申银万国    ,527,1
20161201,TF1703                        ,12,华泰期货    ,660,87,民生期货    ,500,0,中信建投    ,442,26
20161201,TF1703                        ,13,中融汇信    ,587,-681,国泰君安    ,489,-15,国泰君安    ,436,31
20161201,TF1703                        ,14,中银国际    ,559,555,光大期货    ,478,10,宏源期货    ,371,1
20161201,TF1703                        ,15,招商期货    ,551,291,永安期货    ,467,-5,天风期货    ,317,33
20161201,TF1703                        ,16,国金期货    ,508,183,信达期货    ,300,-22,广发期货    ,295,-16
20161201,TF1703                        ,17,天风期货    ,474,-298,乾坤期货    ,298,20,华泰期货    ,253,-77
20161201,TF1703                        ,18,广发期货    ,464,-268,中信建投    ,253,-2,光大期货    ,202,40
20161201,TF1703                        ,19,永安期货    ,449,25,国海良时    ,234,0,五矿经易    ,198,9
20161201,TF1703                        ,20,第一创业    ,392,240,华泰期货    ,226,49,国投安信    ,188,22
