交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20161208,TF1612                        ,期货公司,0,0,552,0,552,0
20161208,TF1612                        ,非期货公司,0,0,0,0,0,0
20161208,TF1703                        ,期货公司,20628,-3480,25109,355,25109,355
20161208,TF1703                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20161208,TF1612                        ,1,永安期货    ,0,0,海通期货    ,280,0,中信期货    ,258,0
20161208,TF1612                        ,2,中信期货    ,0,0,上海东证    ,222,0,永安期货    ,180,0
20161208,TF1612                        ,3,国贸期货    ,0,0,中信期货    ,50,0,中金期货    ,50,0
20161208,TF1612                        ,4,海通期货    ,0,0,永安期货    ,0,0,国贸期货    ,34,0
20161208,TF1612                        ,5,上海东证    ,0,0,国贸期货    ,0,0,第一创业    ,30,0
20161208,TF1612                        ,6,中金期货    ,0,0,中金期货    ,0,0,海通期货    ,0,0
20161208,TF1612                        ,7,第一创业    ,0,0,第一创业    ,0,0,上海东证    ,0,0
20161208,TF1703                        ,1,光大期货    ,3552,-332,中信期货    ,4358,67,中信期货    ,3719,101
20161208,TF1703                        ,2,中信期货    ,2184,-906,天风期货    ,3831,-521,和融期货    ,2602,-5
20161208,TF1703                        ,3,海通期货    ,2080,-974,新湖期货    ,1939,46,中银国际    ,2505,1
20161208,TF1703                        ,4,南华期货    ,1022,483,南华期货    ,1557,40,第一创业    ,2072,-131
20161208,TF1703                        ,5,申银万国    ,1020,-446,国金期货    ,1521,132,海通期货    ,2049,-58
20161208,TF1703                        ,6,国泰君安    ,960,-114,平安期货    ,1468,211,长江期货    ,1603,194
20161208,TF1703                        ,7,天风期货    ,959,-398,申银万国    ,1208,-243,上海东证    ,1173,113
20161208,TF1703                        ,8,中融汇信    ,905,-240,广发期货    ,1039,-8,永安期货    ,1108,-156
20161208,TF1703                        ,9,西部期货    ,724,114,上海东证    ,961,56,兴业期货    ,704,0
20161208,TF1703                        ,10,永安期货    ,687,268,鲁证期货    ,747,84,天风期货    ,676,42
20161208,TF1703                        ,11,兴证期货    ,592,-148,国泰君安    ,638,8,银河期货    ,610,-143
20161208,TF1703                        ,12,银河期货    ,424,206,乾坤期货    ,623,100,光大期货    ,578,65
20161208,TF1703                        ,13,平安期货    ,420,-139,海通期货    ,604,126,申银万国    ,573,-9
20161208,TF1703                        ,14,华泰期货    ,349,-275,光大期货    ,513,-29,国泰君安    ,451,-16
20161208,TF1703                        ,15,新湖期货    ,313,-62,招商期货    ,463,-48,中信建投    ,448,-1
20161208,TF1703                        ,16,长江期货    ,268,-517,永安期货    ,379,3,南华期货    ,344,182
20161208,TF1703                        ,17,方正中期    ,264,33,中信建投    ,349,-5,华泰期货    ,327,101
20161208,TF1703                        ,18,和融期货    ,253,-20,华泰期货    ,342,26,广发期货    ,318,-3
20161208,TF1703                        ,19,鲁证期货    ,205,-113,国海良时    ,333,-7,宏源期货    ,274,1
20161208,TF1703                        ,20,上海东证    ,191,166,信达期货    ,290,-3,国投安信    ,236,-5
