交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20161209,TF1612                        ,期货公司,100,100,0,-552,0,-552
20161209,TF1612                        ,非期货公司,0,0,0,0,0,0
20161209,TF1703                        ,期货公司,15114,-5514,24993,-116,24993,-116
20161209,TF1703                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20161209,TF1612                        ,1,中信期货    ,100,100,永安期货    ,0,0,永安期货    ,0,-180
20161209,TF1612                        ,2,永安期货    ,0,0,中信期货    ,0,-50,中信期货    ,0,-258
20161209,TF1612                        ,3,国贸期货    ,0,0,国贸期货    ,0,0,国贸期货    ,0,-34
20161209,TF1612                        ,4,海通期货    ,0,0,海通期货    ,0,-280,海通期货    ,0,0
20161209,TF1612                        ,5,上海东证    ,0,0,上海东证    ,0,-222,上海东证    ,0,0
20161209,TF1612                        ,6,中金期货    ,0,0,中金期货    ,0,0,中金期货    ,0,-50
20161209,TF1612                        ,7,第一创业    ,0,0,第一创业    ,0,0,第一创业    ,0,-30
20161209,TF1703                        ,1,光大期货    ,2647,-905,中信期货    ,4205,-153,中信期货    ,3703,-16
20161209,TF1703                        ,2,中信期货    ,2633,449,天风期货    ,3436,-395,和融期货    ,2657,55
20161209,TF1703                        ,3,海通期货    ,1374,-706,新湖期货    ,1850,-89,中银国际    ,2504,-1
20161209,TF1703                        ,4,南华期货    ,790,-232,南华期货    ,1675,118,第一创业    ,2064,-8
20161209,TF1703                        ,5,申银万国    ,732,-288,平安期货    ,1659,191,海通期货    ,2052,3
20161209,TF1703                        ,6,中融汇信    ,604,-301,申银万国    ,1506,298,长江期货    ,1748,145
20161209,TF1703                        ,7,天风期货    ,559,-400,国金期货    ,1469,-52,上海东证    ,1108,-65
20161209,TF1703                        ,8,西部期货    ,542,-182,广发期货    ,1029,-10,永安期货    ,948,-160
20161209,TF1703                        ,9,平安期货    ,528,108,上海东证    ,961,0,兴业期货    ,704,0
20161209,TF1703                        ,10,永安期货    ,432,-255,国泰君安    ,725,87,银河期货    ,597,-13
20161209,TF1703                        ,11,兴证期货    ,399,-193,鲁证期货    ,694,-53,天风期货    ,596,-80
20161209,TF1703                        ,12,国泰君安    ,351,-609,海通期货    ,605,1,申银万国    ,591,18
20161209,TF1703                        ,13,华泰期货    ,305,-44,乾坤期货    ,605,-18,光大期货    ,519,-59
20161209,TF1703                        ,14,银河期货    ,280,-144,光大期货    ,521,8,中信建投    ,489,41
20161209,TF1703                        ,15,方正中期    ,263,-1,永安期货    ,467,88,国泰君安    ,453,2
20161209,TF1703                        ,16,新湖期货    ,257,-56,招商期货    ,463,0,华泰期货    ,361,34
20161209,TF1703                        ,17,长江期货    ,185,-83,华泰期货    ,353,11,广发期货    ,315,-3
20161209,TF1703                        ,18,中信建投    ,155,45,国海良时    ,339,6,宏源期货    ,273,-1
20161209,TF1703                        ,19,国金期货    ,146,13,信达期货    ,291,1,南华期货    ,264,-80
20161209,TF1703                        ,20,中银国际    ,145,-28,中信建投    ,275,-74,国投安信    ,237,1
