交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20161215,TF1703                        ,期货公司,35470,15820,24154,-1109,24154,-1109
20161215,TF1703                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20161215,TF1703                        ,1,中信期货    ,4222,1983,中信期货    ,3292,-36,中信期货    ,3524,-204
20161215,TF1703                        ,2,光大期货    ,3367,397,天风期货    ,2897,-231,中银国际    ,2536,-18
20161215,TF1703                        ,3,海通期货    ,2989,1208,平安期货    ,2329,140,和融期货    ,2446,-414
20161215,TF1703                        ,4,兴证期货    ,2199,1430,国金期货    ,1638,43,天风期货    ,2350,100
20161215,TF1703                        ,5,西部期货    ,2158,1210,南华期货    ,1618,-93,海通期货    ,2041,-22
20161215,TF1703                        ,6,国泰君安    ,1728,1081,新湖期货    ,1422,-443,第一创业    ,1482,-420
20161215,TF1703                        ,7,天风期货    ,1661,771,上海东证    ,1223,106,兴业期货    ,996,-31
20161215,TF1703                        ,8,中融汇信    ,1568,539,广发期货    ,1017,10,长江期货    ,950,1
20161215,TF1703                        ,9,南华期货    ,977,457,国泰君安    ,756,-147,上海东证    ,830,-122
20161215,TF1703                        ,10,申银万国    ,869,305,第一创业    ,750,0,永安期货    ,756,-58
20161215,TF1703                        ,11,永安期货    ,861,391,海通期货    ,748,59,申银万国    ,594,1
20161215,TF1703                        ,12,新湖期货    ,719,577,申银万国    ,725,-232,银河期货    ,560,-18
20161215,TF1703                        ,13,徽商期货    ,687,378,鲁证期货    ,560,-180,中信建投    ,451,-13
20161215,TF1703                        ,14,第一创业    ,600,146,乾坤期货    ,540,40,国泰君安    ,423,-47
20161215,TF1703                        ,15,中信建投    ,528,337,永安期货    ,503,-149,华泰期货    ,307,-38
20161215,TF1703                        ,16,鲁证期货    ,509,-60,光大期货    ,478,-62,光大期货    ,288,-3
20161215,TF1703                        ,17,招商期货    ,489,297,华泰期货    ,407,-4,宏源期货    ,288,9
20161215,TF1703                        ,18,华泰期货    ,486,115,混沌天成    ,350,350,广发期货    ,285,-3
20161215,TF1703                        ,19,五矿经易    ,483,113,国海良时    ,335,1,国投安信    ,245,9
20161215,TF1703                        ,20,广发期货    ,481,134,中信建投    ,298,-3,国海良时    ,234,13
