交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170307,TF1703                        ,期货公司,0,0,28,0,28,0
20170307,TF1703                        ,非期货公司,0,0,0,0,0,0
20170307,TF1706                        ,期货公司,13308,410,16088,-637,16088,-637
20170307,TF1706                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170307,TF1703                        ,1,华泰期货    ,0,0,海通期货    ,26,0,海通期货    ,18,0
20170307,TF1703                        ,2,中信期货    ,0,0,华泰期货    ,1,0,中信期货    ,6,0
20170307,TF1703                        ,3,银河期货    ,0,0,银河期货    ,1,0,国海良时    ,3,0
20170307,TF1703                        ,4,国金期货    ,0,0,中信期货    ,0,0,国金期货    ,1,0
20170307,TF1703                        ,5,海通期货    ,0,0,国金期货    ,0,0,华泰期货    ,0,0
20170307,TF1703                        ,6,国海良时    ,0,0,国海良时    ,0,0,银河期货    ,0,0
20170307,TF1706                        ,1,中信期货    ,1956,588,平安期货    ,3693,-11,中信期货    ,3352,-28
20170307,TF1706                        ,2,海通期货    ,1530,-130,中信期货    ,1883,-194,国泰君安    ,3163,-172
20170307,TF1706                        ,3,光大期货    ,1288,-19,海通期货    ,1729,-89,中银国际    ,1141,-1
20170307,TF1706                        ,4,国泰君安    ,972,136,新湖期货    ,896,9,和融期货    ,1002,-60
20170307,TF1706                        ,5,中融汇信    ,833,-87,鲁证期货    ,692,-100,上海东证    ,954,-2
20170307,TF1706                        ,6,西部期货    ,568,210,银河期货    ,687,-2,平安期货    ,684,-172
20170307,TF1706                        ,7,鲁证期货    ,515,61,天风期货    ,659,19,光大期货    ,583,-2
20170307,TF1706                        ,8,永安期货    ,496,66,国投安信    ,518,-99,信达期货    ,462,-51
20170307,TF1706                        ,9,招商期货    ,414,-53,国泰君安    ,498,-50,中信建投    ,355,13
20170307,TF1706                        ,10,兴证期货    ,337,-18,南华期货    ,455,-2,华信万达    ,314,0
20170307,TF1706                        ,11,华泰期货    ,331,-33,第一创业    ,387,-3,第一创业    ,310,0
20170307,TF1706                        ,12,五矿经易    ,304,-219,五矿经易    ,375,3,中粮期货    ,290,-32
20170307,TF1706                        ,13,徽商期货    ,219,36,华泰期货    ,351,-25,中国国际    ,252,-1
20170307,TF1706                        ,14,平安期货    ,203,41,招商期货    ,320,-25,宝城期货    ,242,-3
20170307,TF1706                        ,15,申银万国    ,199,32,方正中期    ,314,19,徽商期货    ,230,0
20170307,TF1706                        ,16,银河期货    ,191,61,兴证期货    ,313,-8,海通期货    ,218,1
20170307,TF1706                        ,17,方正中期    ,175,-56,永安期货    ,307,-8,华泰期货    ,208,24
20170307,TF1706                        ,18,中信建投    ,169,26,上海东证    ,229,2,招商期货    ,199,1
20170307,TF1706                        ,19,国投安信    ,168,124,乾坤期货    ,224,0,银河期货    ,176,1
20170307,TF1706                        ,20,国金期货    ,164,-14,广发期货    ,165,9,南华期货    ,162,-15
