交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170323,TF1706                        ,期货公司,19162,614,14043,343,14043,343
20170323,TF1706                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170323,TF1706                        ,1,海通期货    ,2673,1039,中信期货    ,2938,-46,国泰君安    ,1777,-175
20170323,TF1706                        ,2,中信期货    ,2261,-402,鲁证期货    ,2192,437,平安期货    ,1609,161
20170323,TF1706                        ,3,鲁证期货    ,1285,375,新湖期货    ,920,-4,兴业期货    ,1080,780
20170323,TF1706                        ,4,光大期货    ,1191,135,中银国际    ,805,60,海通期货    ,958,128
20170323,TF1706                        ,5,中融汇信    ,973,-263,华泰期货    ,658,-30,第一创业    ,910,-110
20170323,TF1706                        ,6,国泰君安    ,924,-35,平安期货    ,601,-55,上海东证    ,831,-37
20170323,TF1706                        ,7,西部期货    ,806,-120,海通期货    ,498,91,和融期货    ,747,0
20170323,TF1706                        ,8,兴业期货    ,784,673,银河期货    ,452,-48,永安期货    ,736,0
20170323,TF1706                        ,9,五矿经易    ,671,128,国泰君安    ,392,17,中信期货    ,542,-27
20170323,TF1706                        ,10,上海东证    ,583,-205,永安期货    ,363,-53,华泰期货    ,503,-51
20170323,TF1706                        ,11,第一创业    ,552,161,五矿经易    ,355,2,华闻期货    ,368,-1
20170323,TF1706                        ,12,招商期货    ,492,251,中金期货    ,355,-13,南华期货    ,343,-3
20170323,TF1706                        ,13,平安期货    ,462,215,申银万国    ,305,17,信达期货    ,329,-14
20170323,TF1706                        ,14,南华期货    ,452,65,乾坤期货    ,278,54,华信万达    ,299,1
20170323,TF1706                        ,15,永安期货    ,345,-317,第一创业    ,259,-48,东海期货    ,250,1
20170323,TF1706                        ,16,华泰期货    ,341,-86,天风期货    ,247,0,徽商期货    ,229,0
20170323,TF1706                        ,17,兴证期货    ,308,-128,南华期货    ,242,-87,乾坤期货    ,214,44
20170323,TF1706                        ,18,天风期货    ,302,148,兴证期货    ,240,97,中粮期货    ,206,8
20170323,TF1706                        ,19,方正中期    ,247,-88,广发期货    ,198,5,申银万国    ,193,-13
20170323,TF1706                        ,20,国金期货    ,243,61,光大期货    ,167,11,光大期货    ,192,22
