交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170510,TF1706                        ,期货公司,31802,10476,16375,368,16375,368
20170510,TF1706                        ,非期货公司,0,0,0,0,0,0
20170510,TF1709                        ,期货公司,23650,12152,16830,4884,16830,4884
20170510,TF1709                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170510,TF1706                        ,1,中信期货    ,3733,789,鲁证期货    ,3760,-213,上海东证    ,2633,725
20170510,TF1706                        ,2,海通期货    ,1955,-725,中信期货    ,2001,9,广发期货    ,2006,229
20170510,TF1706                        ,3,平安期货    ,1950,1147,中银国际    ,1580,-611,永安期货    ,1202,242
20170510,TF1706                        ,4,国泰君安    ,1827,1088,兴证期货    ,1286,203,国泰君安    ,1185,-194
20170510,TF1706                        ,5,中融汇信    ,1468,288,平安期货    ,1127,973,平安期货    ,1157,-557
20170510,TF1706                        ,6,国金期货    ,1455,1088,申银万国    ,843,72,中信期货    ,959,-244
20170510,TF1706                        ,7,新湖期货    ,1444,224,国泰君安    ,641,-529,海通期货    ,861,184
20170510,TF1706                        ,8,光大期货    ,1329,183,招商期货    ,636,-10,国金期货    ,830,162
20170510,TF1706                        ,9,上海东证    ,1241,676,中信建投    ,565,-23,国海良时    ,821,-41
20170510,TF1706                        ,10,兴证期货    ,1164,206,华泰期货    ,494,-74,南华期货    ,627,-96
20170510,TF1706                        ,11,西部期货    ,1152,395,乾坤期货    ,385,240,国投安信    ,388,230
20170510,TF1706                        ,12,五矿经易    ,1068,409,光大期货    ,364,8,银河期货    ,336,69
20170510,TF1706                        ,13,申银万国    ,882,590,海通期货    ,312,-29,华安期货    ,294,11
20170510,TF1706                        ,14,招商期货    ,774,268,新湖期货    ,276,109,浙商期货    ,245,63
20170510,TF1706                        ,15,中银国际    ,671,657,国海良时    ,252,99,第一创业    ,210,-150
20170510,TF1706                        ,16,华泰期货    ,638,313,永安期货    ,234,-13,乾坤期货    ,207,-31
20170510,TF1706                        ,17,银河期货    ,600,429,广发期货    ,229,-58,兴业期货    ,204,-1
20170510,TF1706                        ,18,永安期货    ,573,399,第一创业    ,207,154,华泰期货    ,174,-18
20170510,TF1706                        ,19,鲁证期货    ,474,-99,西部期货    ,204,13,五矿经易    ,172,0
20170510,TF1706                        ,20,乾坤期货    ,411,64,银河期货    ,158,37,西部期货    ,159,-3
20170510,TF1709                        ,1,国泰君安    ,2261,1926,中信期货    ,4113,463,海通期货    ,2521,48
20170510,TF1709                        ,2,中信期货    ,1784,-26,国泰君安    ,1759,1234,和融期货    ,1724,70
20170510,TF1709                        ,3,国金期货    ,1154,962,银河期货    ,1490,507,兴业期货    ,1112,-58
20170510,TF1709                        ,4,宝城期货    ,1099,1096,中银国际    ,801,608,宝城期货    ,1004,1001
20170510,TF1709                        ,5,永安期货    ,1040,640,广发期货    ,800,13,国泰君安    ,934,617
20170510,TF1709                        ,6,海通期货    ,1003,-526,上海东证    ,697,119,申银万国    ,909,165
20170510,TF1709                        ,7,银河期货    ,932,94,中国国际    ,682,460,华泰期货    ,888,198
20170510,TF1709                        ,8,平安期货    ,927,421,新湖期货    ,651,0,上海东证    ,725,198
20170510,TF1709                        ,9,中融汇信    ,856,344,乾坤期货    ,540,390,平安期货    ,717,-318
20170510,TF1709                        ,10,第一创业    ,849,563,光大期货    ,533,223,国金期货    ,696,635
20170510,TF1709                        ,11,西部期货    ,807,322,第一创业    ,529,303,兴证期货    ,588,454
20170510,TF1709                        ,12,兴证期货    ,686,475,中信建投    ,521,97,中信期货    ,508,185
20170510,TF1709                        ,13,新湖期货    ,665,276,招商期货    ,423,25,方正中期    ,454,420
20170510,TF1709                        ,14,中国国际    ,625,616,西部期货    ,361,190,第一创业    ,416,8
20170510,TF1709                        ,15,中银国际    ,618,605,南华期货    ,350,-21,中信建投    ,399,115
20170510,TF1709                        ,16,申银万国    ,547,456,华泰期货    ,311,47,广发期货    ,388,337
20170510,TF1709                        ,17,南华期货    ,537,166,国金期货    ,220,181,中金期货    ,304,0
20170510,TF1709                        ,18,中粮期货    ,489,449,中粮期货    ,218,186,新湖期货    ,282,111
20170510,TF1709                        ,19,华闻期货    ,486,426,天风期货    ,200,0,银河期货    ,278,103
20170510,TF1709                        ,20,鲁证期货    ,477,468,鲁证期货    ,185,27,西部期货    ,278,179
