交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170728,TF1709                        ,期货公司,15756,-5626,42391,-1261,42391,-1261
20170728,TF1709                        ,非期货公司,0,0,0,0,0,0
20170728,TF1712                        ,期货公司,3990,-1408,16004,840,16004,840
20170728,TF1712                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170728,TF1709                        ,1,招商期货    ,1826,207,中信期货    ,8510,-283,海通期货    ,6306,1
20170728,TF1709                        ,2,平安期货    ,1683,794,华泰期货    ,5738,-479,永安期货    ,3819,-44
20170728,TF1709                        ,3,兴证期货    ,1339,-603,平安期货    ,3506,772,平安期货    ,3556,-507
20170728,TF1709                        ,4,海通期货    ,1202,-865,银河期货    ,3427,-306,广发期货    ,3462,-49
20170728,TF1709                        ,5,中信期货    ,1037,-1277,兴证期货    ,2675,-124,国泰君安    ,3382,299
20170728,TF1709                        ,6,中融汇信    ,1001,-280,国泰君安    ,2611,33,宏源期货    ,2994,0
20170728,TF1709                        ,7,光大期货    ,791,-98,光大期货    ,2533,70,国海良时    ,2994,-4
20170728,TF1709                        ,8,国泰君安    ,706,-213,鲁证期货    ,1343,-5,中信期货    ,2652,104
20170728,TF1709                        ,9,银河期货    ,670,188,国投安信    ,1278,-7,上海东证    ,1840,3
20170728,TF1709                        ,10,华泰期货    ,665,-20,上海东证    ,1104,-293,国金期货    ,1615,-161
20170728,TF1709                        ,11,华安期货    ,412,24,招商期货    ,962,-112,华泰期货    ,1008,-130
20170728,TF1709                        ,12,上海东证    ,390,226,方正中期    ,933,-37,申银万国    ,746,-116
20170728,TF1709                        ,13,申银万国    ,328,-123,国贸期货    ,654,3,天风期货    ,714,-27
20170728,TF1709                        ,14,华西期货    ,325,46,中粮期货    ,591,1,银河期货    ,655,-210
20170728,TF1709                        ,15,徽商期货    ,297,77,永安期货    ,589,-101,兴业期货    ,593,0
20170728,TF1709                        ,16,新湖期货    ,249,-105,广发期货    ,559,-9,格林大华    ,556,-58
20170728,TF1709                        ,17,国金期货    ,233,123,新湖期货    ,550,-3,中信建投    ,526,-20
20170728,TF1709                        ,18,永安期货    ,213,-331,格林大华    ,469,-1,中金期货    ,525,12
20170728,TF1709                        ,19,西部期货    ,195,-84,宝城期货    ,429,0,第一创业    ,481,-50
20170728,TF1709                        ,20,江海汇鑫    ,182,178,恒泰期货    ,372,-18,光大期货    ,405,1
20170728,TF1712                        ,1,中信期货    ,372,-486,国泰君安    ,2349,292,中信期货    ,2976,136
20170728,TF1712                        ,2,平安期货    ,369,227,中银国际    ,1883,-10,平安期货    ,2181,326
20170728,TF1712                        ,3,华安期货    ,338,28,中信期货    ,1659,-8,和融期货    ,2021,0
20170728,TF1712                        ,4,中融汇信    ,300,-76,宝城期货    ,1472,0,银河期货    ,1933,192
20170728,TF1712                        ,5,国泰君安    ,295,263,海通期货    ,888,2,渤海期货    ,1193,9
20170728,TF1712                        ,6,上海东证    ,278,179,方正中期    ,836,-1,兴业期货    ,833,0
20170728,TF1712                        ,7,申银万国    ,277,52,广发期货    ,731,-1,国海良时    ,645,36
20170728,TF1712                        ,8,兴证期货    ,271,-21,上海东证    ,635,272,华安期货    ,460,-70
20170728,TF1712                        ,9,银河期货    ,239,96,永安期货    ,613,0,第一创业    ,425,28
20170728,TF1712                        ,10,华西期货    ,191,-54,天风期货    ,590,-20,中粮期货    ,370,30
20170728,TF1712                        ,11,华泰期货    ,152,-18,华泰期货    ,565,50,天风期货    ,360,0
20170728,TF1712                        ,12,一德期货    ,113,6,国海良时    ,500,0,申银万国    ,340,11
20170728,TF1712                        ,13,第一创业    ,105,23,第一创业    ,466,23,宏源期货    ,338,-4
20170728,TF1712                        ,14,新湖期货    ,88,-75,申银万国    ,386,144,国泰君安    ,303,1
20170728,TF1712                        ,15,中信建投    ,58,44,和融期货    ,353,0,华泰期货    ,299,96
20170728,TF1712                        ,16,海通期货    ,54,-270,建信期货    ,248,12,方正中期    ,265,6
20170728,TF1712                        ,17,宏源期货    ,53,-389,光大期货    ,187,-2,海通期货    ,163,0
20170728,TF1712                        ,18,光大期货    ,47,-41,国贸期货    ,160,0,上海东证    ,124,0
20170728,TF1712                        ,19,西部期货    ,40,-38,国投安信    ,160,0,中信建投    ,103,36
20170728,TF1712                        ,20,方正中期    ,37,-52,银河期货    ,150,37,东航期货    ,85,-1
