交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20100504,IF1005                        ,期货公司,296932,-67474,8198,98,8205,-46
20100504,IF1005                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20100504,IF1005                        ,1,国泰君安    ,36278,-4447,国泰君安    ,776,-75,国泰君安    ,1020,45
20100504,IF1005                        ,2,华泰长城    ,20666,-4868,广发期货    ,474,-7,海通期货    ,818,4
20100504,IF1005                        ,3,广发期货    ,19210,-10870,海通期货    ,471,231,华泰长城    ,448,24
20100504,IF1005                        ,4,银河期货    ,14251,-4407,东海期货    ,418,41,广发期货    ,439,-5
20100504,IF1005                        ,5,海通期货    ,12885,-937,华泰长城    ,417,54,永安期货    ,425,137
20100504,IF1005                        ,6,中投天琪    ,10352,209,永安期货    ,385,-622,光大期货    ,299,134
20100504,IF1005                        ,7,永安期货    ,9409,-3555,新湖期货    ,349,-298,南华期货    ,285,-15
20100504,IF1005                        ,8,南华期货    ,9051,-2218,银河期货    ,330,126,招商期货    ,245,29
20100504,IF1005                        ,9,浙商期货    ,8357,-2391,信达期货    ,293,137,中信建投    ,241,101
20100504,IF1005                        ,10,兴证期货    ,7794,-1159,光大期货    ,279,86,银河期货    ,233,-267
20100504,IF1005                        ,11,上海东证    ,7483,-1140,南华期货    ,258,68,中信期货    ,228,-151
20100504,IF1005                        ,12,中信期货    ,7153,-500,鲁证期货    ,196,60,安信期货    ,198,42
20100504,IF1005                        ,13,东吴期货    ,6913,-526,申银万国    ,189,6,中投天琪    ,194,11
20100504,IF1005                        ,14,新世纪     ,6717,1256,上海浙石    ,185,-7,东海期货    ,173,81
20100504,IF1005                        ,15,申银万国    ,5501,-1560,招商期货    ,170,12,上海东证    ,166,55
20100504,IF1005                        ,16,信达期货    ,5308,-1355,中信建投    ,168,-2,信达期货    ,144,-173
20100504,IF1005                        ,17,鲁证期货    ,5010,-613,浙商期货    ,162,27,鲁证期货    ,143,-6
20100504,IF1005                        ,18,新湖期货    ,5006,843,中信期货    ,160,38,申银万国    ,142,57
20100504,IF1005                        ,19,安信期货    ,4911,-662,国信期货    ,152,104,东吴期货    ,138,28
20100504,IF1005                        ,20,渤海期货    ,4575,-1602,经易期货    ,118,25,兴证期货    ,133,-26
