交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20100813,IF1008                        ,期货公司,589628,-74589,17576,-171,17596,-97
20100813,IF1008                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20100813,IF1008                        ,1,国泰君安    ,57357,-11647,国泰君安    ,1650,433,国泰君安    ,2987,424
20100813,IF1008                        ,2,海通期货    ,45834,-6466,华泰长城    ,1434,239,华泰长城    ,1256,-116
20100813,IF1008                        ,3,华泰长城    ,39975,-1258,永安期货    ,921,-321,中信期货    ,906,291
20100813,IF1008                        ,4,广发期货    ,30458,-4750,鲁证期货    ,747,-121,广发期货    ,787,69
20100813,IF1008                        ,5,银河期货    ,29431,-7135,中信期货    ,713,-275,中国国际    ,545,-48
20100813,IF1008                        ,6,鲁证期货    ,22621,-2063,广发期货    ,695,75,鲁证期货    ,538,38
20100813,IF1008                        ,7,光大期货    ,20242,-2999,银河期货    ,693,-148,招商期货    ,534,-5
20100813,IF1008                        ,8,中投天琪    ,18064,-3531,海通期货    ,680,35,东海期货    ,482,128
20100813,IF1008                        ,9,上海东证    ,18018,-5056,南华期货    ,621,-124,银河期货    ,472,-229
20100813,IF1008                        ,10,南华期货    ,16891,410,光大期货    ,559,-484,冠通期货    ,471,424
20100813,IF1008                        ,11,中信期货    ,15258,1645,信达期货    ,538,184,海通期货    ,470,-101
20100813,IF1008                        ,12,中信建投    ,14425,-2665,东海期货    ,536,10,申银万国    ,431,-164
20100813,IF1008                        ,13,永安期货    ,13973,-1300,安信期货    ,520,223,永安期货    ,424,72
20100813,IF1008                        ,14,申银万国    ,12672,-13,上海东证    ,422,221,光大期货    ,423,-72
20100813,IF1008                        ,15,浙商期货    ,12370,-2280,申银万国    ,386,-22,中信建投    ,408,-136
20100813,IF1008                        ,16,兴证期货    ,11566,778,浙商期货    ,374,-21,兴证期货    ,401,126
20100813,IF1008                        ,17,东吴期货    ,11221,227,招商期货    ,344,-155,南华期货    ,383,-163
20100813,IF1008                        ,18,招商期货    ,10640,-2207,国信期货    ,341,57,中钢期货    ,372,129
20100813,IF1008                        ,19,中国国际    ,10632,-1996,中信建投    ,339,129,上海东证    ,355,-173
20100813,IF1008                        ,20,弘业期货    ,9651,-2809,中国国际    ,318,2,中粮期货    ,306,62
