交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20100826,IF1009                        ,期货公司,539511,-108734,27568,1038,27769,1313
20100826,IF1009                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20100826,IF1009                        ,1,国泰君安    ,57811,-13969,华泰长城    ,2336,183,国泰君安    ,4895,257
20100826,IF1009                        ,2,海通期货    ,38741,-12943,国泰君安    ,1949,-52,中信期货    ,2403,93
20100826,IF1009                        ,3,华泰长城    ,34907,-8462,南华期货    ,1715,502,招商期货    ,2050,77
20100826,IF1009                        ,4,广发期货    ,27601,-9657,永安期货    ,1543,210,华泰长城    ,1809,-170
20100826,IF1009                        ,5,银河期货    ,24906,-2912,广发期货    ,1146,-134,光大期货    ,1375,822
20100826,IF1009                        ,6,鲁证期货    ,19275,-3984,海通期货    ,1099,276,海通期货    ,993,-115
20100826,IF1009                        ,7,中投天琪    ,18780,-2456,银河期货    ,1085,252,广发期货    ,879,289
20100826,IF1009                        ,8,光大期货    ,17615,160,鲁证期货    ,1063,66,银河期货    ,807,116
20100826,IF1009                        ,9,上海东证    ,16905,-4108,中信期货    ,999,-17,上海东证    ,781,113
20100826,IF1009                        ,10,南华期货    ,13758,-4213,中信建投    ,925,51,南华期货    ,721,-134
20100826,IF1009                        ,11,浙商期货    ,13317,-2469,东海期货    ,888,6,申银万国    ,613,105
20100826,IF1009                        ,12,永安期货    ,13247,-1525,光大期货    ,796,-217,鲁证期货    ,603,111
20100826,IF1009                        ,13,中信建投    ,11462,-2407,弘业期货    ,764,-42,兴证期货    ,579,118
20100826,IF1009                        ,14,中信期货    ,11274,617,申银万国    ,727,-3,大华期货    ,566,168
20100826,IF1009                        ,15,弘业期货    ,11041,-2311,中国国际    ,587,70,中钢期货    ,546,-11
20100826,IF1009                        ,16,申银万国    ,10616,-1134,浙商期货    ,559,35,永安期货    ,530,-377
20100826,IF1009                        ,17,大华期货    ,10516,857,中投天琪    ,534,89,中国国际    ,506,-16
20100826,IF1009                        ,18,东吴期货    ,10096,-3460,长江期货    ,454,-86,信达期货    ,487,157
20100826,IF1009                        ,19,中国国际    ,9720,-1153,国信期货    ,438,-2,中信建投    ,423,85
20100826,IF1009                        ,20,兴证期货    ,9411,-160,国联期货    ,414,11,中投天琪    ,417,59
