交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20110623,IF1107                        ,期货公司,419330,123080,27471,-716,27609,-708
20110623,IF1107                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20110623,IF1107                        ,1,海通期货    ,34928,10550,国泰君安    ,2395,-142,国泰君安    ,4278,190
20110623,IF1107                        ,2,国泰君安    ,33770,8971,永安期货    ,1604,102,海通期货    ,4031,-757
20110623,IF1107                        ,3,广发期货    ,26167,11859,广发期货    ,1468,28,华泰长城    ,2437,374
20110623,IF1107                        ,4,华泰长城    ,24763,6835,华泰长城    ,1346,-221,中信期货    ,1758,-218
20110623,IF1107                        ,5,银河期货    ,18926,4213,海通期货    ,1338,455,招商期货    ,932,480
20110623,IF1107                        ,6,鲁证期货    ,16767,5919,鲁证期货    ,1278,-129,大华期货    ,900,215
20110623,IF1107                        ,7,兴证期货    ,14688,4694,南华期货    ,985,-10,申银万国    ,758,-58
20110623,IF1107                        ,8,南华期货    ,14163,5313,浙商期货    ,797,254,银河期货    ,694,-291
20110623,IF1107                        ,9,中信期货    ,13218,2456,光大期货    ,773,4,广发期货    ,690,-431
20110623,IF1107                        ,10,上海东证    ,12725,2794,银河期货    ,742,41,鲁证期货    ,660,-148
20110623,IF1107                        ,11,申银万国    ,12571,3338,金瑞期货    ,676,317,安信期货    ,635,211
20110623,IF1107                        ,12,中投天琪    ,10806,2121,信达期货    ,663,-151,海证期货    ,614,594
20110623,IF1107                        ,13,光大期货    ,10153,3082,中信期货    ,662,-230,光大期货    ,537,-155
20110623,IF1107                        ,14,永安期货    ,9907,2010,申银万国    ,641,17,永安期货    ,526,-125
20110623,IF1107                        ,15,浙商期货    ,9741,2740,招商期货    ,618,-237,中信建投    ,499,25
20110623,IF1107                        ,16,中国国际    ,9087,3502,新世纪     ,614,201,国信期货    ,483,105
20110623,IF1107                        ,17,招商期货    ,8431,2713,上海东证    ,588,-5,南华期货    ,470,-211
20110623,IF1107                        ,18,中信建投    ,7976,2631,安信期货    ,555,-129,中粮期货    ,464,-8
20110623,IF1107                        ,19,东吴期货    ,6925,2985,中国国际    ,466,-57,兴证期货    ,386,0
20110623,IF1107                        ,20,大华期货    ,6557,2463,冠通期货    ,451,237,弘业期货    ,371,88
