交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120327,IF1204                        ,期货公司,417599,31577,54842,364,55005,449
20120327,IF1204                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120327,IF1204                        ,1,华泰长城    ,30253,2254,国泰君安    ,3654,8,中信期货    ,9404,94
20120327,IF1204                        ,2,国泰君安    ,29380,1450,华泰长城    ,2762,-185,国泰君安    ,6106,-116
20120327,IF1204                        ,3,海通期货    ,27091,4415,广发期货    ,2606,189,海通期货    ,5052,131
20120327,IF1204                        ,4,兴证期货    ,20696,-2352,南华期货    ,2476,237,华泰长城    ,4300,94
20120327,IF1204                        ,5,广发期货    ,19626,-1578,海通期货    ,2394,-466,光大期货    ,2844,-119
20120327,IF1204                        ,6,光大期货    ,16977,2410,中信期货    ,2290,244,中粮期货    ,2507,-13
20120327,IF1204                        ,7,南华期货    ,16524,964,永安期货    ,2265,-21,上海东证    ,2124,411
20120327,IF1204                        ,8,鲁证期货    ,15499,3197,银河期货    ,2070,134,申银万国    ,1856,35
20120327,IF1204                        ,9,银河期货    ,14876,3259,光大期货    ,2043,-42,兴证期货    ,1318,144
20120327,IF1204                        ,10,申银万国    ,14207,881,申银万国    ,1671,-26,广发期货    ,1292,-75
20120327,IF1204                        ,11,中信期货    ,12974,1313,鲁证期货    ,1609,-52,中信建投    ,1214,103
20120327,IF1204                        ,12,浙商期货    ,12732,1505,浙商期货    ,1560,-58,南华期货    ,1206,-31
20120327,IF1204                        ,13,中投天琪    ,11683,425,信达期货    ,1524,-69,大华期货    ,1109,-146
20120327,IF1204                        ,14,上海东证    ,10921,-1161,上海东证    ,1404,42,鲁证期货    ,1005,129
20120327,IF1204                        ,15,渤海期货    ,10917,303,招商期货    ,1353,239,国信期货    ,990,146
20120327,IF1204                        ,16,国信期货    ,9240,3097,瑞达期货    ,1089,118,银河期货    ,983,10
20120327,IF1204                        ,17,信达期货    ,8899,1973,中粮期货    ,1053,-31,东海期货    ,802,31
20120327,IF1204                        ,18,招商期货    ,8326,-165,东海期货    ,989,33,五矿期货    ,642,1
20120327,IF1204                        ,19,永安期货    ,7930,441,安信期货    ,988,2,信达期货    ,607,18
20120327,IF1204                        ,20,瑞达期货    ,5953,83,兴证期货    ,914,-88,浙商期货    ,595,30
