交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120702,IF1207                        ,期货公司,647234,-79460,58684,2599,58760,2609
20120702,IF1207                        ,非期货公司,0,0,0,0,0,0
20120702,IF1209                        ,期货公司,7630,1692,10208,576,10227,576
20120702,IF1209                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120702,IF1207                        ,1,海通期货    ,57157,-3391,国泰君安    ,4051,122,国泰君安    ,8998,628
20120702,IF1207                        ,2,华泰长城    ,51278,-8653,华泰长城    ,3055,267,中信期货    ,6863,-2385
20120702,IF1207                        ,3,国泰君安    ,49882,-3701,海通期货    ,2850,215,海通期货    ,5757,42
20120702,IF1207                        ,4,广发期货    ,40004,-11311,广发期货    ,2849,180,光大期货    ,5311,978
20120702,IF1207                        ,5,兴证期货    ,39733,-9216,南华期货    ,2581,186,华泰长城    ,3308,-45
20120702,IF1207                        ,6,申银万国    ,24544,-1000,银河期货    ,2571,57,申银万国    ,2458,16
20120702,IF1207                        ,7,光大期货    ,23900,2453,中信期货    ,2469,-221,招商期货    ,2027,-427
20120702,IF1207                        ,8,中信期货    ,21958,-1634,申银万国    ,2274,432,中粮期货    ,1817,-354
20120702,IF1207                        ,9,鲁证期货    ,20408,-2908,光大期货    ,2235,-386,上海东证    ,1413,794
20120702,IF1207                        ,10,银河期货    ,20169,-3546,鲁证期货    ,1939,239,国信期货    ,1299,498
20120702,IF1207                        ,11,南华期货    ,17559,-5976,永安期货    ,1901,-27,中信建投    ,1283,-18
20120702,IF1207                        ,12,中投天琪    ,15847,-611,国信期货    ,1851,81,南华期货    ,1249,269
20120702,IF1207                        ,13,上海东证    ,14910,34,金瑞期货    ,1502,178,广发期货    ,1226,-398
20120702,IF1207                        ,14,招商期货    ,13486,485,上海东证    ,1391,-522,鲁证期货    ,1221,335
20120702,IF1207                        ,15,渤海期货    ,13347,-854,浙商期货    ,1375,24,宝城期货    ,920,-5
20120702,IF1207                        ,16,浙商期货    ,12077,-4306,招商期货    ,1240,47,银河期货    ,905,202
20120702,IF1207                        ,17,永安期货    ,11037,-2454,兴证期货    ,1181,256,东海期货    ,869,101
20120702,IF1207                        ,18,瑞达期货    ,10925,-2775,信达期货    ,1144,139,大华期货    ,649,461
20120702,IF1207                        ,19,国信期货    ,9593,-2515,东海期货    ,976,35,兴证期货    ,583,13
20120702,IF1207                        ,20,中信建投    ,9553,-2024,安信期货    ,967,-30,永安期货    ,580,214
20120702,IF1209                        ,1,华泰长城    ,2275,274,国泰君安    ,1824,111,招商期货    ,2816,251
20120702,IF1209                        ,2,永安期货    ,444,-8,华泰长城    ,656,25,国泰君安    ,1500,13
20120702,IF1209                        ,3,银河期货    ,424,34,金瑞期货    ,578,76,广发期货    ,1052,187
20120702,IF1209                        ,4,广发期货    ,330,150,广发期货    ,575,49,银河期货    ,958,-19
20120702,IF1209                        ,5,国泰君安    ,322,92,海通期货    ,514,3,兴证期货    ,714,1
20120702,IF1209                        ,6,招商期货    ,319,103,中信期货    ,433,4,华泰长城    ,659,-8
20120702,IF1209                        ,7,鲁证期货    ,260,147,银河期货    ,367,103,光大期货    ,452,4
20120702,IF1209                        ,8,中国国际    ,238,17,招商期货    ,338,2,海通期货    ,425,-17
20120702,IF1209                        ,9,海通期货    ,208,79,南华期货    ,293,8,中信期货    ,380,10
20120702,IF1209                        ,10,经易期货    ,205,41,鲁证期货    ,292,55,国都期货    ,204,6
20120702,IF1209                        ,11,南华期货    ,191,88,永安期货    ,285,-313,金元期货    ,101,100
20120702,IF1209                        ,12,万达期货    ,179,98,中国国际    ,255,38,万达期货    ,77,9
20120702,IF1209                        ,13,英大期货    ,170,-8,方正中期    ,255,13,永安期货    ,70,-1
20120702,IF1209                        ,14,信达期货    ,150,106,上海东证    ,247,0,中粮期货    ,69,3
20120702,IF1209                        ,15,新湖期货    ,130,46,申银万国    ,207,48,上海东证    ,61,2
20120702,IF1209                        ,16,申银万国    ,127,56,弘业期货    ,199,-6,宝城期货    ,53,1
20120702,IF1209                        ,17,中信期货    ,120,36,浙商期货    ,157,7,中信建投    ,53,1
20120702,IF1209                        ,18,金元期货    ,106,100,信达期货    ,146,111,申银万国    ,49,-3
20120702,IF1209                        ,19,金瑞期货    ,96,83,东海期货    ,138,1,东吴期货    ,40,0
20120702,IF1209                        ,20,大连良运    ,92,24,民生期货    ,130,15,中国国际    ,37,14
