交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120924,IF1210                        ,期货公司,1270162,167092,69069,2048,69274,2052
20120924,IF1210                        ,非期货公司,0,0,0,0,0,0
20120924,IF1212                        ,期货公司,14650,1431,13163,-152,13344,-152
20120924,IF1212                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120924,IF1210                        ,1,广发期货    ,119042,27366,国泰君安    ,7068,331,中信期货    ,12235,-119
20120924,IF1210                        ,2,兴证期货    ,97003,13499,海通期货    ,3868,372,国泰君安    ,8003,542
20120924,IF1210                        ,3,华泰长城    ,96844,18583,银河期货    ,3835,790,海通期货    ,7762,-1187
20120924,IF1210                        ,4,海通期货    ,87757,9576,华泰长城    ,3824,265,华泰长城    ,4673,-577
20120924,IF1210                        ,5,国泰君安    ,86387,13120,广发期货    ,3742,112,光大期货    ,3197,832
20120924,IF1210                        ,6,申银万国    ,57424,12302,中信期货    ,3096,-12,中粮期货    ,2506,-290
20120924,IF1210                        ,7,光大期货    ,45920,-1828,永安期货    ,2439,283,国信期货    ,1949,422
20120924,IF1210                        ,8,中信期货    ,43729,-1058,南华期货    ,2287,-120,金瑞期货    ,1817,318
20120924,IF1210                        ,9,南华期货    ,39188,1145,招商期货    ,2086,182,申银万国    ,1729,-87
20120924,IF1210                        ,10,银河期货    ,38925,4795,光大期货    ,2056,-154,鲁证期货    ,1703,137
20120924,IF1210                        ,11,鲁证期货    ,38496,1330,申银万国    ,1989,107,广发期货    ,1544,190
20120924,IF1210                        ,12,渤海期货    ,31829,2846,信达期货    ,1741,81,招商期货    ,1476,-140
20120924,IF1210                        ,13,中投天琪    ,29037,3848,浙商期货    ,1644,-231,中信建投    ,1418,61
20120924,IF1210                        ,14,浙商期货    ,28144,5523,鲁证期货    ,1504,-119,南华期货    ,1395,-28
20120924,IF1210                        ,15,上海东证    ,25761,-358,上海东证    ,1458,-193,兴证期货    ,1227,340
20120924,IF1210                        ,16,国信期货    ,21514,3187,东海期货    ,1372,172,银河期货    ,1217,121
20120924,IF1210                        ,17,招商期货    ,21102,2184,金瑞期货    ,1321,153,中投天琪    ,1136,217
20120924,IF1210                        ,18,信达期货    ,20334,3986,国信期货    ,1147,42,东海期货    ,1124,338
20120924,IF1210                        ,19,永安期货    ,19152,2715,安信期货    ,1119,-249,宝城期货    ,1112,-28
20120924,IF1210                        ,20,瑞达期货    ,18567,4503,瑞达期货    ,1083,-23,安信期货    ,873,396
20120924,IF1212                        ,1,华泰长城    ,4208,553,国泰君安    ,1835,5,招商期货    ,3018,1
20120924,IF1212                        ,2,海通期货    ,1220,76,银河期货    ,1123,-2,广发期货    ,2346,-110
20120924,IF1212                        ,3,申银万国    ,713,285,海通期货    ,790,35,华泰长城    ,1280,5
20120924,IF1212                        ,4,鲁证期货    ,669,511,金瑞期货    ,787,4,海通期货    ,1206,3
20120924,IF1212                        ,5,银河期货    ,638,-132,信达期货    ,709,44,兴证期货    ,729,-27
20120924,IF1212                        ,6,国泰君安    ,593,185,华泰长城    ,505,-39,国元期货    ,713,-2
20120924,IF1212                        ,7,长江期货    ,547,169,广发期货    ,479,2,南华期货    ,562,-10
20120924,IF1212                        ,8,广发期货    ,474,-190,招商期货    ,418,3,中信期货    ,556,-23
20120924,IF1212                        ,9,经易期货    ,463,-41,中信期货    ,388,8,国泰君安    ,480,82
20120924,IF1212                        ,10,光大期货    ,332,74,中国国际    ,387,40,国都期货    ,396,1
20120924,IF1212                        ,11,中国国际    ,288,50,申银万国    ,307,5,宝城期货    ,268,1
20120924,IF1212                        ,12,宏源期货    ,277,46,云晨期货    ,300,0,国信期货    ,225,-12
20120924,IF1212                        ,13,中信建投    ,270,203,民生期货    ,292,22,西部期货    ,200,-7
20120924,IF1212                        ,14,中粮期货    ,252,52,鲁证期货    ,280,5,安信期货    ,145,4
20120924,IF1212                        ,15,金瑞期货    ,232,67,格林大华    ,267,-7,中粮期货    ,140,29
20120924,IF1212                        ,16,南华期货    ,229,89,南华期货    ,260,1,五矿期货    ,128,-2
20120924,IF1212                        ,17,五矿期货    ,221,133,光大期货    ,215,27,光大期货    ,77,-3
20120924,IF1212                        ,18,万达期货    ,216,69,方正中期    ,213,-5,中银国际    ,76,0
20120924,IF1212                        ,19,兴证期货    ,199,43,弘业期货    ,210,4,万达期货    ,62,-6
20120924,IF1212                        ,20,信达期货    ,198,24,上海东证    ,208,-19,申银万国    ,62,-4
