交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120927,IF1210                        ,期货公司,1459378,522499,69481,2218,69673,2320
20120927,IF1210                        ,非期货公司,0,0,0,0,0,0
20120927,IF1212                        ,期货公司,23747,14211,13242,14,13402,-11
20120927,IF1212                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120927,IF1210                        ,1,广发期货    ,145681,74727,国泰君安    ,7102,-2,中信期货    ,13324,1360
20120927,IF1210                        ,2,兴证期货    ,115380,43002,华泰长城    ,3860,359,国泰君安    ,8842,863
20120927,IF1210                        ,3,华泰长城    ,105301,31071,广发期货    ,3757,-23,海通期货    ,7685,689
20120927,IF1210                        ,4,海通期货    ,102223,40431,银河期货    ,3372,-54,光大期货    ,4222,1447
20120927,IF1210                        ,5,国泰君安    ,94433,27032,中信期货    ,3199,7,华泰长城    ,3019,-294
20120927,IF1210                        ,6,申银万国    ,59650,25290,海通期货    ,3081,-270,中粮期货    ,2734,-167
20120927,IF1210                        ,7,光大期货    ,55003,19466,永安期货    ,2206,-655,申银万国    ,2407,795
20120927,IF1210                        ,8,南华期货    ,47574,19651,申银万国    ,2087,27,招商期货    ,1721,158
20120927,IF1210                        ,9,中信期货    ,45235,13144,鲁证期货    ,2032,194,南华期货    ,1719,312
20120927,IF1210                        ,10,鲁证期货    ,44221,11837,信达期货    ,1974,191,国信期货    ,1636,-78
20120927,IF1210                        ,11,银河期货    ,42908,15964,招商期货    ,1955,326,鲁证期货    ,1630,-105
20120927,IF1210                        ,12,浙商期货    ,39296,17918,南华期货    ,1920,-294,中信建投    ,1563,227
20120927,IF1210                        ,13,渤海期货    ,34493,9960,浙商期货    ,1690,42,上海东证    ,1550,885
20120927,IF1210                        ,14,上海东证    ,34424,12553,光大期货    ,1681,-582,广发期货    ,1429,-98
20120927,IF1210                        ,15,中投天琪    ,29540,4298,东海期货    ,1642,475,中投天琪    ,1206,-188
20120927,IF1210                        ,16,瑞达期货    ,26740,12971,金瑞期货    ,1320,328,银河期货    ,1171,-20
20120927,IF1210                        ,17,招商期货    ,23584,7594,上海东证    ,1241,-363,宝城期货    ,1121,-6
20120927,IF1210                        ,18,信达期货    ,23027,7891,国信期货    ,1162,-1,东海期货    ,1013,71
20120927,IF1210                        ,19,永安期货    ,21790,7639,新湖期货    ,1156,473,金瑞期货    ,946,-852
20120927,IF1210                        ,20,国信期货    ,19965,5610,安信期货    ,1140,-83,兴证期货    ,914,-104
20120927,IF1212                        ,1,华泰长城    ,7242,4343,国泰君安    ,1853,-11,招商期货    ,3004,-16
20120927,IF1212                        ,2,海通期货    ,2050,1248,银河期货    ,1111,23,广发期货    ,2311,-60
20120927,IF1212                        ,3,经易期货    ,1251,836,海通期货    ,859,79,华泰长城    ,1245,-39
20120927,IF1212                        ,4,鲁证期货    ,1028,573,信达期货    ,711,-28,海通期货    ,1170,-5
20120927,IF1212                        ,5,银河期货    ,870,598,金瑞期货    ,610,-38,兴证期货    ,740,10
20120927,IF1212                        ,6,广发期货    ,840,298,广发期货    ,493,6,国元期货    ,713,-1
20120927,IF1212                        ,7,国泰君安    ,795,536,华泰长城    ,480,-29,南华期货    ,570,9
20120927,IF1212                        ,8,永安期货    ,763,714,中国国际    ,448,28,中信期货    ,532,-2
20120927,IF1212                        ,9,申银万国    ,667,137,长江期货    ,412,-9,国泰君安    ,471,-40
20120927,IF1212                        ,10,宏源期货    ,636,325,中信期货    ,408,18,国都期货    ,402,-2
20120927,IF1212                        ,11,国都期货    ,585,585,招商期货    ,396,-4,宝城期货    ,253,-15
20120927,IF1212                        ,12,国信期货    ,497,421,申银万国    ,337,-8,国信期货    ,238,9
20120927,IF1212                        ,13,南华期货    ,482,332,云晨期货    ,300,0,西部期货    ,200,0
20120927,IF1212                        ,14,中国国际    ,459,301,格林大华    ,275,10,中粮期货    ,151,9
20120927,IF1212                        ,15,新湖期货    ,359,223,民生期货    ,275,-27,安信期货    ,147,1
20120927,IF1212                        ,16,万达期货    ,339,179,鲁证期货    ,271,-1,五矿期货    ,130,4
20120927,IF1212                        ,17,中投天琪    ,323,209,南华期货    ,249,-13,光大期货    ,93,-2
20120927,IF1212                        ,18,光大期货    ,296,106,永安期货    ,219,2,金瑞期货    ,90,28
20120927,IF1212                        ,19,中信期货    ,286,83,方正中期    ,210,6,信达期货    ,89,19
20120927,IF1212                        ,20,金瑞期货    ,254,119,弘业期货    ,206,-9,东海期货    ,77,19
