交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20121107,IF1211                        ,期货公司,1178418,69806,65044,897,65248,865
20121107,IF1211                        ,非期货公司,0,0,0,0,0,0
20121107,IF1212                        ,期货公司,80846,8085,25877,699,26131,741
20121107,IF1212                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20121107,IF1211                        ,1,兴证期货    ,102588,4784,国泰君安    ,7334,56,中信期货    ,14263,0
20121107,IF1211                        ,2,华泰长城    ,99578,7142,广发期货    ,3911,321,国泰君安    ,6913,189
20121107,IF1211                        ,3,海通期货    ,89030,11874,华泰长城    ,3527,555,海通期货    ,6762,149
20121107,IF1211                        ,4,广发期货    ,88453,3233,银河期货    ,3491,160,广发期货    ,3051,-292
20121107,IF1211                        ,5,国泰君安    ,76393,3937,海通期货    ,3095,-251,华泰长城    ,2438,355
20121107,IF1211                        ,6,申银万国    ,54844,2081,中信期货    ,2418,75,光大期货    ,2327,92
20121107,IF1211                        ,7,光大期货    ,50345,-2966,南华期货    ,2352,-165,申银万国    ,1928,18
20121107,IF1211                        ,8,中信期货    ,40641,1936,光大期货    ,2208,-411,鲁证期货    ,1872,473
20121107,IF1211                        ,9,鲁证期货    ,38222,4006,申银万国    ,2146,-216,上海东证    ,1775,-86
20121107,IF1211                        ,10,南华期货    ,35709,1492,永安期货    ,2100,-30,南华期货    ,1688,-14
20121107,IF1211                        ,11,银河期货    ,31757,-2567,鲁证期货    ,1781,-203,银河期货    ,1658,-101
20121107,IF1211                        ,12,浙商期货    ,26231,-1248,招商期货    ,1739,-3,中信建投    ,1444,-56
20121107,IF1211                        ,13,上海东证    ,26123,3576,中投天琪    ,1549,224,中粮期货    ,1386,-62
20121107,IF1211                        ,14,中投天琪    ,24586,-1908,浙商期货    ,1292,-145,招商期货    ,1230,35
20121107,IF1211                        ,15,渤海期货    ,21067,3445,国信期货    ,1278,127,国信期货    ,1192,10
20121107,IF1211                        ,16,永安期货    ,20833,4265,信达期货    ,1190,-412,兴证期货    ,1013,52
20121107,IF1211                        ,17,信达期货    ,18679,2489,安信期货    ,1184,0,金瑞期货    ,942,-152
20121107,IF1211                        ,18,国信期货    ,17883,3597,长江期货    ,1099,385,浙商期货    ,922,94
20121107,IF1211                        ,19,瑞达期货    ,17683,532,上海东证    ,1091,-47,上海浙石    ,870,292
20121107,IF1211                        ,20,招商期货    ,16764,1275,瑞达期货    ,1081,-84,中投天琪    ,664,-170
20121107,IF1212                        ,1,华泰长城    ,20017,-1128,广发期货    ,2823,138,华泰长城    ,3104,153
20121107,IF1212                        ,2,申银万国    ,5268,3029,国泰君安    ,2570,59,广发期货    ,3041,39
20121107,IF1212                        ,3,广发期货    ,4249,-605,华泰长城    ,1759,-130,中信期货    ,2737,218
20121107,IF1212                        ,4,海通期货    ,3531,-1100,银河期货    ,1647,28,海通期货    ,2444,32
20121107,IF1212                        ,5,南华期货    ,3178,411,海通期货    ,1538,53,招商期货    ,2048,-27
20121107,IF1212                        ,6,宏源期货    ,3130,627,中信期货    ,1143,40,国泰君安    ,1947,80
20121107,IF1212                        ,7,经易期货    ,3113,611,南华期货    ,850,121,南华期货    ,1034,-73
20121107,IF1212                        ,8,中信期货    ,3008,666,信达期货    ,843,34,国信期货    ,900,59
20121107,IF1212                        ,9,光大期货    ,2735,-363,上海东证    ,722,-113,兴证期货    ,848,14
20121107,IF1212                        ,10,国泰君安    ,2287,727,浙商期货    ,713,5,光大期货    ,839,1
20121107,IF1212                        ,11,鲁证期货    ,2051,217,申银万国    ,703,73,金瑞期货    ,680,309
20121107,IF1212                        ,12,银河期货    ,2001,-41,金瑞期货    ,684,-15,鲁证期货    ,649,31
20121107,IF1212                        ,13,招商期货    ,1790,1056,中国国际    ,648,-9,国元期货    ,503,11
20121107,IF1212                        ,14,浙商期货    ,1773,613,招商期货    ,595,37,上海东证    ,484,24
20121107,IF1212                        ,15,兴证期货    ,1545,496,永安期货    ,413,-6,申银万国    ,332,75
20121107,IF1212                        ,16,上海东证    ,1253,194,鲁证期货    ,409,38,银河期货    ,321,-5
20121107,IF1212                        ,17,永安期货    ,1025,257,光大期货    ,401,74,中信建投    ,299,88
20121107,IF1212                        ,18,国信期货    ,990,160,兴证期货    ,347,-89,中粮期货    ,293,13
20121107,IF1212                        ,19,中国国际    ,940,191,云晨期货    ,340,0,中投天琪    ,252,-1
20121107,IF1212                        ,20,新湖期货    ,880,-458,国信期货    ,316,9,宝城期货    ,228,-316
