交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20121227,IF1301                        ,期货公司,1224214,389051,80379,-145,80389,-173
20121227,IF1301                        ,非期货公司,0,0,0,0,0,0
20121227,IF1303                        ,期货公司,23915,12058,17176,1006,17150,1005
20121227,IF1303                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20121227,IF1301                        ,1,兴证期货    ,112887,38852,国泰君安    ,6958,67,中信期货    ,12192,-204
20121227,IF1301                        ,2,华泰长城    ,101530,26726,广发期货    ,5199,1069,海通期货    ,10170,43
20121227,IF1301                        ,3,广发期货    ,90360,44755,华泰长城    ,4632,-51,国泰君安    ,9209,502
20121227,IF1301                        ,4,国泰君安    ,89691,24080,南华期货    ,4375,407,光大期货    ,6346,-665
20121227,IF1301                        ,5,海通期货    ,83663,26933,海通期货    ,3593,-568,华泰长城    ,4309,89
20121227,IF1301                        ,6,光大期货    ,59750,16978,光大期货    ,3324,209,中粮期货    ,2974,53
20121227,IF1301                        ,7,申银万国    ,48152,11569,东海期货    ,3324,-350,南华期货    ,2313,9
20121227,IF1301                        ,8,南华期货    ,38404,9921,中信期货    ,3094,52,广发期货    ,1868,-643
20121227,IF1301                        ,9,银河期货    ,36962,10925,永安期货    ,2864,94,中信建投    ,1854,81
20121227,IF1301                        ,10,上海东证    ,36281,15603,银河期货    ,2689,325,申银万国    ,1843,-112
20121227,IF1301                        ,11,中信期货    ,34758,9353,申银万国    ,2520,-548,银河期货    ,1748,17
20121227,IF1301                        ,12,鲁证期货    ,32922,9147,上海东证    ,1913,230,上海东证    ,1718,13
20121227,IF1301                        ,13,浙商期货    ,32556,9624,鲁证期货    ,1847,65,长江期货    ,1562,111
20121227,IF1301                        ,14,中投天琪    ,23227,3678,金瑞期货    ,1783,-312,招商期货    ,1456,664
20121227,IF1301                        ,15,瑞达期货    ,20135,7842,浙商期货    ,1732,-430,鲁证期货    ,1178,-23
20121227,IF1301                        ,16,永安期货    ,19876,6439,信达期货    ,1552,253,浙商期货    ,1139,298
20121227,IF1301                        ,17,渤海期货    ,19114,4683,安信期货    ,1348,-427,金瑞期货    ,1109,157
20121227,IF1301                        ,18,金瑞期货    ,16839,1363,新湖期货    ,1212,17,安信期货    ,1010,416
20121227,IF1301                        ,19,信达期货    ,16360,6672,新世纪     ,1207,51,中投天琪    ,983,83
20121227,IF1301                        ,20,中信建投    ,15922,6370,招商期货    ,1205,-423,上海浙石    ,912,30
20121227,IF1303                        ,1,华泰长城    ,7715,3891,国泰君安    ,2866,624,中信期货    ,3818,54
20121227,IF1303                        ,2,经易期货    ,1622,1121,永安期货    ,1176,-34,国泰君安    ,2801,1
20121227,IF1303                        ,3,广发期货    ,1557,1100,海通期货    ,958,4,招商期货    ,2214,-8
20121227,IF1303                        ,4,鲁证期货    ,1186,817,华泰长城    ,823,30,广发期货    ,2071,514
20121227,IF1303                        ,5,国泰君安    ,1161,586,信达期货    ,810,18,光大期货    ,1175,105
20121227,IF1303                        ,6,中信期货    ,754,279,南华期货    ,750,9,国信期货    ,531,15
20121227,IF1303                        ,7,浙商期货    ,736,347,中信期货    ,737,8,国元期货    ,413,-1
20121227,IF1303                        ,8,申银万国    ,699,291,金瑞期货    ,735,-8,和融期货    ,377,6
20121227,IF1303                        ,9,瑞达期货    ,642,347,新湖期货    ,634,-4,平安期货    ,300,22
20121227,IF1303                        ,10,南华期货    ,629,328,浙商期货    ,612,16,银河期货    ,286,6
20121227,IF1303                        ,11,光大期货    ,550,346,广发期货    ,590,3,海通期货    ,285,-1
20121227,IF1303                        ,12,宏源期货    ,424,106,鲁证期货    ,562,92,华泰长城    ,258,7
20121227,IF1303                        ,13,安信期货    ,419,273,招商期货    ,508,4,申银万国    ,218,67
20121227,IF1303                        ,14,海通期货    ,385,136,中国国际    ,470,29,南华期货    ,214,-8
20121227,IF1303                        ,15,银河期货    ,329,153,申银万国    ,361,0,宝城期货    ,203,-2
20121227,IF1303                        ,16,兴证期货    ,324,206,上海东证    ,339,1,五矿期货    ,154,0
20121227,IF1303                        ,17,信达期货    ,280,182,国金期货    ,332,-20,中信建投    ,149,-2
20121227,IF1303                        ,18,万达期货    ,264,186,云晨期货    ,302,21,安信期货    ,144,-1
20121227,IF1303                        ,19,永安期货    ,259,-39,银河期货    ,259,-15,兴证期货    ,116,49
20121227,IF1303                        ,20,国信期货    ,259,167,民生期货    ,221,70,经易期货    ,105,62
