交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130226,IF1303                        ,期货公司,1642101,194761,74308,-7688,74474,-7679
20130226,IF1303                        ,非期货公司,0,0,0,0,0,0
20130226,IF1306                        ,期货公司,33426,4395,18165,-1389,18165,-1389
20130226,IF1306                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130226,IF1303                        ,1,华泰长城    ,135357,16809,国泰君安    ,7682,-1019,海通期货    ,11989,-1735
20130226,IF1303                        ,2,海通期货    ,133377,12377,华泰长城    ,5173,714,国泰君安    ,9528,2
20130226,IF1303                        ,3,国泰君安    ,127955,26748,海通期货    ,3735,-864,中信期货    ,7845,-1799
20130226,IF1303                        ,4,兴证期货    ,122552,17168,光大期货    ,3700,-317,华泰长城    ,3792,27
20130226,IF1303                        ,5,广发期货    ,121947,13524,广发期货    ,3558,-6,光大期货    ,2846,-1751
20130226,IF1303                        ,6,光大期货    ,99590,13329,永安期货    ,3119,-799,广发期货    ,2606,-1077
20130226,IF1303                        ,7,申银万国    ,55565,6898,南华期货    ,2955,203,中粮期货    ,2562,21
20130226,IF1303                        ,8,南华期货    ,53296,-3587,银河期货    ,2497,-516,南华期货    ,2275,-849
20130226,IF1303                        ,9,中信期货    ,52358,9330,中信期货    ,2473,-829,鲁证期货    ,1864,-189
20130226,IF1303                        ,10,银河期货    ,46984,5892,鲁证期货    ,2309,388,中信建投    ,1853,-154
20130226,IF1303                        ,11,鲁证期货    ,46337,4203,招商期货    ,2082,-154,银河期货    ,1723,-394
20130226,IF1303                        ,12,上海东证    ,43008,5471,申银万国    ,2015,-49,国信期货    ,1621,474
20130226,IF1303                        ,13,浙商期货    ,35325,707,浙商期货    ,1829,-266,上海东证    ,1597,-142
20130226,IF1303                        ,14,永安期货    ,34229,3552,上海东证    ,1714,512,申银万国    ,1566,136
20130226,IF1303                        ,15,中投天琪    ,26110,1696,安信期货    ,1458,-594,金瑞期货    ,1555,125
20130226,IF1303                        ,16,招商期货    ,25488,4726,东海期货    ,1415,-78,永安期货    ,1280,342
20130226,IF1303                        ,17,金瑞期货    ,25334,783,金瑞期货    ,1298,-705,信达期货    ,1279,917
20130226,IF1303                        ,18,国信期货    ,22653,2765,兴证期货    ,1249,85,国都期货    ,1248,3
20130226,IF1303                        ,19,东海期货    ,22115,6199,中国国际    ,1216,-519,新湖期货    ,1040,667
20130226,IF1303                        ,20,信达期货    ,22077,190,瑞达期货    ,1079,5,宝城期货    ,1027,-73
20130226,IF1306                        ,1,华泰长城    ,9203,39,国泰君安    ,3810,86,招商期货    ,4004,-36
20130226,IF1306                        ,2,经易期货    ,2951,-17,永安期货    ,1360,34,广发期货    ,3006,-315
20130226,IF1306                        ,3,广发期货    ,2079,485,金瑞期货    ,930,-338,中信期货    ,2785,-340
20130226,IF1306                        ,4,银河期货    ,1678,1323,南华期货    ,879,-78,国泰君安    ,2767,-20
20130226,IF1306                        ,5,鲁证期货    ,1448,257,海通期货    ,820,58,海通期货    ,1561,-93
20130226,IF1306                        ,6,国泰君安    ,1080,295,信达期货    ,683,-5,长江期货    ,537,-4
20130226,IF1306                        ,7,中信期货    ,1068,308,新湖期货    ,677,-261,上海东证    ,384,-314
20130226,IF1306                        ,8,光大期货    ,1048,593,中国国际    ,571,133,光大期货    ,373,-18
20130226,IF1306                        ,9,招商期货    ,935,19,广发期货    ,543,-58,和融期货    ,286,0
20130226,IF1306                        ,10,南华期货    ,928,127,中信期货    ,536,-284,国都期货    ,283,0
20130226,IF1306                        ,11,永安期货    ,907,295,华泰长城    ,411,-57,华泰长城    ,277,8
20130226,IF1306                        ,12,中国国际    ,855,229,招商期货    ,407,-29,兴证期货    ,237,-2
20130226,IF1306                        ,13,宏源期货    ,740,-68,方正中期    ,400,3,南华期货    ,207,-10
20130226,IF1306                        ,14,申银万国    ,706,57,银河期货    ,397,-19,平安期货    ,191,-157
20130226,IF1306                        ,15,金瑞期货    ,672,460,国信期货    ,376,-9,申银万国    ,178,17
20130226,IF1306                        ,16,海通期货    ,599,-364,国金期货    ,321,1,鲁证期货    ,170,1
20130226,IF1306                        ,17,浙商期货    ,584,156,云晨期货    ,304,-2,宏源期货    ,156,2
20130226,IF1306                        ,18,兴证期货    ,549,-192,民生期货    ,295,0,银河期货    ,108,-71
20130226,IF1306                        ,19,上海东证    ,549,484,申银万国    ,279,49,金瑞期货    ,69,50
20130226,IF1306                        ,20,新湖期货    ,330,273,弘业期货    ,249,-11,信达期货    ,37,11
