交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130509,IF1305                        ,期货公司,1290665,-120726,52904,-6188,52911,-6183
20130509,IF1305                        ,非期货公司,0,0,0,0,0,0
20130509,IF1306                        ,期货公司,190716,-11038,53688,2603,53689,2605
20130509,IF1306                        ,非期货公司,0,0,0,0,0,0
20130509,IF1309                        ,期货公司,12076,-3606,10940,277,10940,277
20130509,IF1309                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130509,IF1305                        ,1,华泰长城    ,106274,-15972,国泰君安    ,5932,-1393,中信期货    ,6339,-374
20130509,IF1305                        ,2,兴证期货    ,98727,-6655,华泰长城    ,3702,716,国泰君安    ,5700,283
20130509,IF1305                        ,3,国泰君安    ,92944,-13467,海通期货    ,2559,172,华泰长城    ,3515,-596
20130509,IF1305                        ,4,海通期货    ,92057,-10496,永安期货    ,2437,-536,南华期货    ,3104,184
20130509,IF1305                        ,5,光大期货    ,72508,-11295,银河期货    ,2131,399,海通期货    ,2406,-737
20130509,IF1305                        ,6,广发期货    ,58818,-10709,广发期货    ,1996,-830,广发期货    ,2365,46
20130509,IF1305                        ,7,申银万国    ,48830,-4374,鲁证期货    ,1789,363,中粮期货    ,2326,87
20130509,IF1305                        ,8,南华期货    ,46945,-4696,南华期货    ,1783,-209,申银万国    ,1860,-334
20130509,IF1305                        ,9,鲁证期货    ,41047,-543,光大期货    ,1738,-222,银河期货    ,1786,-211
20130509,IF1305                        ,10,中信期货    ,39977,-3562,中国国际    ,1679,37,光大期货    ,1784,-1086
20130509,IF1305                        ,11,银河期货    ,38400,2866,申银万国    ,1438,250,鲁证期货    ,1765,-26
20130509,IF1305                        ,12,浙商期货    ,33999,-4192,中信期货    ,1429,-203,上海东证    ,1539,-191
20130509,IF1305                        ,13,上海东证    ,33143,1956,信达期货    ,1415,-202,国元期货    ,1352,362
20130509,IF1305                        ,14,招商期货    ,30803,-722,浙商期货    ,1363,-319,招商期货    ,1267,-116
20130509,IF1305                        ,15,中投天琪    ,26633,2993,中信建投    ,1272,382,中信建投    ,1217,-48
20130509,IF1305                        ,16,永安期货    ,22806,-3351,中投天琪    ,1201,300,国信期货    ,1121,-171
20130509,IF1305                        ,17,渤海期货    ,21419,-2155,国投中谷    ,961,-116,金瑞期货    ,1053,-82
20130509,IF1305                        ,18,中信建投    ,18164,-2755,上海东证    ,870,-674,中投天琪    ,918,-369
20130509,IF1305                        ,19,信达期货    ,17754,-2288,五矿期货    ,819,60,长江期货    ,872,51
20130509,IF1305                        ,20,金瑞期货    ,17175,276,金瑞期货    ,787,-1711,浙商期货    ,721,36
20130509,IF1306                        ,1,华泰长城    ,37881,1681,国泰君安    ,6866,-20,海通期货    ,9973,408
20130509,IF1306                        ,2,海通期货    ,20327,-54,中信期货    ,3465,447,国泰君安    ,8884,1347
20130509,IF1306                        ,3,国泰君安    ,9929,-2577,华泰长城    ,2967,-51,中信期货    ,4826,-66
20130509,IF1306                        ,4,经易期货    ,8331,-4088,银河期货    ,2324,120,广发期货    ,3903,-474
20130509,IF1306                        ,5,申银万国    ,7610,-731,海通期货    ,2284,-1,华泰长城    ,3462,160
20130509,IF1306                        ,6,银河期货    ,7350,-1705,中国国际    ,2069,2,招商期货    ,3354,-23
20130509,IF1306                        ,7,广发期货    ,7026,-1066,浙商期货    ,2008,703,光大期货    ,2396,100
20130509,IF1306                        ,8,南华期货    ,6199,597,广发期货    ,1915,52,银河期货    ,1768,154
20130509,IF1306                        ,9,光大期货    ,5940,1145,南华期货    ,1907,-245,金瑞期货    ,1390,401
20130509,IF1306                        ,10,宏源期货    ,5434,-596,永安期货    ,1859,297,国金期货    ,1096,135
20130509,IF1306                        ,11,浙商期货    ,4994,728,光大期货    ,1626,22,中银国际    ,1068,555
20130509,IF1306                        ,12,中信期货    ,4797,-3920,鲁证期货    ,1396,453,兴证期货    ,970,-241
20130509,IF1306                        ,13,新湖期货    ,3565,466,国投中谷    ,1164,10,宝城期货    ,911,6
20130509,IF1306                        ,14,金瑞期货    ,3206,1291,中粮期货    ,1149,65,上海东证    ,900,-602
20130509,IF1306                        ,15,鲁证期货    ,3187,-186,申银万国    ,1121,142,新湖期货    ,833,514
20130509,IF1306                        ,16,永安期货    ,2996,-1014,招商期货    ,1094,-23,鲁证期货    ,827,-22
20130509,IF1306                        ,17,国信期货    ,2956,106,信达期货    ,1089,39,南华期货    ,799,-136
20130509,IF1306                        ,18,兴证期货    ,2955,312,上海东证    ,1021,287,国都期货    ,697,-1
20130509,IF1306                        ,19,上海东证    ,2785,-876,金瑞期货    ,1005,95,申银万国    ,644,-22
20130509,IF1306                        ,20,招商期货    ,2524,-758,东吴期货    ,997,349,中信建投    ,491,35
20130509,IF1309                        ,1,华泰长城    ,2932,-159,国泰君安    ,1932,-20,海通期货    ,3350,40
20130509,IF1309                        ,2,海通期货    ,1732,-994,方正中期    ,729,28,中信期货    ,2808,120
20130509,IF1309                        ,3,南华期货    ,650,134,永安期货    ,693,0,招商期货    ,1064,45
20130509,IF1309                        ,4,招商期货    ,644,-96,银河期货    ,646,70,国泰君安    ,951,47
20130509,IF1309                        ,5,国泰君安    ,627,43,南华期货    ,579,4,平安期货    ,337,0
20130509,IF1309                        ,6,经易期货    ,551,-544,金元期货    ,474,41,新湖期货    ,301,-2
20130509,IF1309                        ,7,中信期货    ,418,95,广发期货    ,401,13,华泰长城    ,290,14
20130509,IF1309                        ,8,银河期货    ,387,-733,华泰长城    ,383,-4,上海东证    ,227,-1
20130509,IF1309                        ,9,浙商期货    ,364,-103,申银万国    ,374,3,宏源期货    ,212,-5
20130509,IF1309                        ,10,广发期货    ,359,-167,中信期货    ,351,50,弘业期货    ,145,1
20130509,IF1309                        ,11,光大期货    ,289,-68,海通期货    ,297,6,宝城期货    ,115,0
20130509,IF1309                        ,12,兴证期货    ,254,-19,中钢期货    ,260,-5,申银万国    ,103,3
20130509,IF1309                        ,13,新湖期货    ,199,-28,光大期货    ,246,23,鲁证期货    ,99,4
20130509,IF1309                        ,14,海证期货    ,191,57,浙商期货    ,232,-10,银河期货    ,94,31
