交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130619,IF1306                        ,期货公司,801460,-248672,27751,-14163,27751,-14163
20130619,IF1306                        ,非期货公司,0,0,0,0,0,0
20130619,IF1307                        ,期货公司,902692,561490,60532,11927,60532,11927
20130619,IF1307                        ,非期货公司,0,0,0,0,0,0
20130619,IF1309                        ,期货公司,29760,7866,19880,193,19880,193
20130619,IF1309                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130619,IF1306                        ,1,华泰长城    ,99376,16511,国泰君安    ,2191,-2445,光大期货    ,2884,381
20130619,IF1306                        ,2,海通期货    ,50594,-22900,光大期货    ,1803,-675,广发期货    ,2540,-822
20130619,IF1306                        ,3,国泰君安    ,50201,-20144,鲁证期货    ,1744,-141,中信期货    ,2217,-567
20130619,IF1306                        ,4,广发期货    ,48566,-11189,华泰长城    ,1493,-650,华泰长城    ,2033,-500
20130619,IF1306                        ,5,兴证期货    ,48457,-33662,申银万国    ,1452,-499,国泰君安    ,1833,-1296
20130619,IF1306                        ,6,光大期货    ,42596,-19039,银河期货    ,1300,-418,银河期货    ,1686,-1101
20130619,IF1306                        ,7,申银万国    ,34070,-3423,广发期货    ,1200,-494,国元期货    ,1382,-326
20130619,IF1306                        ,8,鲁证期货    ,27655,-14197,海通期货    ,1187,-178,国金期货    ,1372,-262
20130619,IF1306                        ,9,南华期货    ,25536,-17184,南华期货    ,1044,-550,鲁证期货    ,1116,-756
20130619,IF1306                        ,10,宏源期货    ,25374,8040,中信期货    ,946,-311,海通期货    ,1091,-556
20130619,IF1306                        ,11,银河期货    ,22877,-3629,永安期货    ,824,-602,中粮期货    ,891,-1364
20130619,IF1306                        ,12,中信期货    ,22868,-7700,浙商期货    ,787,-50,南华期货    ,770,-426
20130619,IF1306                        ,13,经易期货    ,21560,-1434,招商期货    ,602,-237,申银万国    ,738,7
20130619,IF1306                        ,14,永安期货    ,16905,-3704,兴证期货    ,526,-420,招商期货    ,697,-197
20130619,IF1306                        ,15,招商期货    ,16350,-2969,中粮期货    ,513,-78,上海东证    ,616,-841
20130619,IF1306                        ,16,上海东证    ,15493,-11730,东海期货    ,498,-91,国信期货    ,579,-216
20130619,IF1306                        ,17,信达期货    ,13953,-2345,中投天琪    ,483,-299,中信建投    ,509,-446
20130619,IF1306                        ,18,浙商期货    ,13230,-7535,中国国际    ,474,-172,兴证期货    ,458,-39
20130619,IF1306                        ,19,国信期货    ,12976,-1492,金瑞期货    ,445,-90,和融期货    ,303,-82
20130619,IF1306                        ,20,新湖期货    ,10706,5577,安信期货    ,394,-128,经易期货    ,294,252
20130619,IF1307                        ,1,华泰长城    ,88750,27333,国泰君安    ,5089,773,海通期货    ,8618,247
20130619,IF1307                        ,2,海通期货    ,77955,50117,海通期货    ,3483,816,国泰君安    ,7820,1145
20130619,IF1307                        ,3,国泰君安    ,60512,43203,光大期货    ,3233,652,华泰长城    ,4717,1287
20130619,IF1307                        ,4,兴证期货    ,59189,53316,广发期货    ,3229,391,中粮期货    ,4304,1525
20130619,IF1307                        ,5,光大期货    ,51477,40151,华泰长城    ,2699,477,中信期货    ,3944,514
20130619,IF1307                        ,6,广发期货    ,36551,24602,银河期货    ,2251,291,广发期货    ,3052,448
20130619,IF1307                        ,7,申银万国    ,35604,21091,南华期货    ,2240,788,光大期货    ,3003,329
20130619,IF1307                        ,8,南华期货    ,34931,21305,中信期货    ,2113,448,中银国际    ,2366,88
20130619,IF1307                        ,9,银河期货    ,28821,16950,永安期货    ,2052,227,银河期货    ,2185,790
20130619,IF1307                        ,10,宏源期货    ,26004,17359,申银万国    ,1617,564,鲁证期货    ,1801,333
20130619,IF1307                        ,11,中信期货    ,24958,13762,信达期货    ,1525,177,南华期货    ,1612,463
20130619,IF1307                        ,12,鲁证期货    ,23767,16188,中国国际    ,1513,211,国都期货    ,1257,204
20130619,IF1307                        ,13,浙商期货    ,21033,12369,上海东证    ,1491,579,申银万国    ,1079,432
20130619,IF1307                        ,14,经易期货    ,19579,6926,鲁证期货    ,1422,152,国信期货    ,1042,803
20130619,IF1307                        ,15,中投天琪    ,19326,16217,中信建投    ,1333,621,兴证期货    ,918,-564
20130619,IF1307                        ,16,上海东证    ,18317,12308,浙商期货    ,1329,41,中信建投    ,888,392
