交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130927,IF1310                        ,期货公司,1127390,-431790,68500,-6823,68500,-6823
20130927,IF1310                        ,非期货公司,0,0,0,0,0,0
20130927,IF1312                        ,期货公司,29940,-17162,15541,-319,15541,-319
20130927,IF1312                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130927,IF1310                        ,1,华泰长城    ,94640,-34234,国泰君安    ,5790,-1251,中信期货    ,8717,-362
20130927,IF1310                        ,2,国泰君安    ,93953,-28569,华泰长城    ,4680,-278,国泰君安    ,6923,-1144
20130927,IF1310                        ,3,兴证期货    ,72118,-30843,中信期货    ,2962,-329,海通期货    ,6852,-988
20130927,IF1310                        ,4,海通期货    ,71598,-47692,南华期货    ,2826,-178,华泰长城    ,5486,844
20130927,IF1310                        ,5,光大期货    ,57416,-15351,海通期货    ,2784,-96,广发期货    ,4294,-117
20130927,IF1310                        ,6,申银万国    ,56717,-13960,光大期货    ,2639,-171,银河期货    ,3685,379
20130927,IF1310                        ,7,南华期货    ,48563,-16013,银河期货    ,2637,-359,南华期货    ,3007,-375
20130927,IF1310                        ,8,广发期货    ,47457,-32976,鲁证期货    ,2599,-739,中粮期货    ,2109,-202
20130927,IF1310                        ,9,鲁证期货    ,41956,-16006,永安期货    ,2491,270,鲁证期货    ,1884,-191
20130927,IF1310                        ,10,中信期货    ,34331,-20132,广发期货    ,2342,-418,新湖期货    ,1872,-158
20130927,IF1310                        ,11,银河期货    ,31818,-9613,申银万国    ,2235,-379,国金期货    ,1862,52
20130927,IF1310                        ,12,上海东证    ,26696,-15108,信达期货    ,2130,-105,申银万国    ,1530,-196
20130927,IF1310                        ,13,浙商期货    ,26398,-5719,浙商期货    ,1689,-215,招商期货    ,1488,-171
20130927,IF1310                        ,14,永安期货    ,25535,-13286,中粮期货    ,1591,113,国信期货    ,1435,118
20130927,IF1310                        ,15,招商期货    ,22165,-2904,金瑞期货    ,1456,-403,中信建投    ,1243,-253
20130927,IF1310                        ,16,宏源期货    ,17484,-10806,招商期货    ,1452,-414,金瑞期货    ,1118,-57
20130927,IF1310                        ,17,渤海期货    ,17199,-4069,方正中期    ,1392,-51,光大期货    ,986,-381
20130927,IF1310                        ,18,金瑞期货    ,16260,-5309,中投天琪    ,1193,-319,上海东证    ,974,-314
20130927,IF1310                        ,19,中信建投    ,16130,167,中信建投    ,1172,-57,安信期货    ,793,-55
20130927,IF1310                        ,20,国信期货    ,15839,-6213,兴证期货    ,1161,276,渤海期货    ,742,-34
20130927,IF1312                        ,1,华泰长城    ,4818,-3371,国泰君安    ,2395,-19,中信期货    ,2635,13
20130927,IF1312                        ,2,海通期货    ,4144,-1503,海通期货    ,1324,-35,国泰君安    ,2565,14
20130927,IF1312                        ,3,南华期货    ,1937,-1872,广发期货    ,1087,-21,招商期货    ,1592,3
20130927,IF1312                        ,4,中信期货    ,1628,-31,光大期货    ,942,5,海通期货    ,1312,7
20130927,IF1312                        ,5,申银万国    ,989,-760,方正中期    ,687,-23,广发期货    ,1179,5
20130927,IF1312                        ,6,鲁证期货    ,987,489,华泰长城    ,683,-3,申银万国    ,584,-5
20130927,IF1312                        ,7,国泰君安    ,983,-949,南华期货    ,543,2,华泰长城    ,513,-19
20130927,IF1312                        ,8,光大期货    ,930,-442,招商期货    ,481,204,银河期货    ,510,-14
20130927,IF1312                        ,9,经易期货    ,880,-1061,信达期货    ,478,-44,南华期货    ,473,-19
20130927,IF1312                        ,10,西部期货    ,874,248,中信期货    ,469,5,安信期货    ,345,19
20130927,IF1312                        ,11,招商期货    ,831,-121,银河期货    ,398,13,和融期货    ,315,-3
20130927,IF1312                        ,12,银河期货    ,753,-314,永安期货    ,396,-32,长江期货    ,299,0
20130927,IF1312                        ,13,中银国际    ,608,-186,浙商期货    ,325,-21,金瑞期货    ,243,-10
20130927,IF1312                        ,14,浙江中大    ,569,-65,金瑞期货    ,291,-21,国信期货    ,238,-6
20130927,IF1312                        ,15,方正中期    ,559,-125,中国国际    ,290,25,中投天琪    ,224,20
20130927,IF1312                        ,16,国信期货    ,546,-445,申银万国    ,288,2,中粮期货    ,212,0
20130927,IF1312                        ,17,中投天琪    ,534,-316,中银国际    ,267,-2,鲁证期货    ,210,-17
20130927,IF1312                        ,18,宏源期货    ,507,-474,鲁证期货    ,263,16,国都期货    ,202,-5
20130927,IF1312                        ,19,新湖期货    ,458,-408,国信期货    ,243,58,宝城期货    ,186,-2
20130927,IF1312                        ,20,广发期货    ,448,-982,格林大华    ,238,7,中信建投    ,161,2
