交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20131129,IF1312                        ,期货公司,1024170,-650688,95717,-3433,95717,-3433
20131129,IF1312                        ,非期货公司,0,0,0,0,0,0
20131129,IF1403                        ,期货公司,13486,-17916,10263,228,10263,228
20131129,IF1403                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20131129,IF1312                        ,1,国泰君安    ,83796,-56277,国泰君安    ,8351,321,国泰君安    ,12387,-1001
20131129,IF1312                        ,2,华泰长城    ,82067,-40231,中信期货    ,7426,208,中信期货    ,11667,-71
20131129,IF1312                        ,3,海通期货    ,76032,-69450,广发期货    ,4690,-515,海通期货    ,10643,64
20131129,IF1312                        ,4,光大期货    ,46859,-22385,华泰长城    ,4472,-447,华泰长城    ,6718,-196
20131129,IF1312                        ,5,兴证期货    ,41666,-31008,银河期货    ,4447,-164,广发期货    ,5806,-197
20131129,IF1312                        ,6,申银万国    ,40454,-22977,南华期货    ,4231,-424,南华期货    ,4185,-107
20131129,IF1312                        ,7,南华期货    ,40437,-22434,海通期货    ,3867,-452,银河期货    ,2876,-88
20131129,IF1312                        ,8,中信期货    ,39915,-26910,光大期货    ,3507,-162,申银万国    ,2794,40
20131129,IF1312                        ,9,广发期货    ,39764,-44954,鲁证期货    ,3088,-273,中粮期货    ,2544,360
20131129,IF1312                        ,10,鲁证期货    ,39340,-18312,申银万国    ,2885,-378,光大期货    ,2504,589
20131129,IF1312                        ,11,银河期货    ,27892,-11531,金瑞期货    ,2804,471,上海东证    ,2388,-98
20131129,IF1312                        ,12,上海东证    ,27628,-7941,永安期货    ,2606,-105,中信建投    ,2149,-82
20131129,IF1312                        ,13,浙商期货    ,27069,-18859,中投天琪    ,2493,218,招商期货    ,2069,414
20131129,IF1312                        ,14,永安期货    ,26363,-24806,信达期货    ,2171,-120,鲁证期货    ,1922,-31
20131129,IF1312                        ,15,招商期货    ,20315,-14751,新湖期货    ,2159,470,国信期货    ,1648,12
20131129,IF1312                        ,16,瑞达期货    ,19791,-3094,浙商期货    ,1945,110,平安期货    ,1560,109
20131129,IF1312                        ,17,信达期货    ,16895,-7341,东海期货    ,1859,-275,金瑞期货    ,1519,105
20131129,IF1312                        ,18,中投天琪    ,16721,-4649,中粮期货    ,1795,-46,永安期货    ,1223,-1910
20131129,IF1312                        ,19,中信建投    ,16600,-10976,安信期货    ,1712,56,兴证期货    ,1185,-125
20131129,IF1312                        ,20,宏源期货    ,16234,-9597,中国国际    ,1646,28,国金期货    ,1158,-137
20131129,IF1403                        ,1,华泰长城    ,1966,-2067,国泰君安    ,1316,-13,中信期货    ,4270,56
20131129,IF1403                        ,2,海通期货    ,1784,-2762,中投天琪    ,677,45,国泰君安    ,778,16
20131129,IF1403                        ,3,招商期货    ,1051,-581,海通期货    ,542,53,申银万国    ,592,-1
20131129,IF1403                        ,4,中信期货    ,1001,-1440,中信期货    ,531,-49,广发期货    ,542,296
20131129,IF1403                        ,5,光大期货    ,772,81,广发期货    ,510,7,招商期货    ,505,-9
20131129,IF1403                        ,6,南华期货    ,617,-2377,永安期货    ,469,8,海通期货    ,368,-1
20131129,IF1403                        ,7,国泰君安    ,603,-841,银河期货    ,438,22,上海东证    ,290,-6
20131129,IF1403                        ,8,广发期货    ,573,-52,南华期货    ,388,7,永安期货    ,254,43
20131129,IF1403                        ,9,浙江中大    ,563,-509,华泰长城    ,379,-13,国金期货    ,244,-1
20131129,IF1403                        ,10,经易期货    ,358,-694,招商期货    ,372,8,华泰长城    ,213,9
20131129,IF1403                        ,11,银河期货    ,316,-242,鲁证期货    ,305,-14,中信建投    ,166,-19
20131129,IF1403                        ,12,宏源期货    ,229,-228,光大期货    ,300,0,和融期货    ,159,20
20131129,IF1403                        ,13,新湖期货    ,223,-430,北京首创    ,275,-3,新湖期货    ,143,-1
20131129,IF1403                        ,14,安信期货    ,221,-567,格林大华    ,245,15,金瑞期货    ,139,1
20131129,IF1403                        ,15,永安期货    ,209,-153,申银万国    ,239,10,瑞达期货    ,114,-1
20131129,IF1403                        ,16,国信期货    ,179,-124,弘业期货    ,211,9,中粮期货    ,112,4
20131129,IF1403                        ,17,鲁证期货    ,175,-467,浙商期货    ,197,19,南华期货    ,105,-8
20131129,IF1403                        ,18,上海东证    ,175,-410,万达期货    ,195,6,安信期货    ,99,6
20131129,IF1403                        ,19,兴证期货    ,161,-229,兴证期货    ,141,41,银河期货    ,89,-10
20131129,IF1403                        ,20,申银万国    ,137,-488,中粮期货    ,132,-3,格林大华    ,86,9
