交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20131209,IF1312                        ,期货公司,1074716,-116960,94395,1579,94395,1579
20131209,IF1312                        ,非期货公司,0,0,0,0,0,0
20131209,IF1401                        ,期货公司,46186,7306,15514,2581,15514,2581
20131209,IF1401                        ,非期货公司,0,0,0,0,0,0
20131209,IF1403                        ,期货公司,21698,-196,12971,842,12971,842
20131209,IF1403                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20131209,IF1312                        ,1,国泰君安    ,92179,-9893,国泰君安    ,8111,404,海通期货    ,16172,1562
20131209,IF1312                        ,2,海通期货    ,88594,-16383,广发期货    ,5046,292,中信期货    ,11166,70
20131209,IF1312                        ,3,华泰长城    ,76977,-11397,中信期货    ,4881,-808,国泰君安    ,8601,-581
20131209,IF1312                        ,4,广发期货    ,53849,-1278,华泰长城    ,4650,158,广发期货    ,5985,-333
20131209,IF1312                        ,5,光大期货    ,50573,-3247,光大期货    ,4472,104,华泰长城    ,5586,-603
20131209,IF1312                        ,6,兴证期货    ,48795,1104,南华期货    ,3895,-323,中粮期货    ,2841,87
20131209,IF1312                        ,7,南华期货    ,47672,-593,鲁证期货    ,3814,-150,南华期货    ,2815,-365
20131209,IF1312                        ,8,申银万国    ,37427,-8501,永安期货    ,3212,274,银河期货    ,2810,107
20131209,IF1312                        ,9,中信期货    ,34942,-5952,银河期货    ,3188,307,上海东证    ,2580,567
20131209,IF1312                        ,10,鲁证期货    ,34554,-7570,海通期货    ,3157,-360,申银万国    ,2500,-152
20131209,IF1312                        ,11,银河期货    ,32478,1892,申银万国    ,3107,199,中信建投    ,2131,-66
20131209,IF1312                        ,12,永安期货    ,29632,-8027,信达期货    ,2159,39,永安期货    ,2126,94
20131209,IF1312                        ,13,浙商期货    ,27136,-3602,金瑞期货    ,2159,326,光大期货    ,1921,667
20131209,IF1312                        ,14,上海东证    ,27090,-722,东海期货    ,2147,54,安信期货    ,1842,271
20131209,IF1312                        ,15,招商期货    ,21572,-1936,中投天琪    ,2123,-373,国信期货    ,1775,267
20131209,IF1312                        ,16,宏源期货    ,19539,1042,格林大华    ,1952,430,兴证期货    ,1759,265
20131209,IF1312                        ,17,瑞达期货    ,18955,-2095,中粮期货    ,1819,191,鲁证期货    ,1646,-68
20131209,IF1312                        ,18,中投天琪    ,18925,-2798,上海东证    ,1799,-145,金瑞期货    ,1462,-125
20131209,IF1312                        ,19,中信建投    ,18261,2502,中信建投    ,1783,191,平安期货    ,1315,-34
20131209,IF1312                        ,20,经易期货    ,17449,-2669,浙商期货    ,1665,-486,浙江中大    ,1075,19
20131209,IF1401                        ,1,海通期货    ,6939,907,中信期货    ,1411,682,海通期货    ,2814,401
20131209,IF1401                        ,2,华泰长城    ,6900,1408,国泰君安    ,1298,117,中信期货    ,2256,294
20131209,IF1401                        ,3,中信期货    ,3926,1118,海通期货    ,997,86,华泰长城    ,1813,390
20131209,IF1401                        ,4,国泰君安    ,2645,512,永安期货    ,748,107,南华期货    ,1385,255
20131209,IF1401                        ,5,南华期货    ,2474,-85,申银万国    ,705,-34,国泰君安    ,957,100
20131209,IF1401                        ,6,光大期货    ,1511,-395,新湖期货    ,627,3,申银万国    ,831,161
20131209,IF1401                        ,7,招商期货    ,1258,-207,兴证期货    ,614,381,永安期货    ,812,122
20131209,IF1401                        ,8,浙江中大    ,1154,112,光大期货    ,606,8,国金期货    ,667,589
20131209,IF1401                        ,9,申银万国    ,1109,261,银河期货    ,559,86,光大期货    ,510,15
20131209,IF1401                        ,10,浙商期货    ,1104,319,中粮期货    ,517,53,平安期货    ,418,29
20131209,IF1401                        ,11,经易期货    ,997,180,南华期货    ,494,131,鲁证期货    ,405,138
20131209,IF1401                        ,12,银河期货    ,930,309,广发期货    ,448,-27,上海东证    ,335,0
20131209,IF1401                        ,13,广发期货    ,894,-92,浙商期货    ,443,149,广发期货    ,287,33
20131209,IF1401                        ,14,兴证期货    ,889,570,华泰长城    ,406,-88,安信期货    ,206,35
20131209,IF1401                        ,15,宏源期货    ,833,-56,国信期货    ,383,162,中信建投    ,183,85
20131209,IF1401                        ,16,鲁证期货    ,826,127,方正中期    ,370,11,金瑞期货    ,138,18
20131209,IF1401                        ,17,信达期货    ,806,483,北京首创    ,335,58,和融期货    ,133,-5
20131209,IF1401                        ,18,国信期货    ,784,79,中投天琪    ,320,10,宝城期货    ,104,2
