交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140129,IF1402                        ,期货公司,933252,-205976,68991,-1193,68991,-1193
20140129,IF1402                        ,非期货公司,0,0,0,0,0,0
20140129,IF1403                        ,期货公司,50710,-18536,33832,-7,33832,-7
20140129,IF1403                        ,非期货公司,0,0,0,0,0,0
20140129,IF1406                        ,期货公司,6744,-1582,11829,180,11829,180
20140129,IF1406                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140129,IF1402                        ,1,海通期货    ,75948,-6846,国泰君安    ,5968,-586,中信期货    ,8326,9
20140129,IF1402                        ,2,国泰君安    ,70901,-23787,广发期货    ,4022,28,海通期货    ,7495,-67
20140129,IF1402                        ,3,华泰长城    ,48408,-12432,中信期货    ,3343,7,财富期货    ,6350,-165
20140129,IF1402                        ,4,光大期货    ,43290,-6180,华泰长城    ,3014,207,广发期货    ,4727,-732
20140129,IF1402                        ,5,申银万国    ,39890,-7693,光大期货    ,2964,41,国泰君安    ,4523,-245
20140129,IF1402                        ,6,广发期货    ,33634,-13869,银河期货    ,2932,-123,华泰长城    ,4506,261
20140129,IF1402                        ,7,中信期货    ,32132,-4337,海通期货    ,2660,-77,银河期货    ,3830,-57
20140129,IF1402                        ,8,兴证期货    ,31803,-13404,永安期货    ,2307,261,中银国际    ,1989,991
20140129,IF1402                        ,9,南华期货    ,31520,-8486,申银万国    ,2068,-127,永安期货    ,1931,31
20140129,IF1402                        ,10,方正中期    ,30069,-2188,瑞达期货    ,1725,-187,光大期货    ,1714,649
20140129,IF1402                        ,11,浙商期货    ,28171,-3774,鲁证期货    ,1655,-285,鲁证期货    ,1692,-328
20140129,IF1402                        ,12,永安期货    ,26362,-2898,南华期货    ,1605,-48,中信建投    ,1449,-48
20140129,IF1402                        ,13,银河期货    ,24008,-4704,兴证期货    ,1590,-61,申银万国    ,1433,-9
20140129,IF1402                        ,14,经易期货    ,23277,-3093,中投天琪    ,1580,-120,国信期货    ,1107,-101
20140129,IF1402                        ,15,鲁证期货    ,21921,-2124,新湖期货    ,1558,-4,招商期货    ,953,208
20140129,IF1402                        ,16,上海东证    ,20966,-3146,安信期货    ,1544,15,上海东证    ,943,55
20140129,IF1402                        ,17,招商期货    ,19055,-3855,招商期货    ,1519,333,浙商期货    ,909,-6
20140129,IF1402                        ,18,中投天琪    ,18421,259,方正中期    ,1408,291,中钢期货    ,882,-106
20140129,IF1402                        ,19,上海中期    ,15203,-8209,宏源期货    ,1403,-24,安信期货    ,842,-291
20140129,IF1402                        ,20,中信建投    ,14541,-2972,上海东证    ,1326,-737,兴证期货    ,841,-134
20140129,IF1403                        ,1,海通期货    ,6563,-1762,国泰君安    ,3933,36,中信期货    ,8904,-3
20140129,IF1403                        ,2,华西期货    ,4665,-1266,海通期货    ,1763,15,海通期货    ,4194,316
20140129,IF1403                        ,3,中信期货    ,4626,-2193,鲁证期货    ,1692,-2,广发期货    ,3586,-20
20140129,IF1403                        ,4,南华期货    ,2397,-763,银河期货    ,1577,8,华泰长城    ,3251,-80
20140129,IF1403                        ,5,国泰君安    ,2283,-1277,申银万国    ,1365,41,南华期货    ,2850,11
20140129,IF1403                        ,6,经易期货    ,2097,-983,信达期货    ,1226,-2,国泰君安    ,1474,-9
20140129,IF1403                        ,7,广发期货    ,1854,-626,广发期货    ,1152,10,银河期货    ,1002,-3
20140129,IF1403                        ,8,光大期货    ,1700,-377,光大期货    ,1124,-9,永安期货    ,772,0
20140129,IF1403                        ,9,华泰长城    ,1533,-1233,中信期货    ,988,155,新湖期货    ,690,-11
20140129,IF1403                        ,10,招商期货    ,1460,-480,永安期货    ,962,-40,上海东证    ,478,31
20140129,IF1403                        ,11,申银万国    ,1174,-785,中国国际    ,868,48,平安期货    ,430,-3
20140129,IF1403                        ,12,浙商期货    ,1167,42,北京首创    ,860,26,国都期货    ,427,-15
20140129,IF1403                        ,13,浙江中大    ,1124,-256,方正中期    ,805,-43,方正中期    ,423,-15
20140129,IF1403                        ,14,兴证期货    ,986,-765,招商期货    ,767,45,申银万国    ,388,-21
20140129,IF1403                        ,15,新湖期货    ,984,-226,华泰长城    ,763,-27,光大期货    ,348,-17
20140129,IF1403                        ,16,永安期货    ,846,-272,浙商期货    ,734,2,安信期货    ,341,9
20140129,IF1403                        ,17,上海东证    ,819,309,南华期货    ,726,4,长江期货    ,318,-1
20140129,IF1403                        ,18,信达期货    ,756,-17,中粮期货    ,726,-86,招商期货    ,264,-1
20140129,IF1403                        ,19,国海良时    ,679,152,国海良时    ,607,-16,中银国际    ,246,48
20140129,IF1403                        ,20,中钢期货    ,665,57,弘业期货    ,546,1,中信建投    ,243,-7
20140129,IF1406                        ,1,海通期货    ,1184,-114,永安期货    ,778,2,国泰君安    ,3400,-11
20140129,IF1406                        ,2,中信期货    ,965,145,海通期货    ,740,-32,招商期货    ,2313,-1
20140129,IF1406                        ,3,华西期货    ,765,-197,浙商期货    ,724,19,银河期货    ,1126,171
20140129,IF1406                        ,4,银河期货    ,635,94,光大期货    ,639,24,中信期货    ,908,-27
20140129,IF1406                        ,5,南华期货    ,387,-19,国泰君安    ,595,0,申银万国    ,720,-41
20140129,IF1406                        ,6,新湖期货    ,341,-1,方正中期    ,496,4,海通期货    ,562,190
20140129,IF1406                        ,7,经易期货    ,209,-66,华泰长城    ,489,0,华泰长城    ,245,-2
20140129,IF1406                        ,8,兴证期货    ,193,-17,广发期货    ,418,6,和融期货    ,242,0
20140129,IF1406                        ,9,华泰长城    ,184,-138,中信期货    ,410,-30,新湖期货    ,182,0
20140129,IF1406                        ,10,安信期货    ,182,85,银河期货    ,385,8,国都期货    ,167,1
20140129,IF1406                        ,11,申银万国    ,169,48,国投中谷    ,348,0,瑞达期货    ,165,1
20140129,IF1406                        ,12,永安期货    ,142,-220,北京首创    ,318,-1,北京首创    ,146,0
20140129,IF1406                        ,13,国泰君安    ,125,-116,中粮期货    ,298,5,永安期货    ,142,-20
20140129,IF1406                        ,14,光大期货    ,93,-7,国联期货    ,281,0,中银国际    ,142,0
20140129,IF1406                        ,15,浙商期货    ,76,-3,申银万国    ,233,18,东吴期货    ,116,0
20140129,IF1406                        ,16,国信期货    ,76,-80,鲁证期货    ,226,-2,格林大华    ,95,-5
20140129,IF1406                        ,17,上海东证    ,76,56,长江期货    ,226,2,广发期货    ,92,2
20140129,IF1406                        ,18,华联期货    ,71,-35,安信期货    ,225,3,平安期货    ,84,-3
20140129,IF1406                        ,19,长江期货    ,65,-68,南华期货    ,205,13,五矿期货    ,75,2
20140129,IF1406                        ,20,方正中期    ,55,-13,兴证期货    ,190,44,上海东证    ,73,-8
