交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140321,IF1403                        ,期货公司,143242,-296598,0,-15864,0,-15864
20140321,IF1403                        ,非期货公司,0,0,0,0,0,0
20140321,IF1404                        ,期货公司,2047140,677784,78275,1310,78275,1310
20140321,IF1404                        ,非期货公司,0,0,0,0,0,0
20140321,IF1406                        ,期货公司,109260,45308,27106,-625,27106,-625
20140321,IF1406                        ,非期货公司,0,0,0,0,0,0
20140321,IF1409                        ,期货公司,23642,8846,14140,-44,14140,-44
20140321,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140321,IF1403                        ,1,中信期货    ,18140,-10889,国泰君安    ,0,-1003,国泰君安    ,0,-977
20140321,IF1403                        ,2,海通期货    ,13590,-19526,南华期货    ,0,-420,南华期货    ,0,-217
20140321,IF1403                        ,3,华西期货    ,10495,-32084,永安期货    ,0,-792,永安期货    ,0,-205
20140321,IF1403                        ,4,上海东证    ,5628,160,一德期货    ,0,-45,一德期货    ,0,-87
20140321,IF1403                        ,5,新湖期货    ,5273,-14794,鲁证期货    ,0,-225,鲁证期货    ,0,-203
20140321,IF1403                        ,6,国泰君安    ,5266,-20439,光大期货    ,0,-263,光大期货    ,0,-331
20140321,IF1403                        ,7,光大期货    ,5208,-8639,东海期货    ,0,-88,东海期货    ,0,-103
20140321,IF1403                        ,8,南华期货    ,4649,-9769,浙商期货    ,0,-231,浙商期货    ,0,-352
20140321,IF1403                        ,9,华泰长城    ,4534,-11512,中粮期货    ,0,-51,中粮期货    ,0,-10
20140321,IF1403                        ,10,申银万国    ,4079,-11999,华泰长城    ,0,-537,华泰长城    ,0,-575
20140321,IF1403                        ,11,经易期货    ,3900,-5961,五矿期货    ,0,-257,五矿期货    ,0,-67
20140321,IF1403                        ,12,广发期货    ,3471,-9718,广发期货    ,0,-521,广发期货    ,0,-805
20140321,IF1403                        ,13,银河期货    ,3327,-4464,信达期货    ,0,-170,信达期货    ,0,-23
20140321,IF1403                        ,14,永安期货    ,3143,-6587,中信期货    ,0,-831,中信期货    ,0,-2029
20140321,IF1403                        ,15,上海中期    ,2955,-2021,金瑞期货    ,0,-217,金瑞期货    ,0,-84
20140321,IF1403                        ,16,中银国际    ,2638,6,新世纪     ,0,-22,新世纪     ,0,-6
20140321,IF1403                        ,17,国信期货    ,2292,-4447,经易期货    ,0,-20,经易期货    ,0,-48
20140321,IF1403                        ,18,浙商期货    ,2275,-5130,兴证期货    ,0,-193,兴证期货    ,0,-149
20140321,IF1403                        ,19,安信期货    ,1956,-1756,建信期货    ,0,-17,建信期货    ,0,-25
20140321,IF1403                        ,20,兴证期货    ,1955,-4929,平安期货    ,0,-29,平安期货    ,0,-13
20140321,IF1404                        ,1,海通期货    ,170841,47535,国泰君安    ,7146,-414,中信期货    ,12566,1590
20140321,IF1404                        ,2,兴证期货    ,132423,54346,中信期货    ,5538,247,海通期货    ,8740,1834
20140321,IF1404                        ,3,广发期货    ,119763,46236,银河期货    ,4691,238,国泰君安    ,5614,375
20140321,IF1404                        ,4,国泰君安    ,118983,38798,广发期货    ,4218,182,华泰长城    ,5166,-190
20140321,IF1404                        ,5,中信期货    ,100233,43024,永安期货    ,3131,341,广发期货    ,3634,-295
20140321,IF1404                        ,6,华泰长城    ,92283,23254,华泰长城    ,2837,823,财富期货    ,3092,148
20140321,IF1404                        ,7,申银万国    ,83240,30492,国投中谷    ,2831,-101,申银万国    ,1932,760
20140321,IF1404                        ,8,光大期货    ,63391,10980,申银万国    ,2663,-654,新湖期货    ,1900,-299
20140321,IF1404                        ,9,南华期货    ,55876,19064,海通期货    ,2542,419,南华期货    ,1887,30
20140321,IF1404                        ,10,永安期货    ,50423,16621,方正中期    ,2243,36,银河期货    ,1802,389
20140321,IF1404                        ,11,浙商期货    ,47478,20351,上海东证    ,2215,267,永安期货    ,1664,-1200
20140321,IF1404                        ,12,银河期货    ,43913,12684,光大期货    ,1936,-139,方正中期    ,1620,-249
20140321,IF1404                        ,13,方正中期    ,37243,10797,南华期货    ,1890,28,国信期货    ,1514,-205
20140321,IF1404                        ,14,上海东证    ,37106,8459,新湖期货    ,1844,650,上海东证    ,1503,837
20140321,IF1404                        ,15,经易期货    ,36803,8637,中投天琪    ,1743,682,光大期货    ,1465,-1078
20140321,IF1404                        ,16,大有期货    ,36742,20775,兴证期货    ,1678,-176,招商期货    ,1435,647
20140321,IF1404                        ,17,招商期货    ,36301,15441,鲁证期货    ,1671,142,兴证期货    ,1295,285
20140321,IF1404                        ,18,中信建投    ,33190,8221,瑞达期货    ,1437,132,国金期货    ,1134,572
20140321,IF1404                        ,19,鲁证期货    ,32976,12427,浙商期货    ,1343,-382,鲁证期货    ,1115,-220
