交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140325,IF1404                        ,期货公司,1424890,35092,77984,-196,77984,-196
20140325,IF1404                        ,非期货公司,0,0,0,0,0,0
20140325,IF1406                        ,期货公司,53704,-13636,26512,-292,26512,-292
20140325,IF1406                        ,非期货公司,0,0,0,0,0,0
20140325,IF1409                        ,期货公司,10362,-1374,14730,113,14730,113
20140325,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140325,IF1404                        ,1,海通期货    ,112663,1389,国泰君安    ,5813,-485,中信期货    ,10999,-146
20140325,IF1404                        ,2,国泰君安    ,92693,7080,中信期货    ,5745,-43,海通期货    ,9519,84
20140325,IF1404                        ,3,兴证期货    ,80258,-1100,银河期货    ,4976,-16,国泰君安    ,6157,-150
20140325,IF1404                        ,4,华泰长城    ,71733,2306,广发期货    ,4002,-94,华泰长城    ,5634,703
20140325,IF1404                        ,5,广发期货    ,62872,3375,申银万国    ,3189,235,广发期货    ,3327,-90
20140325,IF1404                        ,6,申银万国    ,61554,-246,永安期货    ,3084,289,财富期货    ,2947,36
20140325,IF1404                        ,7,中信期货    ,54529,-6602,国投中谷    ,2951,34,光大期货    ,2612,345
20140325,IF1404                        ,8,光大期货    ,50667,-3142,华泰长城    ,2929,130,国信期货    ,2053,338
20140325,IF1404                        ,9,南华期货    ,45272,3048,方正中期    ,2832,214,银河期货    ,1813,163
20140325,IF1404                        ,10,永安期货    ,36423,1803,安信期货    ,2522,308,上海东证    ,1571,-48
20140325,IF1404                        ,11,招商期货    ,34610,5317,海通期货    ,2396,-431,永安期货    ,1518,-358
20140325,IF1404                        ,12,经易期货    ,34389,1148,鲁证期货    ,2067,283,申银万国    ,1452,-67
20140325,IF1404                        ,13,浙商期货    ,33840,-510,光大期货    ,1963,-6,国金期货    ,1334,184
20140325,IF1404                        ,14,银河期货    ,31117,-570,南华期货    ,1870,-136,南华期货    ,1323,-746
20140325,IF1404                        ,15,方正中期    ,30550,-586,上海东证    ,1697,46,鲁证期货    ,1319,-7
20140325,IF1404                        ,16,鲁证期货    ,26804,2946,中投天琪    ,1660,-140,招商期货    ,1099,-222
20140325,IF1404                        ,17,华鑫期货    ,26231,-164,新湖期货    ,1590,-154,兴证期货    ,1080,124
20140325,IF1404                        ,18,上海东证    ,25096,1534,浙商期货    ,1482,414,中信建投    ,1064,66
20140325,IF1404                        ,19,中信建投    ,24734,-1611,瑞达期货    ,1405,11,浙商期货    ,899,78
20140325,IF1404                        ,20,中投天琪    ,23047,873,招商期货    ,1338,130,中钢期货    ,859,82
20140325,IF1406                        ,1,华西期货    ,7096,-1210,鲁证期货    ,1957,-6,中信期货    ,5478,197
20140325,IF1406                        ,2,海通期货    ,5888,-571,国泰君安    ,1804,-37,国泰君安    ,4240,-186
20140325,IF1406                        ,3,中信期货    ,4866,-1081,海通期货    ,1600,21,招商期货    ,2543,14
20140325,IF1406                        ,4,南华期货    ,2990,-596,信达期货    ,1203,-1,银河期货    ,1473,-241
20140325,IF1406                        ,5,华鑫期货    ,2465,-694,广发期货    ,1078,-35,方正中期    ,1380,69
20140325,IF1406                        ,6,华泰长城    ,1723,-211,永安期货    ,1015,0,光大期货    ,1145,83
20140325,IF1406                        ,7,经易期货    ,1686,281,申银万国    ,1010,-1,广发期货    ,1116,-54
20140325,IF1406                        ,8,申银万国    ,1672,-148,浙商期货    ,912,176,申银万国    ,740,-41
20140325,IF1406                        ,9,广发期货    ,1671,-413,方正中期    ,867,0,永安期货    ,717,-11
20140325,IF1406                        ,10,光大期货    ,1567,3,南华期货    ,831,5,中信建投    ,692,0
20140325,IF1406                        ,11,兴证期货    ,1398,-34,中国国际    ,818,7,华泰长城    ,472,16
20140325,IF1406                        ,12,国泰君安    ,1305,-1218,光大期货    ,802,6,宝城期货    ,460,-1
20140325,IF1406                        ,13,浙商期货    ,1049,186,华泰长城    ,774,-43,安信期货    ,424,2
20140325,IF1406                        ,14,宏源期货    ,995,62,中信期货    ,762,-15,上海东证    ,400,19
20140325,IF1406                        ,15,银河期货    ,978,-190,国投中谷    ,747,0,海通期货    ,388,21
20140325,IF1406                        ,16,招商期货    ,912,-1170,北京首创    ,642,23,国都期货    ,352,5
20140325,IF1406                        ,17,新湖期货    ,885,-521,招商期货    ,455,-20,长江期货    ,345,-12
20140325,IF1406                        ,18,国信期货    ,810,-135,瑞达期货    ,441,-4,北京首创    ,286,-20
20140325,IF1406                        ,19,上海东证    ,718,-207,华联期货    ,431,-4,国投中谷    ,226,2
20140325,IF1406                        ,20,中银国际    ,688,-73,银河期货    ,427,-7,渤海期货    ,223,-2
20140325,IF1409                        ,1,华泰长城    ,1122,556,海通期货    ,2888,-16,中信期货    ,3321,-1
20140325,IF1409                        ,2,中信期货    ,1011,-266,永安期货    ,955,28,南华期货    ,3183,-6
20140325,IF1409                        ,3,海通期货    ,986,-186,国泰君安    ,865,-7,国泰君安    ,2404,181
20140325,IF1409                        ,4,国泰君安    ,650,-53,方正中期    ,616,29,广发期货    ,1353,61
20140325,IF1409                        ,5,南华期货    ,522,226,广发期货    ,585,8,永安期货    ,543,-9
20140325,IF1409                        ,6,广发期货    ,425,93,中信期货    ,523,44,上海东证    ,431,8
20140325,IF1409                        ,7,申银万国    ,384,-296,华泰长城    ,504,11,宝城期货    ,425,-2
20140325,IF1409                        ,8,兴证期货    ,333,-105,招商期货    ,483,-31,申银万国    ,374,-75
20140325,IF1409                        ,9,新湖期货    ,324,-364,东海期货    ,348,-13,华泰长城    ,328,-5
20140325,IF1409                        ,10,银河期货    ,322,27,国投中谷    ,345,0,中钢期货    ,257,-44
20140325,IF1409                        ,11,华西期货    ,319,-32,银河期货    ,334,16,瑞达期货    ,181,-21
20140325,IF1409                        ,12,光大期货    ,241,-2,长江期货    ,316,-41,平安期货    ,179,1
20140325,IF1409                        ,13,浙商期货    ,227,-1,申银万国    ,301,15,财富期货    ,175,0
20140325,IF1409                        ,14,永安期货    ,213,-52,中粮期货    ,273,-4,海通期货    ,170,4
20140325,IF1409                        ,15,中银国际    ,199,18,南华期货    ,268,10,金友期货    ,140,0
20140325,IF1409                        ,16,长江期货    ,166,-49,浙商期货    ,231,30,中信建投    ,85,14
