交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140404,IF1404                        ,期货公司,1387280,9192,78278,1018,78278,1018
20140404,IF1404                        ,非期货公司,0,0,0,0,0,0
20140404,IF1406                        ,期货公司,58138,170,28809,-586,28809,-586
20140404,IF1406                        ,非期货公司,0,0,0,0,0,0
20140404,IF1409                        ,期货公司,14438,286,17755,31,17755,31
20140404,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140404,IF1404                        ,1,海通期货    ,102580,-11056,国泰君安    ,7029,-685,中信期货    ,12148,842
20140404,IF1404                        ,2,国泰君安    ,90681,9331,银河期货    ,5161,193,海通期货    ,10548,127
20140404,IF1404                        ,3,兴证期货    ,61870,7558,中信期货    ,4749,339,华泰长城    ,5984,568
20140404,IF1404                        ,4,申银万国    ,61093,2354,永安期货    ,4554,438,国泰君安    ,4694,478
20140404,IF1404                        ,5,华泰长城    ,55958,-8530,广发期货    ,3320,71,广发期货    ,3516,-189
20140404,IF1404                        ,6,光大期货    ,53685,1563,光大期货    ,3023,795,财富期货    ,2747,-144
20140404,IF1404                        ,7,中信期货    ,51195,-3750,浙商期货    ,2680,46,国信期货    ,2368,-67
20140404,IF1404                        ,8,广发期货    ,48712,-2712,南华期货    ,2656,739,上海东证    ,2092,1072
20140404,IF1404                        ,9,南华期货    ,44935,94,方正中期    ,2522,-372,银河期货    ,1930,202
20140404,IF1404                        ,10,永安期货    ,35099,1374,海通期货    ,2463,549,申银万国    ,1900,238
20140404,IF1404                        ,11,方正中期    ,34502,2017,申银万国    ,2101,-469,永安期货    ,1808,-23
20140404,IF1404                        ,12,银河期货    ,34169,1311,华泰长城    ,1736,-162,招商期货    ,1360,450
20140404,IF1404                        ,13,经易期货    ,32131,-2182,国投中谷    ,1670,-92,方正中期    ,1310,64
20140404,IF1404                        ,14,招商期货    ,29278,-2436,新湖期货    ,1625,295,光大期货    ,1224,-802
20140404,IF1404                        ,15,鲁证期货    ,28125,890,中粮期货    ,1537,232,鲁证期货    ,1160,-258
20140404,IF1404                        ,16,上海东证    ,25463,1854,安信期货    ,1486,-178,中信建投    ,1072,46
20140404,IF1404                        ,17,华鑫期货    ,25208,1049,上海东证    ,1402,-381,国金期货    ,1034,39
20140404,IF1404                        ,18,中信建投    ,24493,210,兴证期货    ,1222,-283,浙江中大    ,1023,-5
20140404,IF1404                        ,19,中投天琪    ,24247,1011,中信建投    ,1211,-57,新湖期货    ,939,-151
20140404,IF1404                        ,20,浙商期货    ,23227,-523,信达期货    ,1170,171,南华期货    ,892,-192
