交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140429,IF1405                        ,期货公司,1105414,-145352,70995,-4574,70995,-4574
20140429,IF1405                        ,非期货公司,0,0,0,0,0,0
20140429,IF1406                        ,期货公司,62942,-17790,40398,395,40398,395
20140429,IF1406                        ,非期货公司,0,0,0,0,0,0
20140429,IF1409                        ,期货公司,13208,-7338,22077,-159,22077,-159
20140429,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140429,IF1405                        ,1,海通期货    ,81145,-13975,国泰君安    ,5707,-916,中信期货    ,10672,132
20140429,IF1405                        ,2,国泰君安    ,71440,-7031,永安期货    ,4967,-450,海通期货    ,9287,-128
20140429,IF1405                        ,3,光大期货    ,50240,343,银河期货    ,4336,-139,广发期货    ,5191,-479
20140429,IF1405                        ,4,兴证期货    ,45926,-11361,海通期货    ,4307,-21,华泰长城    ,4235,-440
20140429,IF1405                        ,5,广发期货    ,45512,-14811,中信期货    ,3920,-302,财富期货    ,4103,535
20140429,IF1405                        ,6,南华期货    ,44936,2083,方正中期    ,2821,415,国泰君安    ,2529,-1208
20140429,IF1405                        ,7,中信期货    ,44890,-17075,申银万国    ,2452,-206,银河期货    ,1921,-172
20140429,IF1405                        ,8,申银万国    ,42340,2183,光大期货    ,2249,-228,鲁证期货    ,1673,-78
20140429,IF1405                        ,9,华泰长城    ,41241,-10641,浙商期货    ,1781,-113,安信期货    ,1609,484
20140429,IF1405                        ,10,经易期货    ,31070,-2599,鲁证期货    ,1722,34,国信期货    ,1608,117
20140429,IF1405                        ,11,银河期货    ,28413,-2141,招商期货    ,1711,-109,申银万国    ,1549,22
20140429,IF1405                        ,12,招商期货    ,27331,2595,广发期货    ,1691,-305,永安期货    ,1490,-139
20140429,IF1405                        ,13,永安期货    ,25713,-4693,南华期货    ,1614,-516,光大期货    ,1362,-232
20140429,IF1405                        ,14,方正中期    ,22040,-4741,上海东证    ,1586,-84,兴证期货    ,1298,-155
20140429,IF1405                        ,15,鲁证期货    ,21178,-1948,华泰长城    ,1484,-441,中信建投    ,1057,-106
20140429,IF1405                        ,16,中信建投    ,20535,395,中国国际    ,1383,140,上海东证    ,1036,-743
20140429,IF1405                        ,17,浙江中大    ,19614,-3317,兴证期货    ,1369,-29,浙江中大    ,923,67
20140429,IF1405                        ,18,上海东证    ,17933,-8763,中信建投    ,1347,-83,南华期货    ,897,-200
20140429,IF1405                        ,19,国信期货    ,17326,1074,国投中谷    ,1190,-10,平安期货    ,889,160
20140429,IF1405                        ,20,上海中期    ,16622,-1115,国信期货    ,1118,-577,中钢期货    ,844,36
