交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140724,IF1408                        ,期货公司,1725518,509056,105592,4869,105592,4869
20140724,IF1408                        ,非期货公司,0,0,0,0,0,0
20140724,IF1409                        ,期货公司,146138,58706,54612,2378,54612,2378
20140724,IF1409                        ,非期货公司,0,0,0,0,0,0
20140724,IF1412                        ,期货公司,18578,7158,10653,64,10653,64
20140724,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140724,IF1408                        ,1,海通期货    ,134351,39741,中信期货    ,9129,2489,海通期货    ,13876,-517
20140724,IF1408                        ,2,兴证期货    ,98018,36153,国泰君安    ,6595,352,中信期货    ,13267,892
20140724,IF1408                        ,3,中信期货    ,88341,37586,银河期货    ,5264,-176,国泰君安    ,6548,831
20140724,IF1408                        ,4,国泰君安    ,82777,15241,永安期货    ,4508,201,广发期货    ,6252,781
20140724,IF1408                        ,5,华泰长城    ,69142,26269,海通期货    ,3964,-404,申银万国    ,3247,148
20140724,IF1408                        ,6,光大期货    ,64653,22318,广发期货    ,3739,419,财富期货    ,3198,-200
20140724,IF1408                        ,7,广发期货    ,63878,23456,安信期货    ,3472,-1603,兴证期货    ,2977,551
20140724,IF1408                        ,8,南华期货    ,56611,12780,光大期货    ,3235,719,华泰长城    ,2707,-134
20140724,IF1408                        ,9,申银万国    ,52875,11908,鲁证期货    ,2927,-143,方正中期    ,2673,16
20140724,IF1408                        ,10,银河期货    ,45636,8119,华泰长城    ,2792,632,光大期货    ,2481,670
20140724,IF1408                        ,11,招商期货    ,42379,12116,浙商期货    ,2728,1137,中银国际    ,2233,73
20140724,IF1408                        ,12,方正中期    ,40803,5480,南华期货    ,2676,83,永安期货    ,2200,276
20140724,IF1408                        ,13,经易期货    ,38518,6069,申银万国    ,2595,-393,银河期货    ,2090,-240
20140724,IF1408                        ,14,永安期货    ,34973,12153,方正中期    ,2323,-147,中信建投    ,2011,482
20140724,IF1408                        ,15,浙江中大    ,31627,13992,上海东证    ,2263,-434,国信期货    ,2003,240
20140724,IF1408                        ,16,鲁证期货    ,31532,14848,新湖期货    ,2151,-33,鲁证期货    ,1908,367
20140724,IF1408                        ,17,瑞达期货    ,29423,6319,中粮期货    ,2080,667,上海东证    ,1735,-25
20140724,IF1408                        ,18,上海东证    ,29381,8948,北京首创    ,1993,-18,中钢期货    ,1586,44
20140724,IF1408                        ,19,中信建投    ,28810,7557,中国国际    ,1955,89,南华期货    ,1551,-6
20140724,IF1408                        ,20,华鑫期货    ,27549,5893,瑞达期货    ,1798,-64,招商期货    ,1551,319
20140724,IF1409                        ,1,海通期货    ,16967,7426,中信期货    ,4320,1296,中信期货    ,12934,28
20140724,IF1409                        ,2,华西期货    ,10302,5761,海通期货    ,3989,-28,国泰君安    ,6124,159
20140724,IF1409                        ,3,南华期货    ,9794,2639,国泰君安    ,3900,-1884,南华期货    ,4789,112
20140724,IF1409                        ,4,中信期货    ,9794,4385,永安期货    ,3094,66,华泰长城    ,4623,417
20140724,IF1409                        ,5,招商期货    ,8909,3307,银河期货    ,2136,-54,银河期货    ,2441,-58
20140724,IF1409                        ,6,国泰君安    ,7881,4200,申银万国    ,1940,676,永安期货    ,2191,80
20140724,IF1409                        ,7,浙江中大    ,6958,3619,广发期货    ,1935,514,广发期货    ,1935,143
20140724,IF1409                        ,8,光大期货    ,4961,1824,浙商期货    ,1909,666,海通期货    ,1897,153
20140724,IF1409                        ,9,申银万国    ,4057,-531,光大期货    ,1790,358,招商期货    ,1509,110
20140724,IF1409                        ,10,华泰长城    ,3735,1339,方正中期    ,1756,472,上海东证    ,1313,116
20140724,IF1409                        ,11,兴证期货    ,3311,1333,中国国际    ,1434,-202,光大期货    ,1305,13
20140724,IF1409                        ,12,广发期货    ,3247,1467,南华期货    ,1232,14,中信建投    ,999,127
20140724,IF1409                        ,13,上海东证    ,3055,1305,中粮期货    ,1215,9,国投中谷    ,985,29
20140724,IF1409                        ,14,浙商期货    ,2795,1602,大地期货    ,1089,202,长江期货    ,983,36
20140724,IF1409                        ,15,国信期货    ,2560,704,国投中谷    ,1086,81,申银万国    ,923,201
20140724,IF1409                        ,16,经易期货    ,2497,1189,兴证期货    ,1076,273,国信期货    ,828,132
20140724,IF1409                        ,17,华鑫期货    ,2441,273,华泰长城    ,1075,44,新湖期货    ,685,8
20140724,IF1409                        ,18,上海中财    ,2406,691,长江期货    ,927,146,安信期货    ,561,41
20140724,IF1409                        ,19,方正中期    ,1978,464,北京首创    ,899,168,广州期货    ,559,42
20140724,IF1409                        ,20,永安期货    ,1952,758,鲁证期货    ,894,33,平安期货    ,474,-13
20140724,IF1412                        ,1,海通期货    ,2928,736,中信期货    ,1046,16,中信期货    ,3537,-7
20140724,IF1412                        ,2,中信期货    ,2597,1002,浙商期货    ,945,0,招商期货    ,1513,27
20140724,IF1412                        ,3,南华期货    ,1950,961,海通期货    ,791,-274,国泰君安    ,1205,28
20140724,IF1412                        ,4,招商期货    ,1555,846,申银万国    ,728,222,银河期货    ,491,8
20140724,IF1412                        ,5,华西期货    ,1516,962,永安期货    ,527,-15,华泰长城    ,471,26
20140724,IF1412                        ,6,兴证期货    ,555,249,国泰君安    ,483,0,南华期货    ,424,2
20140724,IF1412                        ,7,申银万国    ,544,169,银河期货    ,477,37,方正中期    ,420,1
20140724,IF1412                        ,8,华泰长城    ,487,220,招商期货    ,440,68,海通期货    ,259,-2
20140724,IF1412                        ,9,方正中期    ,450,249,方正中期    ,428,-13,永安期货    ,196,1
20140724,IF1412                        ,10,国泰君安    ,438,112,宝城期货    ,414,-5,浙江中大    ,185,-12
20140724,IF1412                        ,11,浙商期货    ,385,92,大地期货    ,356,-1,中投天琪    ,160,-5
20140724,IF1412                        ,12,银河期货    ,351,115,东兴期货    ,310,2,新湖期货    ,157,9
20140724,IF1412                        ,13,中融汇信    ,327,221,国投中谷    ,304,0,五矿期货    ,123,2
20140724,IF1412                        ,14,浙江中大    ,313,197,南华期货    ,191,42,广发期货    ,98,-11
20140724,IF1412                        ,15,大有期货    ,244,164,广发期货    ,170,-20,申银万国    ,96,-12
20140724,IF1412                        ,16,国信期货    ,241,63,华泰长城    ,162,21,浙商期货    ,95,-17
20140724,IF1412                        ,17,广发期货    ,215,76,国信期货    ,151,22,兴证期货    ,90,-62
20140724,IF1412                        ,18,中银国际    ,201,89,中粮期货    ,142,0,东吴期货    ,79,4
20140724,IF1412                        ,19,新湖期货    ,181,27,安信期货    ,130,-9,中信建投    ,72,-11
20140724,IF1412                        ,20,金友期货    ,174,99,金友期货    ,115,-2,国信期货    ,66,15
