交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140806,IF1408                        ,期货公司,1730270,69822,105568,-4734,105568,-4734
20140806,IF1408                        ,非期货公司,0,0,0,0,0,0
20140806,IF1409                        ,期货公司,175376,32826,60263,878,60263,878
20140806,IF1409                        ,非期货公司,0,0,0,0,0,0
20140806,IF1412                        ,期货公司,22986,1652,17626,252,17626,252
20140806,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140806,IF1408                        ,1,海通期货    ,139995,-35088,中信期货    ,8772,-644,海通期货    ,19029,-756
20140806,IF1408                        ,2,广发期货    ,97356,26382,国泰君安    ,7402,651,中信期货    ,14545,598
20140806,IF1408                        ,3,光大期货    ,81698,27846,银河期货    ,5035,-223,广发期货    ,8432,-232
20140806,IF1408                        ,4,国泰君安    ,79910,-4791,鲁证期货    ,4402,-127,国泰君安    ,7209,-225
20140806,IF1408                        ,5,中信期货    ,66504,2825,光大期货    ,3873,547,华泰长城    ,3585,391
20140806,IF1408                        ,6,银河期货    ,62699,9594,永安期货    ,3734,-1551,兴证期货    ,3057,-538
20140806,IF1408                        ,7,华泰长城    ,61989,2441,方正中期    ,3664,457,财富期货    ,2949,-69
20140806,IF1408                        ,8,南华期货    ,58795,-1652,海通期货    ,3581,-329,申银万国    ,2551,-371
20140806,IF1408                        ,9,兴证期货    ,58430,-13764,广发期货    ,3005,320,上海东证    ,2237,-21
20140806,IF1408                        ,10,申银万国    ,58252,5674,申银万国    ,2842,-25,永安期货    ,2071,-367
20140806,IF1408                        ,11,招商期货    ,43765,3243,华泰长城    ,2683,-72,银河期货    ,2020,124
20140806,IF1408                        ,12,方正中期    ,38510,-1612,上海东证    ,2658,753,中信建投    ,1863,-350
20140806,IF1408                        ,13,经易期货    ,34344,544,中国国际    ,2469,137,平安期货    ,1846,-29
20140806,IF1408                        ,14,上海东证    ,33096,1460,浙商期货    ,2373,-281,国信期货    ,1796,58
20140806,IF1408                        ,15,瑞达期货    ,32148,3802,新湖期货    ,2015,68,瑞达期货    ,1748,-143
20140806,IF1408                        ,16,中信建投    ,32096,-1052,瑞达期货    ,1989,25,中银国际    ,1587,-59
20140806,IF1408                        ,17,永安期货    ,30148,-311,南华期货    ,1915,-70,光大期货    ,1453,-1341
20140806,IF1408                        ,18,中投天琪    ,29326,10209,中粮期货    ,1826,-513,鲁证期货    ,1419,-64
20140806,IF1408                        ,19,大有期货    ,27189,226,北京首创    ,1610,-101,格林大华    ,1381,312
20140806,IF1408                        ,20,鲁证期货    ,26827,1636,一德期货    ,1408,-267,南华期货    ,1370,-247
20140806,IF1409                        ,1,中信期货    ,17879,5579,国泰君安    ,4388,35,中信期货    ,12766,792
20140806,IF1409                        ,2,海通期货    ,16970,1971,海通期货    ,3197,78,国泰君安    ,5896,-226
20140806,IF1409                        ,3,华西期货    ,11851,-565,中信期货    ,2926,-1123,南华期货    ,5107,-17
20140806,IF1409                        ,4,南华期货    ,9512,1199,永安期货    ,2838,-76,广发期货    ,4896,409
20140806,IF1409                        ,5,国泰君安    ,6485,935,银河期货    ,2289,70,海通期货    ,4744,-302
20140806,IF1409                        ,6,招商期货    ,6481,272,方正中期    ,2264,454,永安期货    ,2845,17
20140806,IF1409                        ,7,光大期货    ,5549,-853,广发期货    ,2168,76,银河期货    ,2644,19
20140806,IF1409                        ,8,浙江中大    ,5475,1498,浙商期货    ,1745,-608,华泰长城    ,1383,-799
20140806,IF1409                        ,9,广发期货    ,4467,1654,华泰长城    ,1582,106,光大期货    ,1311,-39
20140806,IF1409                        ,10,华泰长城    ,4341,1470,光大期货    ,1566,88,上海东证    ,1216,-17
20140806,IF1409                        ,11,银河期货    ,4125,849,招商期货    ,1508,78,兴证期货    ,1154,20
20140806,IF1409                        ,12,申银万国    ,4060,-1109,鲁证期货    ,1501,-57,中信建投    ,1136,126
20140806,IF1409                        ,13,上海东证    ,3841,438,东兴期货    ,1489,729,国投中谷    ,1043,-3
20140806,IF1409                        ,14,浙商期货    ,3803,1979,中国国际    ,1423,15,广州期货    ,917,6
20140806,IF1409                        ,15,永安期货    ,3739,2278,上海东证    ,1401,312,财富期货    ,898,92
20140806,IF1409                        ,16,经易期货    ,3645,104,南华期货    ,1277,-95,浙商期货    ,891,583
20140806,IF1409                        ,17,华鑫期货    ,3637,670,国投中谷    ,1244,-75,招商期货    ,851,-5
