交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140922,IF1410                        ,期货公司,1627478,-48506,130900,-2663,130900,-2663
20140922,IF1410                        ,非期货公司,0,0,0,0,0,0
20140922,IF1412                        ,期货公司,85060,18680,31072,-963,31072,-963
20140922,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140922,IF1410                        ,1,海通期货    ,132066,-440,中信期货    ,10480,-2573,中信期货    ,16992,-1312
20140922,IF1410                        ,2,中信期货    ,96543,13579,国泰君安    ,9188,-1087,海通期货    ,16425,-842
20140922,IF1410                        ,3,国泰君安    ,76535,-3051,银河期货    ,6199,215,广发期货    ,8757,259
20140922,IF1410                        ,4,兴证期货    ,67639,-3496,永安期货    ,6084,-1469,国泰君安    ,7153,-234
20140922,IF1410                        ,5,广发期货    ,64598,20004,海通期货    ,5693,-1920,南华期货    ,5605,-140
20140922,IF1410                        ,6,申银万国    ,59705,-14668,方正中期    ,4142,-828,光大期货    ,5462,462
20140922,IF1410                        ,7,南华期货    ,59070,1544,申银万国    ,4072,1765,银河期货    ,5096,12
20140922,IF1410                        ,8,华泰长城    ,58960,-1517,光大期货    ,3988,-695,永安期货    ,4361,-251
20140922,IF1410                        ,9,光大期货    ,55863,-5133,华泰长城    ,3739,838,财富期货    ,4357,-117
20140922,IF1410                        ,10,经易期货    ,40104,659,广发期货    ,3501,343,上海东证    ,3864,909
20140922,IF1410                        ,11,银河期货    ,39269,-8928,中粮期货    ,3380,-162,东吴期货    ,3377,-101
20140922,IF1410                        ,12,大有期货    ,37409,3682,浙商期货    ,3293,132,华泰长城    ,3205,-528
20140922,IF1410                        ,13,方正中期    ,35923,-12550,瑞达期货    ,2915,290,兴证期货    ,2877,-411
20140922,IF1410                        ,14,招商期货    ,34540,-1077,倍特期货    ,2902,108,鲁证期货    ,2827,208
20140922,IF1410                        ,15,上海东证    ,31689,-9387,鲁证期货    ,2882,129,申银万国    ,2648,-156
20140922,IF1410                        ,16,永安期货    ,30488,1209,中国国际    ,2742,-96,中信建投    ,2311,-255
20140922,IF1410                        ,17,华鑫期货    ,28147,4689,长江期货    ,2516,531,格林大华    ,2244,177
20140922,IF1410                        ,18,中信建投    ,26669,-4712,招商期货    ,2504,1222,方正中期    ,2021,801
20140922,IF1410                        ,19,瑞达期货    ,26615,-3513,新湖期货    ,2432,-1229,锦泰期货    ,1913,688
20140922,IF1410                        ,20,中投天琪    ,26463,3716,南华期货    ,2337,178,国信期货    ,1602,-378
20140922,IF1412                        ,1,中信期货    ,9934,3508,国泰君安    ,3968,99,中信期货    ,10238,-265
20140922,IF1412                        ,2,华西期货    ,7583,1647,中信期货    ,3280,-567,华泰长城    ,4240,-83
20140922,IF1412                        ,3,海通期货    ,7086,2101,海通期货    ,2426,745,广发期货    ,3471,-54
20140922,IF1412                        ,4,南华期货    ,6510,2233,永安期货    ,1567,-109,国泰君安    ,1563,-89
20140922,IF1412                        ,5,招商期货    ,4884,2139,银河期货    ,1409,176,银河期货    ,1188,61
20140922,IF1412                        ,6,银河期货    ,4351,2259,光大期货    ,1403,282,招商期货    ,954,-30
20140922,IF1412                        ,7,光大期货    ,3398,269,申银万国    ,1368,-94,南华期货    ,817,66
20140922,IF1412                        ,8,经易期货    ,2823,687,鲁证期货    ,868,133,永安期货    ,624,89
20140922,IF1412                        ,9,国泰君安    ,2282,211,北京首创    ,771,-38,长江期货    ,602,31
20140922,IF1412                        ,10,宏源期货    ,2211,282,南华期货    ,708,-24,安信期货    ,511,-31
20140922,IF1412                        ,11,华鑫期货    ,2189,211,方正中期    ,680,121,海通期货    ,407,-13
20140922,IF1412                        ,12,上海中财    ,2059,558,广发期货    ,584,-40,新湖期货    ,382,-19
20140922,IF1412                        ,13,华泰长城    ,1580,709,浙商期货    ,562,70,方正中期    ,363,-24
20140922,IF1412                        ,14,中融汇信    ,1549,365,招商期货    ,552,-728,光大期货    ,308,-116
20140922,IF1412                        ,15,申银万国    ,1538,261,国投中谷    ,525,-357,平安期货    ,275,-14
20140922,IF1412                        ,16,兴证期货    ,1503,66,中信建投    ,486,8,中投天琪    ,264,-7
20140922,IF1412                        ,17,方正中期    ,1317,27,格林大华    ,481,-231,中信建投    ,259,-35
20140922,IF1412                        ,18,广发期货    ,1292,156,兴证期货    ,455,140,浙商期货    ,235,-2
20140922,IF1412                        ,19,国信期货    ,1256,301,华泰长城    ,452,-31,宝城期货    ,212,44
20140922,IF1412                        ,20,鲁证期货    ,1112,311,瑞达期货    ,442,1,国信期货    ,211,5
