交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141010,IF1410                        ,期货公司,1429064,141700,121314,-9555,121314,-9555
20141010,IF1410                        ,非期货公司,0,0,0,0,0,0
20141010,IF1411                        ,期货公司,44574,7506,11227,2896,11227,2896
20141010,IF1411                        ,非期货公司,0,0,0,0,0,0
20141010,IF1412                        ,期货公司,66546,-5056,37048,-1321,37048,-1321
20141010,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141010,IF1410                        ,1,海通期货    ,102251,4923,国泰君安    ,10047,-721,海通期货    ,17107,-1457
20141010,IF1410                        ,2,国泰君安    ,71541,8584,中信期货    ,9063,-614,中信期货    ,12905,-1191
20141010,IF1410                        ,3,光大期货    ,69428,4631,银河期货    ,5463,-545,国泰君安    ,9741,-876
20141010,IF1410                        ,4,中信期货    ,63993,6694,永安期货    ,4841,-1671,银河期货    ,6873,374
20141010,IF1410                        ,5,南华期货    ,57585,4159,海通期货    ,4405,-546,广发期货    ,6738,-1236
20141010,IF1410                        ,6,兴证期货    ,52907,5229,光大期货    ,4393,64,南华期货    ,5861,-94
20141010,IF1410                        ,7,广发期货    ,50713,6955,方正中期    ,4311,576,光大期货    ,5036,-456
20141010,IF1410                        ,8,华泰长城    ,50268,10067,中粮期货    ,3931,419,财富期货    ,4537,-419
20141010,IF1410                        ,9,申银万国    ,47676,4625,南华期货    ,3613,-215,永安期货    ,4018,-194
20141010,IF1410                        ,10,方正中期    ,37361,4156,广发期货    ,2992,-525,兴证期货    ,3779,-78
20141010,IF1410                        ,11,五矿期货    ,36965,3785,浙商期货    ,2964,-215,华泰长城    ,2940,-437
20141010,IF1410                        ,12,上海东证    ,36358,4624,中国国际    ,2964,241,上海东证    ,2499,-116
20141010,IF1410                        ,13,银河期货    ,36167,-5155,申银万国    ,2946,-299,申银万国    ,2448,207
20141010,IF1410                        ,14,华鑫期货    ,35941,5787,鲁证期货    ,2934,-306,中信建投    ,2249,-733
20141010,IF1410                        ,15,招商期货    ,34463,7339,华泰长城    ,2804,-205,招商期货    ,2180,25
20141010,IF1410                        ,16,中信建投    ,34203,7766,瑞达期货    ,2737,27,格林大华    ,2017,-35
20141010,IF1410                        ,17,大有期货    ,26278,-142,新湖期货    ,2601,-138,中银国际    ,2012,-197
20141010,IF1410                        ,18,瑞达期货    ,24433,3767,倍特期货    ,2429,38,鲁证期货    ,1517,-61
20141010,IF1410                        ,19,永安期货    ,22827,3228,大地期货    ,2106,-73,方正中期    ,1500,-187
20141010,IF1410                        ,20,长江期货    ,22199,5500,长江期货    ,1903,-181,国信期货    ,1480,69
20141010,IF1411                        ,1,南华期货    ,3682,1290,申银万国    ,1191,1017,东吴期货    ,1926,341
20141010,IF1411                        ,2,华西期货    ,3593,637,银河期货    ,1113,300,广发期货    ,1907,633
20141010,IF1411                        ,3,中信期货    ,3509,-171,中信期货    ,829,117,中信期货    ,1090,294
20141010,IF1411                        ,4,浙江中大    ,2951,42,国泰君安    ,806,52,南华期货    ,610,483
20141010,IF1411                        ,5,海通期货    ,2582,-647,永安期货    ,743,596,海通期货    ,478,40
20141010,IF1411                        ,6,招商期货    ,2315,533,海通期货    ,727,28,中银国际    ,431,142
20141010,IF1411                        ,7,广发期货    ,1686,746,方正中期    ,645,229,金瑞期货    ,408,98
