交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141014,IF1410                        ,期货公司,1439712,2284,91676,-19160,91676,-19160
20141014,IF1410                        ,非期货公司,0,0,0,0,0,0
20141014,IF1411                        ,期货公司,171916,73550,32322,11997,32322,11997
20141014,IF1411                        ,非期货公司,0,0,0,0,0,0
20141014,IF1412                        ,期货公司,73972,-3806,39252,1779,39252,1779
20141014,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141014,IF1410                        ,1,海通期货    ,105090,-5356,中信期货    ,8131,-152,海通期货    ,12258,-2432
20141014,IF1410                        ,2,国泰君安    ,66885,999,国泰君安    ,6568,-1799,中信期货    ,10589,-1669
20141014,IF1410                        ,3,光大期货    ,65447,-10556,银河期货    ,4572,-139,国泰君安    ,6571,-1658
20141014,IF1410                        ,4,中信期货    ,61347,-3684,安信期货    ,3508,2751,银河期货    ,4259,-1415
20141014,IF1410                        ,5,南华期货    ,58805,-1929,方正中期    ,3468,-30,南华期货    ,4220,-1655
20141014,IF1410                        ,6,兴证期货    ,51531,-3300,光大期货    ,3383,-1272,光大期货    ,4186,225
20141014,IF1410                        ,7,申银万国    ,50856,3268,永安期货    ,3342,-933,广发期货    ,4040,-891
20141014,IF1410                        ,8,华泰长城    ,48190,-2883,华泰长城    ,2580,-356,财富期货    ,3071,-1530
20141014,IF1410                        ,9,广发期货    ,41996,-8470,中国国际    ,2564,-636,申银万国    ,2768,-6
20141014,IF1410                        ,10,五矿期货    ,40031,-5716,广发期货    ,2544,267,中信建投    ,2510,75
20141014,IF1410                        ,11,方正中期    ,36644,-1214,申银万国    ,2514,-384,上海东证    ,2464,-1194
20141014,IF1410                        ,12,上海东证    ,36405,2647,海通期货    ,2474,-1584,永安期货    ,2254,-1911
20141014,IF1410                        ,13,银河期货    ,33466,-4677,鲁证期货    ,2336,-338,华泰长城    ,2019,-458
20141014,IF1410                        ,14,华鑫期货    ,33452,-2299,瑞达期货    ,2309,-485,兴证期货    ,1840,-178
20141014,IF1410                        ,15,招商期货    ,32984,1079,长江期货    ,2111,153,方正中期    ,1629,-554
20141014,IF1410                        ,16,中信建投    ,32248,6810,中粮期货    ,2007,-1201,格林大华    ,1556,-336
20141014,IF1410                        ,17,瑞达期货    ,31964,7726,新湖期货    ,2001,6,鲁证期货    ,1315,-75
20141014,IF1410                        ,18,永安期货    ,27568,5343,北京首创    ,1837,14,招商期货    ,1257,-172
20141014,IF1410                        ,19,大有期货    ,25264,-637,南华期货    ,1833,-1516,锦泰期货    ,1172,434
