交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141017,IF1410                        ,期货公司,190868,-679180,0,-26584,0,-26584
20141017,IF1410                        ,非期货公司,0,0,0,0,0,0
20141017,IF1411                        ,期货公司,1735680,323306,120024,25809,120024,25809
20141017,IF1411                        ,非期货公司,0,0,0,0,0,0
20141017,IF1412                        ,期货公司,118938,12602,38131,-1243,38131,-1243
20141017,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141017,IF1410                        ,1,海通期货    ,16786,-44548,国泰君安    ,0,-1990,国泰君安    ,0,-1753
20141017,IF1410                        ,2,中信期货    ,16095,-32897,南华期货    ,0,-918,南华期货    ,0,-539
20141017,IF1410                        ,3,华西期货    ,12260,-35783,永安期货    ,0,-643,永安期货    ,0,-486
20141017,IF1410                        ,4,南华期货    ,11867,-33531,一德期货    ,0,-44,一德期货    ,0,-25
20141017,IF1410                        ,5,申银万国    ,9907,-16577,鲁证期货    ,0,-209,鲁证期货    ,0,-301
20141017,IF1410                        ,6,国泰君安    ,8303,-27265,光大期货    ,0,-344,光大期货    ,0,-1624
20141017,IF1410                        ,7,上海东证    ,6683,-14295,东海期货    ,0,-70,东海期货    ,0,-399
20141017,IF1410                        ,8,光大期货    ,6341,-22695,浙商期货    ,0,-215,浙商期货    ,0,-121
20141017,IF1410                        ,9,方正中期    ,6050,-17058,中粮期货    ,0,-387,中粮期货    ,0,-38
20141017,IF1410                        ,10,中信建投    ,5472,-19603,华泰长城    ,0,-410,华泰长城    ,0,-534
20141017,IF1410                        ,11,五矿期货    ,4972,-21595,五矿期货    ,0,-290,五矿期货    ,0,-409
20141017,IF1410                        ,12,银河期货    ,3832,-21803,广发期货    ,0,-554,广发期货    ,0,-1005
20141017,IF1410                        ,13,华泰长城    ,3605,-17076,信达期货    ,0,-54,信达期货    ,0,-47
20141017,IF1410                        ,14,中融汇信    ,3569,-16103,中信期货    ,0,-1440,中信期货    ,0,-3567
20141017,IF1410                        ,15,广发期货    ,3533,-18830,金瑞期货    ,0,-67,金瑞期货    ,0,-45
20141017,IF1410                        ,16,招商期货    ,3505,-14612,新世纪     ,0,-59,新世纪     ,0,-28
20141017,IF1410                        ,17,安信期货    ,3307,-3687,兴证期货    ,0,-119,兴证期货    ,0,-758
20141017,IF1410                        ,18,宏源期货    ,2904,-15397,建信期货    ,0,-22,建信期货    ,0,-44
20141017,IF1410                        ,19,兴证期货    ,2565,-18547,平安期货    ,0,-20,平安期货    ,0,-162
20141017,IF1410                        ,20,鲁证期货    ,2309,-9201,格林大华    ,0,-248,格林大华    ,0,-147
20141017,IF1411                        ,1,海通期货    ,138046,16161,中信期货    ,11690,2834,中信期货    ,15114,5137
20141017,IF1411                        ,2,国泰君安    ,86922,20244,国泰君安    ,8758,1650,海通期货    ,13738,4477
20141017,IF1411                        ,3,兴证期货    ,79196,18293,银河期货    ,6731,2861,国泰君安    ,8316,2088
20141017,IF1411                        ,4,中信期货    ,74137,6445,永安期货    ,5571,1420,广发期货    ,6647,965
20141017,IF1411                        ,5,南华期货    ,71348,15894,海通期货    ,4603,1087,银河期货    ,6645,1172
20141017,IF1411                        ,6,光大期货    ,70080,12832,光大期货    ,3831,635,南华期货    ,6492,410
20141017,IF1411                        ,7,申银万国    ,63851,15004,中国国际    ,3563,1736,光大期货    ,5290,2165
20141017,IF1411                        ,8,华泰长城    ,58943,475,方正中期    ,3522,1060,永安期货    ,4152,274
20141017,IF1411                        ,9,五矿期货    ,55051,14741,上海东证    ,3498,1335,财富期货    ,3930,620
20141017,IF1411                        ,10,银河期货    ,48857,5390,华泰长城    ,3497,467,兴证期货    ,3527,1827
20141017,IF1411                        ,11,招商期货    ,48333,13959,广发期货    ,3039,313,申银万国    ,2922,843
20141017,IF1411                        ,12,广发期货    ,45936,-2644,浙商期货    ,2884,1132,华泰长城    ,2513,446
20141017,IF1411                        ,13,上海东证    ,45761,12791,中粮期货    ,2872,263,东吴期货    ,2291,-39
20141017,IF1411                        ,14,方正中期    ,41746,11969,南华期货    ,2829,346,上海东证    ,2068,-90
20141017,IF1411                        ,15,瑞达期货    ,37465,11235,瑞达期货    ,2640,966,中信建投    ,1968,183
20141017,IF1411                        ,16,中信建投    ,35172,6011,申银万国    ,2622,-76,中银国际    ,1874,134
20141017,IF1411                        ,17,华鑫期货    ,35082,5045,宏源期货    ,2396,170,格林大华    ,1783,367
20141017,IF1411                        ,18,永安期货    ,31666,8061,新湖期货    ,2282,1275,方正中期    ,1712,790
20141017,IF1411                        ,19,长江期货    ,29901,11106,倍特期货    ,2280,-110,国信期货    ,1531,184
20141017,IF1411                        ,20,国信期货    ,26665,4992,鲁证期货    ,2175,277,鲁证期货    ,1484,118
20141017,IF1412                        ,1,中信期货    ,16157,2797,国泰君安    ,6355,274,中信期货    ,12030,-472
20141017,IF1412                        ,2,华西期货    ,11257,717,海通期货    ,2887,275,广发期货    ,3455,-169
20141017,IF1412                        ,3,海通期货    ,10582,153,中信期货    ,2210,-1855,华泰长城    ,3335,-26
20141017,IF1412                        ,4,光大期货    ,6320,2645,永安期货    ,2115,52,国泰君安    ,1759,-174
20141017,IF1412                        ,5,南华期货    ,4649,-1433,光大期货    ,1582,-38,银河期货    ,1328,40
20141017,IF1412                        ,6,五矿期货    ,3902,-67,招商期货    ,1561,-9,东吴期货    ,1268,-32
20141017,IF1412                        ,7,中融汇信    ,3853,2389,银河期货    ,1467,72,上海东证    ,1020,2
20141017,IF1412                        ,8,招商期货    ,3295,605,南华期货    ,1414,1,南华期货    ,839,18
20141017,IF1412                        ,9,国泰君安    ,3294,480,鲁证期货    ,1220,16,招商期货    ,807,-42
20141017,IF1412                        ,10,申银万国    ,3289,-905,美尔雅     ,897,756,长江期货    ,740,115
20141017,IF1412                        ,11,浙江中大    ,2799,1545,中信建投    ,888,57,永安期货    ,698,-388
20141017,IF1412                        ,12,永安期货    ,2476,1097,方正中期    ,794,-12,光大期货    ,585,-34
20141017,IF1412                        ,13,宏源期货    ,2425,1267,瑞达期货    ,767,61,广州期货    ,585,-6
20141017,IF1412                        ,14,兴证期货    ,2412,408,申银万国    ,728,-348,新湖期货    ,536,56
20141017,IF1412                        ,15,上海中财    ,2354,-43,北京首创    ,722,121,安信期货    ,530,26
20141017,IF1412                        ,16,华鑫期货    ,2022,1818,广发期货    ,693,99,中信新际    ,456,3
20141017,IF1412                        ,17,银河期货    ,1980,-1161,中粮期货    ,668,-246,方正中期    ,456,-42
20141017,IF1412                        ,18,广发期货    ,1856,324,华泰长城    ,579,-35,财富期货    ,418,-2
20141017,IF1412                        ,19,华泰长城    ,1841,-216,浙商期货    ,527,-76,海通期货    ,415,-185
20141017,IF1412                        ,20,浙商期货    ,1585,-104,国投中谷    ,523,0,格林大华    ,387,25
