交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141024,IF1411                        ,期货公司,1232682,-395750,133232,2690,133232,2690
20141024,IF1411                        ,非期货公司,0,0,0,0,0,0
20141024,IF1412                        ,期货公司,72124,-24174,38500,1116,38500,1116
20141024,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141024,IF1411                        ,1,海通期货    ,78821,-48016,中信期货    ,11154,1348,中信期货    ,17455,2517
20141024,IF1411                        ,2,光大期货    ,67720,-1039,国泰君安    ,9355,-121,海通期货    ,14074,40
20141024,IF1411                        ,3,国泰君安    ,66878,-20985,银河期货    ,7769,-82,国泰君安    ,10957,1171
20141024,IF1411                        ,4,中信期货    ,58241,-6925,永安期货    ,6623,121,南华期货    ,7378,235
20141024,IF1411                        ,5,兴证期货    ,57647,-28926,海通期货    ,6486,743,广发期货    ,6628,45
20141024,IF1411                        ,6,南华期货    ,56098,-16392,浙商期货    ,4738,428,光大期货    ,6558,-32
20141024,IF1411                        ,7,申银万国    ,45195,-15678,方正中期    ,4331,-61,银河期货    ,6031,-321
20141024,IF1411                        ,8,华泰长城    ,41684,-9544,华泰长城    ,4247,2,永安期货    ,4149,-249
20141024,IF1411                        ,9,五矿期货    ,35242,-13337,申银万国    ,3916,-381,财富期货    ,3697,247
20141024,IF1411                        ,10,银河期货    ,32923,-3022,广发期货    ,3400,-56,兴证期货    ,3447,-738
20141024,IF1411                        ,11,方正中期    ,30790,-9419,南华期货    ,3346,45,华泰长城    ,2694,-52
20141024,IF1411                        ,12,中信建投    ,29407,-3935,长江期货    ,3256,88,申银万国    ,2468,-434
20141024,IF1411                        ,13,广发期货    ,27583,-17942,招商期货    ,3211,342,国信期货    ,2428,-24
20141024,IF1411                        ,14,上海东证    ,26946,-9328,上海东证    ,3059,-170,中信建投    ,2412,112
20141024,IF1411                        ,15,招商期货    ,25966,-6682,光大期货    ,2994,-364,格林大华    ,2398,220
20141024,IF1411                        ,16,瑞达期货    ,24747,-9501,中国国际    ,2950,-282,中银国际    ,2376,416
20141024,IF1411                        ,17,鲁证期货    ,23397,-1269,新湖期货    ,2683,-9,上海东证    ,2345,-94
20141024,IF1411                        ,18,华鑫期货    ,22220,-11963,北京首创    ,2281,83,东吴期货    ,2256,-68
20141024,IF1411                        ,19,长江期货    ,20309,-5864,大地期货    ,2099,-59,瑞达期货    ,1950,722
20141024,IF1411                        ,20,永安期货    ,19154,-6136,瑞达期货    ,2077,143,鲁证期货    ,1661,204
20141024,IF1412                        ,1,海通期货    ,6623,-1550,国泰君安    ,6400,-12,中信期货    ,12024,17
20141024,IF1412                        ,2,南华期货    ,5702,-1565,海通期货    ,3754,95,广发期货    ,3489,31
20141024,IF1412                        ,3,中信期货    ,5247,-5083,中信期货    ,2471,464,华泰长城    ,3378,149
20141024,IF1412                        ,4,华西期货    ,4574,-1755,永安期货    ,2128,-31,国泰君安    ,1956,118
20141024,IF1412                        ,5,北京首创    ,3508,3197,银河期货    ,1679,137,银河期货    ,1232,-285
20141024,IF1412                        ,6,五矿期货    ,3298,302,南华期货    ,1558,399,东吴期货    ,1202,-117
20141024,IF1412                        ,7,光大期货    ,2874,-1229,光大期货    ,1523,-15,上海东证    ,977,-104
20141024,IF1412                        ,8,国泰君安    ,2854,-940,招商期货    ,1503,601,中粮期货    ,733,621
20141024,IF1412                        ,9,招商期货    ,2723,-1216,鲁证期货    ,1291,4,南华期货    ,662,-39
20141024,IF1412                        ,10,银河期货    ,2528,-368,浙商期货    ,712,89,光大期货    ,657,-29
20141024,IF1412                        ,11,浙江中大    ,2341,-1310,广发期货    ,671,-8,招商期货    ,640,-42
20141024,IF1412                        ,12,中融汇信    ,2109,41,方正中期    ,664,-107,永安期货    ,614,-8
20141024,IF1412                        ,13,兴证期货    ,1357,-761,北京首创    ,648,32,广州期货    ,584,0
20141024,IF1412                        ,14,国信期货    ,1303,-623,中信建投    ,639,12,格林大华    ,558,58
20141024,IF1412                        ,15,华鑫期货    ,1264,-322,中粮期货    ,607,-37,长江期货    ,550,-4
20141024,IF1412                        ,16,宏源期货    ,1253,-829,华泰长城    ,596,22,美尔雅     ,517,506
20141024,IF1412                        ,17,申银万国    ,1242,-692,瑞达期货    ,596,-10,海通期货    ,501,26
20141024,IF1412                        ,18,华泰长城    ,1181,-87,申银万国    ,530,-245,安信期货    ,499,-65
20141024,IF1412                        ,19,上海中财    ,1098,-278,国投中谷    ,523,-2,国信期货    ,497,15
20141024,IF1412                        ,20,中粮期货    ,912,438,上海中期    ,424,9,中信新际    ,461,1
