交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141107,IF1411                        ,期货公司,2360630,700638,124551,-11186,124551,-11186
20141107,IF1411                        ,非期货公司,0,0,0,0,0,0
20141107,IF1412                        ,期货公司,240914,117200,52208,263,52208,263
20141107,IF1412                        ,非期货公司,0,0,0,0,0,0
20141107,IF1503                        ,期货公司,26316,11218,11443,-40,11443,-40
20141107,IF1503                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141107,IF1411                        ,1,海通期货    ,175661,65943,国泰君安    ,12836,2457,海通期货    ,14216,-47
20141107,IF1411                        ,2,光大期货    ,116845,36160,中信期货    ,11231,-2887,中信期货    ,12232,-1198
20141107,IF1411                        ,3,兴证期货    ,115370,57160,永安期货    ,6479,-1290,国泰君安    ,8953,-507
20141107,IF1411                        ,4,国泰君安    ,111236,27455,海通期货    ,5089,-376,南华期货    ,7632,-441
20141107,IF1411                        ,5,中信期货    ,101889,40000,方正中期    ,5081,-533,广发期货    ,6530,-836
20141107,IF1411                        ,6,南华期货    ,100956,23307,银河期货    ,4670,49,银河期货    ,5571,-904
20141107,IF1411                        ,7,华泰长城    ,90106,32916,光大期货    ,4412,-1061,光大期货    ,4908,-224
20141107,IF1411                        ,8,申银万国    ,77160,25600,新湖期货    ,3698,-17,财富期货    ,4901,-120
20141107,IF1411                        ,9,广发期货    ,75175,6077,申银万国    ,3359,103,永安期货    ,4230,-346
20141107,IF1411                        ,10,方正中期    ,66169,17331,华泰长城    ,3197,-235,国金期货    ,4180,-155
20141107,IF1411                        ,11,五矿期货    ,64502,20660,中国国际    ,3106,-768,兴证期货    ,3207,-433
20141107,IF1411                        ,12,银河期货    ,62083,8100,南华期货    ,2991,215,华泰长城    ,3123,-301
20141107,IF1411                        ,13,上海东证    ,56583,21235,上海东证    ,2911,-305,国信期货    ,2835,-209
20141107,IF1411                        ,14,华鑫期货    ,52680,21890,瑞达期货    ,2701,-185,方正中期    ,2621,-266
20141107,IF1411                        ,15,招商期货    ,48343,17318,长江期货    ,2639,-278,格林大华    ,2274,121
20141107,IF1411                        ,16,瑞达期货    ,47692,11901,一德期货    ,2393,37,上海东证    ,2000,-256
20141107,IF1411                        ,17,中信建投    ,46844,12371,倍特期货    ,2217,-9,中信建投    ,1965,-200
20141107,IF1411                        ,18,大有期货    ,43326,16565,广发期货    ,2167,-683,申银万国    ,1932,-711
20141107,IF1411                        ,19,永安期货    ,42208,16229,宏源期货    ,2105,463,浙商期货    ,1816,567
20141107,IF1411                        ,20,长江期货    ,38009,7449,北京首创    ,2073,-124,招商期货    ,1720,-935
20141107,IF1412                        ,1,中信期货    ,26235,15937,中信期货    ,5605,-2235,中信期货    ,12832,-150
20141107,IF1412                        ,2,海通期货    ,19904,10286,国泰君安    ,5073,-853,广发期货    ,4789,32
20141107,IF1412                        ,3,华西期货    ,17523,8767,永安期货    ,4406,392,华泰长城    ,3752,73
20141107,IF1412                        ,4,南华期货    ,13432,5431,海通期货    ,3266,502,东吴期货    ,3322,132
20141107,IF1412                        ,5,光大期货    ,9990,4431,银河期货    ,2745,142,国泰君安    ,3037,471
20141107,IF1412                        ,6,浙江中大    ,9907,5049,浙商期货    ,2669,-369,银河期货    ,2202,-21
20141107,IF1412                        ,7,五矿期货    ,8365,4070,光大期货    ,1695,173,中银国际    ,1328,242
20141107,IF1412                        ,8,国泰君安    ,7490,2722,大地期货    ,1620,715,光大期货    ,1299,-209
20141107,IF1412                        ,9,申银万国    ,7437,4664,鲁证期货    ,1322,50,南华期货    ,1252,27
20141107,IF1412                        ,10,永安期货    ,6620,3912,瑞达期货    ,964,93,永安期货    ,1180,122
20141107,IF1412                        ,11,宏源期货    ,5819,3561,国投中谷    ,925,213,上海东证    ,1147,8
20141107,IF1412                        ,12,招商期货    ,5672,2559,南华期货    ,909,63,中信建投    ,1023,51
20141107,IF1412                        ,13,北京首创    ,4930,4602,中粮期货    ,897,-50,海通期货    ,892,4
20141107,IF1412                        ,14,上海中财    ,4806,3227,北京首创    ,895,44,广州期货    ,824,-10
20141107,IF1412                        ,15,兴证期货    ,4410,1877,方正中期    ,805,71,招商期货    ,741,-100
20141107,IF1412                        ,16,银河期货    ,4167,705,财富期货    ,800,-2,兴证期货    ,663,-253
20141107,IF1412                        ,17,华泰长城    ,4110,1481,长江期货    ,764,45,长江期货    ,640,102
20141107,IF1412                        ,18,新湖期货    ,4019,2356,宝城期货    ,726,506,安信期货    ,586,-11
20141107,IF1412                        ,19,中融汇信    ,3982,893,华泰长城    ,722,67,美尔雅     ,557,492
20141107,IF1412                        ,20,大有期货    ,3640,2387,申银万国    ,691,-63,申银万国    ,503,-190
20141107,IF1503                        ,1,中信期货    ,6215,3183,中信期货    ,2188,-479,招商期货    ,2307,-15
20141107,IF1503                        ,2,海通期货    ,2328,1269,浙商期货    ,1485,1,中信期货    ,1992,688
20141107,IF1503                        ,3,华西期货    ,2278,1080,方正中期    ,963,2,国泰君安    ,745,21
20141107,IF1503                        ,4,浙江中大    ,1839,659,国泰君安    ,910,15,南华期货    ,650,26
20141107,IF1503                        ,5,招商期货    ,1436,958,银河期货    ,791,104,广发期货    ,505,-46
20141107,IF1503                        ,6,南华期货    ,1353,532,永安期货    ,660,31,新湖期货    ,437,-17
20141107,IF1503                        ,7,兴证期货    ,945,410,鲁证期货    ,305,55,中信建投    ,385,-4
20141107,IF1503                        ,8,广发期货    ,747,258,中信建投    ,261,2,光大期货    ,375,-18
20141107,IF1503                        ,9,申银万国    ,699,424,北京首创    ,232,1,上海东证    ,289,23
20141107,IF1503                        ,10,新湖期货    ,601,183,广发期货    ,196,11,浙江中大    ,243,-4
20141107,IF1503                        ,11,华泰长城    ,519,222,光大期货    ,192,24,国信期货    ,236,13
20141107,IF1503                        ,12,安信期货    ,490,383,南华期货    ,187,-1,银河期货    ,209,-4
20141107,IF1503                        ,13,银河期货    ,440,187,华泰长城    ,181,43,海通期货    ,196,-29
20141107,IF1503                        ,14,国泰君安    ,438,-172,申银万国    ,152,14,东海期货    ,195,11
20141107,IF1503                        ,15,国信期货    ,361,242,招商期货    ,144,-13,华泰长城    ,187,-98
20141107,IF1503                        ,16,五矿期货    ,264,79,金瑞期货    ,127,30,申银万国    ,180,-49
20141107,IF1503                        ,17,鲁证期货    ,246,75,东海期货    ,120,8,鲁证期货    ,174,27
20141107,IF1503                        ,18,金瑞期货    ,246,150,海通期货    ,118,-3,中信新际    ,151,-1
20141107,IF1503                        ,19,中融汇信    ,244,161,上海浙石    ,115,-2,方正中期    ,131,13
20141107,IF1503                        ,20,浙商期货    ,237,-602,五矿期货    ,107,11,华西期货    ,131,5
