交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141203,IF1412                        ,期货公司,4255668,568832,163644,450,163644,450
20141203,IF1412                        ,非期货公司,0,0,0,0,0,0
20141203,IF1501                        ,期货公司,149752,63510,14656,2814,14656,2814
20141203,IF1501                        ,非期货公司,0,0,0,0,0,0
20141203,IF1503                        ,期货公司,163830,33220,24321,1597,24321,1597
20141203,IF1503                        ,非期货公司,0,0,0,0,0,0
20141203,IF1506                        ,期货公司,37528,4990,11708,-327,11708,-327
20141203,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141203,IF1412                        ,1,海通期货    ,358372,68069,中信期货    ,17717,4632,中信期货    ,20465,-2954
20141203,IF1412                        ,2,兴证期货    ,293137,89048,国泰君安    ,15633,1829,海通期货    ,16455,3007
20141203,IF1412                        ,3,广发期货    ,227575,75487,银河期货    ,7692,338,国泰君安    ,11514,-55
20141203,IF1412                        ,4,国泰君安    ,210650,38794,永安期货    ,7619,290,广发期货    ,8423,-554
20141203,IF1412                        ,5,华泰长城    ,169330,22351,光大期货    ,6266,-364,南华期货    ,7951,726
20141203,IF1412                        ,6,南华期货    ,159994,9789,海通期货    ,6255,-3143,银河期货    ,7523,-96
20141203,IF1412                        ,7,光大期货    ,155314,-2241,方正中期    ,6143,447,华泰长城    ,5514,-708
20141203,IF1412                        ,8,中信期货    ,152344,-5176,浙商期货    ,5165,680,招商期货    ,5384,1148
20141203,IF1412                        ,9,申银万国    ,133824,3268,中国国际    ,4159,-38,财富期货    ,5267,1133
20141203,IF1412                        ,10,银河期货    ,112746,8979,新湖期货    ,4130,-79,永安期货    ,5173,-1130
20141203,IF1412                        ,11,招商期货    ,102970,6117,上海东证    ,3910,667,光大期货    ,4524,-406
20141203,IF1412                        ,12,上海东证    ,99389,14791,华泰长城    ,3611,-400,安信期货    ,3755,492
20141203,IF1412                        ,13,方正中期    ,90709,1194,鲁证期货    ,3609,224,申银万国    ,3712,155
20141203,IF1412                        ,14,瑞达期货    ,88603,2212,长江期货    ,3078,348,国信期货    ,3381,-16
20141203,IF1412                        ,15,大有期货    ,87532,13752,招商期货    ,2621,282,鲁证期货    ,3055,545
20141203,IF1412                        ,16,五矿期货    ,86429,-455,一德期货    ,2565,-80,中信建投    ,2906,-276
20141203,IF1412                        ,17,永安期货    ,60240,6535,宏源期货    ,2480,-152,兴证期货    ,2750,423
20141203,IF1412                        ,18,中信建投    ,59656,12533,南华期货    ,2468,-330,国金期货    ,2657,-2223
20141203,IF1412                        ,19,浙商期货    ,58951,4138,申银万国    ,2421,-571,上海东证    ,2641,-352
20141203,IF1412                        ,20,华鑫期货    ,57934,-2441,瑞达期货    ,2405,17,瑞达期货    ,2372,-26
20141203,IF1501                        ,1,华西期货    ,15620,6678,中信期货    ,1834,1197,中信期货    ,2736,-964
20141203,IF1501                        ,2,海通期货    ,14731,6954,海通期货    ,1560,967,华泰长城    ,2610,1377
20141203,IF1501                        ,3,中信期货    ,12383,3436,瑞达期货    ,981,-70,东吴期货    ,2084,372
20141203,IF1501                        ,4,浙江中大    ,9715,4018,国泰君安    ,748,128,浙商期货    ,1243,-8
20141203,IF1501                        ,5,南华期货    ,9472,3500,永安期货    ,713,294,国信期货    ,1191,94
20141203,IF1501                        ,6,新湖期货    ,8970,5560,浙商期货    ,631,334,国泰君安    ,750,530
20141203,IF1501                        ,7,招商期货    ,8449,3950,北京首创    ,543,363,申银万国    ,368,291
20141203,IF1501                        ,8,兴证期货    ,4958,1714,银河期货    ,511,192,上海东证    ,295,92
20141203,IF1501                        ,9,国泰君安    ,4448,1774,方正中期    ,402,-27,安信期货    ,244,34
20141203,IF1501                        ,10,宏源期货    ,4348,1431,中辉期货    ,350,154,广发期货    ,226,113
20141203,IF1501                        ,11,银河期货    ,3612,2271,冠通期货    ,343,28,财富期货    ,200,0
20141203,IF1501                        ,12,光大期货    ,2917,891,中国国际    ,334,229,银河期货    ,186,50
20141203,IF1501                        ,13,申银万国    ,2832,757,新湖期货    ,328,305,永安期货    ,147,90
20141203,IF1501                        ,14,新纪元     ,2779,2771,南证期货    ,324,111,光大期货    ,142,82
20141203,IF1501                        ,15,国信期货    ,2648,806,南华期货    ,291,36,海通期货    ,138,76
20141203,IF1501                        ,16,浙商期货    ,2616,1145,光大期货    ,256,157,瑞达期货    ,131,77
20141203,IF1501                        ,17,华泰长城    ,2519,1542,上海大陆    ,250,32,南华期货    ,115,-56
20141203,IF1501                        ,18,五矿期货    ,2122,1165,上海中期    ,238,25,宝城期货    ,107,103
