交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141216,IF1412                        ,期货公司,2575790,406204,80765,-28745,80765,-28745
20141216,IF1412                        ,非期货公司,0,0,0,0,0,0
20141216,IF1501                        ,期货公司,992974,484916,104753,14629,104753,14629
20141216,IF1501                        ,非期货公司,0,0,0,0,0,0
20141216,IF1503                        ,期货公司,158604,56042,37982,3204,37982,3204
20141216,IF1503                        ,非期货公司,0,0,0,0,0,0
20141216,IF1506                        ,期货公司,46344,17068,15274,109,15274,109
20141216,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141216,IF1412                        ,1,海通期货    ,212313,40162,中信期货    ,7281,-1290,中信期货    ,8178,-1974
20141216,IF1412                        ,2,光大期货    ,133263,16075,国泰君安    ,6823,-2785,国泰君安    ,7819,26
20141216,IF1412                        ,3,南华期货    ,127607,20155,银河期货    ,5279,-662,银河期货    ,5357,-1224
20141216,IF1412                        ,4,国泰君安    ,125261,19645,方正中期    ,4711,-21,海通期货    ,5048,-1053
20141216,IF1412                        ,5,兴证期货    ,105688,15368,上海东证    ,3663,100,广发期货    ,4237,-2268
20141216,IF1412                        ,6,华泰长城    ,103471,12015,光大期货    ,3091,-3152,华泰长城    ,3752,-1428
20141216,IF1412                        ,7,申银万国    ,95958,16058,海通期货    ,3009,-2402,招商期货    ,3300,-535
20141216,IF1412                        ,8,中信期货    ,94598,18394,华泰长城    ,2663,135,财富期货    ,3180,-2248
20141216,IF1412                        ,9,招商期货    ,89453,7196,兴证期货    ,2579,-563,鲁证期货    ,3097,-473
20141216,IF1412                        ,10,广发期货    ,77866,15292,申银万国    ,2502,-176,南华期货    ,2916,-977
20141216,IF1412                        ,11,银河期货    ,65436,14171,中国国际    ,2502,-1533,兴证期货    ,2841,-1239
20141216,IF1412                        ,12,上海东证    ,60189,10862,中辉期货    ,2383,18,光大期货    ,2409,-739
20141216,IF1412                        ,13,方正中期    ,59330,7567,瑞达期货    ,2036,575,中信建投    ,2187,-351
20141216,IF1412                        ,14,五矿期货    ,57330,16007,北京首创    ,2013,-78,申银万国    ,2108,-950
20141216,IF1412                        ,15,瑞达期货    ,54594,13511,永安期货    ,2002,-2839,方正中期    ,2025,-649
20141216,IF1412                        ,16,大有期货    ,54000,17025,浙商期货    ,1971,-1444,国信期货    ,1429,-368
20141216,IF1412                        ,17,中信新际    ,49767,5880,鲁证期货    ,1868,-81,永安期货    ,1072,-1160
20141216,IF1412                        ,18,华鑫期货    ,47923,-3005,长江期货    ,1841,-69,国金期货    ,940,-179
20141216,IF1412                        ,19,鲁证期货    ,41418,1609,中粮期货    ,1736,-671,金瑞期货    ,933,-167
20141216,IF1412                        ,20,国投中谷    ,40692,18691,新湖期货    ,1622,-103,上海东证    ,919,-421
20141216,IF1501                        ,1,海通期货    ,124933,75500,中信期货    ,13525,2194,中信期货    ,16259,1300
20141216,IF1501                        ,2,华西期货    ,75155,24628,永安期货    ,8971,-861,海通期货    ,11529,1246
20141216,IF1501                        ,3,中信期货    ,60424,15473,海通期货    ,6613,2049,广发期货    ,5991,-890
20141216,IF1501                        ,4,招商期货    ,45526,21886,国泰君安    ,5937,-577,永安期货    ,4950,1417
20141216,IF1501                        ,5,国泰君安    ,44691,23901,浙商期货    ,5259,1231,华泰长城    ,4549,413
20141216,IF1501                        ,6,南华期货    ,37018,15355,光大期货    ,3771,894,申银万国    ,3874,358
20141216,IF1501                        ,7,申银万国    ,31980,18121,银河期货    ,3641,517,国泰君安    ,3824,178
20141216,IF1501                        ,8,光大期货    ,29169,11675,华泰长城    ,2781,1719,财富期货    ,3787,1908
20141216,IF1501                        ,9,华泰长城    ,28260,21185,宝城期货    ,2500,811,银河期货    ,3402,913
20141216,IF1501                        ,10,华鑫期货    ,26527,13283,申银万国    ,2081,1160,国金期货    ,3274,35
20141216,IF1501                        ,11,五矿期货    ,24617,16898,北京首创    ,1991,203,南华期货    ,3113,702
20141216,IF1501                        ,12,兴证期货    ,22688,11629,方正中期    ,1885,-2599,光大期货    ,3085,389
20141216,IF1501                        ,13,新湖期货    ,22425,9273,大地期货    ,1785,93,上海东证    ,3040,66
20141216,IF1501                        ,14,银河期货    ,21340,9700,中投天琪    ,1750,1492,国信期货    ,2811,275
20141216,IF1501                        ,15,永安期货    ,19400,8442,鲁证期货    ,1685,282,东吴期货    ,2311,-23
20141216,IF1501                        ,16,浙商期货    ,18498,10312,南华期货    ,1589,390,兴证期货    ,2307,1399
20141216,IF1501                        ,17,方正中期    ,17771,9997,锦泰期货    ,1553,1486,鲁证期货    ,2217,302
20141216,IF1501                        ,18,广发期货    ,17554,9777,东兴期货    ,1522,-91,东海期货    ,1795,1054
20141216,IF1501                        ,19,上海东证    ,14788,7898,一德期货    ,1515,-501,五矿期货    ,1229,448
20141216,IF1501                        ,20,国信期货    ,14648,10448,中国国际    ,1510,213,瑞达期货    ,1184,100
20141216,IF1503                        ,1,华西期货    ,24955,7210,中信期货    ,6218,3628,中信期货    ,8469,177
20141216,IF1503                        ,2,海通期货    ,16934,6171,永安期货    ,3924,638,国泰君安    ,4576,189
20141216,IF1503                        ,3,中信期货    ,13857,4333,国泰君安    ,2251,472,招商期货    ,3680,9
20141216,IF1503                        ,4,招商期货    ,7869,6669,倍特期货    ,1474,299,海通期货    ,3102,0
20141216,IF1503                        ,5,新湖期货    ,6368,1316,海通期货    ,1441,100,华泰长城    ,2509,76
20141216,IF1503                        ,6,南华期货    ,4705,1247,一德期货    ,1357,-19,广发期货    ,2132,1015
20141216,IF1503                        ,7,国泰君安    ,4635,2509,光大期货    ,1333,-597,上海东证    ,1063,-3
20141216,IF1503                        ,8,五矿期货    ,3880,2237,申银万国    ,1095,120,兴证期货    ,965,-45
20141216,IF1503                        ,9,广发期货    ,3758,2286,银河期货    ,1049,64,方正中期    ,900,356
20141216,IF1503                        ,10,申银万国    ,3419,1472,瑞达期货    ,992,-3,长江期货    ,845,394
20141216,IF1503                        ,11,浙江中大    ,3393,1132,安信期货    ,889,25,永安期货    ,631,80
20141216,IF1503                        ,12,浙商期货    ,3339,1422,浙商期货    ,874,-817,华西期货    ,612,31
20141216,IF1503                        ,13,永安期货    ,3104,1053,鲁证期货    ,765,22,银河期货    ,545,267
20141216,IF1503                        ,14,华鑫期货    ,2987,289,中银国际    ,764,301,瑞达期货    ,514,105
20141216,IF1503                        ,15,兴证期货    ,2737,-347,中投天琪    ,716,50,中信建投    ,506,100
20141216,IF1503                        ,16,上海东证    ,2630,1279,上海东证    ,686,43,浙商期货    ,433,42
20141216,IF1503                        ,17,光大期货    ,2469,1576,华泰长城    ,680,35,安信期货    ,425,7
20141216,IF1503                        ,18,华泰长城    ,2397,356,中信建投    ,625,-88,格林大华    ,412,98
20141216,IF1503                        ,19,方正中期    ,2315,1066,金元期货    ,612,2,南华期货    ,384,53
20141216,IF1503                        ,20,银河期货    ,2211,921,宏源期货    ,605,12,新湖期货    ,382,40
20141216,IF1506                        ,1,华西期货    ,6395,1710,上海东证    ,1368,-2,招商期货    ,3233,12
20141216,IF1506                        ,2,海通期货    ,5491,1399,永安期货    ,1181,152,国泰君安    ,2334,-133
20141216,IF1506                        ,3,新湖期货    ,4102,2939,中投天琪    ,738,12,广发期货    ,1691,-18
20141216,IF1506                        ,4,中信期货    ,3443,421,金元期货    ,692,9,南华期货    ,1323,14
20141216,IF1506                        ,5,南华期货    ,1522,388,申银万国    ,655,83,中信期货    ,1062,-90
20141216,IF1506                        ,6,美尔雅     ,1409,415,金瑞期货    ,653,27,光大期货    ,698,121
20141216,IF1506                        ,7,华鑫期货    ,1213,686,中信期货    ,627,39,上海东证    ,595,-16
