交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141218,IF1412                        ,期货公司,461444,-1357542,12324,-12671,12324,-12671
20141218,IF1412                        ,非期货公司,0,0,0,0,0,0
20141218,IF1501                        ,期货公司,2883256,499430,159109,11363,159109,11363
20141218,IF1501                        ,非期货公司,0,0,0,0,0,0
20141218,IF1503                        ,期货公司,183838,-8464,49944,5633,49944,5633
20141218,IF1503                        ,非期货公司,0,0,0,0,0,0
20141218,IF1506                        ,期货公司,75604,10698,19330,1677,19330,1677
20141218,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141218,IF1412                        ,1,海通期货    ,51239,-115454,中信期货    ,1177,-3922,国泰君安    ,1505,-493
20141218,IF1412                        ,2,华西期货    ,44995,-21028,光大期货    ,902,-523,中信期货    ,1343,-1292
20141218,IF1412                        ,3,招商期货    ,21546,-57196,瑞达期货    ,837,219,招商期货    ,961,-862
20141218,IF1412                        ,4,南华期货    ,19525,-64103,申银万国    ,728,-333,申银万国    ,698,-294
20141218,IF1412                        ,5,中信期货    ,18608,-39485,安信期货    ,602,-9,银河期货    ,605,-721
20141218,IF1412                        ,6,华鑫期货    ,16097,-4581,鲁证期货    ,581,-82,海通期货    ,601,-545
20141218,IF1412                        ,7,新湖期货    ,14411,-19035,华泰长城    ,562,-112,华泰长城    ,524,-557
20141218,IF1412                        ,8,国泰君安    ,14383,-61955,浙商期货    ,465,-912,鲁证期货    ,502,-429
20141218,IF1412                        ,9,方正中期    ,14062,-39842,永安期货    ,417,-482,宏源期货    ,347,-54
20141218,IF1412                        ,10,光大期货    ,13868,-55385,国泰君安    ,402,-302,永安期货    ,322,-211
