交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141222,IF1501                        ,期货公司,3262794,164668,157058,-5430,157058,-5430
20141222,IF1501                        ,非期货公司,0,0,0,0,0,0
20141222,IF1503                        ,期货公司,219126,-6802,48098,279,48098,279
20141222,IF1503                        ,非期货公司,0,0,0,0,0,0
20141222,IF1506                        ,期货公司,86812,-8754,20827,-243,20827,-243
20141222,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141222,IF1501                        ,1,海通期货    ,241941,-877,中信期货    ,16442,-1553,中信期货    ,18485,-3274
20141222,IF1501                        ,2,中信期货    ,169783,63107,国泰君安    ,12593,526,海通期货    ,15324,194
20141222,IF1501                        ,3,国泰君安    ,168077,16429,银河期货    ,8715,924,国泰君安    ,11803,629
20141222,IF1501                        ,4,光大期货    ,158885,7632,永安期货    ,8116,-876,广发期货    ,9021,-788
20141222,IF1501                        ,5,南华期货    ,157172,8812,方正中期    ,8018,-639,银河期货    ,7178,-1089
20141222,IF1501                        ,6,华泰长城    ,150387,20135,光大期货    ,7161,45,财富期货    ,6795,201
20141222,IF1501                        ,7,兴证期货    ,139155,6746,海通期货    ,5833,-2171,华泰长城    ,6063,578
20141222,IF1501                        ,8,招商期货    ,127806,-12629,中国国际    ,4629,-452,永安期货    ,5580,260
20141222,IF1501                        ,9,申银万国    ,114108,6236,招商期货    ,4352,1676,申银万国    ,4961,-297
20141222,IF1501                        ,10,广发期货    ,102378,5583,鲁证期货    ,4073,32,光大期货    ,4782,4
20141222,IF1501                        ,11,银河期货    ,77723,6824,上海东证    ,4006,-319,南华期货    ,4648,-408
20141222,IF1501                        ,12,方正中期    ,73004,-637,北京首创    ,3824,-314,国金期货    ,4243,-317
20141222,IF1501                        ,13,上海东证    ,64704,725,申银万国    ,3492,113,上海东证    ,3519,-267
20141222,IF1501                        ,14,五矿期货    ,63284,3771,浙商期货    ,3359,139,鲁证期货    ,3402,77
20141222,IF1501                        ,15,瑞达期货    ,60934,5452,新湖期货    ,3267,-39,兴证期货    ,3341,-1090
20141222,IF1501                        ,16,永安期货    ,58092,1042,华泰长城    ,3246,171,国信期货    ,3330,-273
20141222,IF1501                        ,17,大有期货    ,57996,4516,瑞达期货    ,2917,540,中信建投    ,3009,-376
20141222,IF1501                        ,18,鲁证期货    ,54831,8343,兴证期货    ,2826,27,格林大华    ,1873,508
20141222,IF1501                        ,19,华鑫期货    ,54060,-731,长江期货    ,2613,186,方正中期    ,1840,519
20141222,IF1501                        ,20,国投中谷    ,45619,13574,中辉期货    ,2547,-95,东吴期货    ,1835,-495
20141222,IF1503                        ,1,海通期货    ,25381,-2374,中信期货    ,9224,40,中信期货    ,10027,880
20141222,IF1503                        ,2,华西期货    ,21954,-4033,国泰君安    ,4145,928,国泰君安    ,5736,277
20141222,IF1503                        ,3,招商期货    ,16409,8601,永安期货    ,2739,-574,海通期货    ,4702,-187
20141222,IF1503                        ,4,华鑫期货    ,12671,4489,光大期货    ,2385,2,招商期货    ,4067,-42
20141222,IF1503                        ,5,中信期货    ,11876,-1551,一德期货    ,1737,310,广发期货    ,2477,-515
20141222,IF1503                        ,6,国泰君安    ,9289,-1840,倍特期货    ,1542,33,华泰长城    ,1823,461
20141222,IF1503                        ,7,南华期货    ,8730,2110,申银万国    ,1266,-62,永安期货    ,1586,-39
20141222,IF1503                        ,8,光大期货    ,8594,-5199,瑞达期货    ,1168,-63,兴证期货    ,1358,-59
20141222,IF1503                        ,9,新湖期货    ,8304,4737,海通期货    ,1162,-148,上海东证    ,1319,-34
20141222,IF1503                        ,10,申银万国    ,6950,66,方正中期    ,1088,152,东吴期货    ,1127,-27
20141222,IF1503                        ,11,五矿期货    ,6583,923,招商期货    ,1082,223,银河期货    ,1082,-40
20141222,IF1503                        ,12,永安期货    ,5903,2195,格林大华    ,1048,24,方正中期    ,1062,-236
20141222,IF1503                        ,13,兴证期货    ,4447,676,上海东证    ,1046,32,南华期货    ,1051,151
20141222,IF1503                        ,14,广发期货    ,4052,86,中银国际    ,1037,-19,长江期货    ,859,-11
20141222,IF1503                        ,15,浙商期货    ,3892,-369,北京首创    ,997,-12,瑞达期货    ,654,-154
20141222,IF1503                        ,16,大有期货    ,3463,-2135,中粮期货    ,875,41,五矿期货    ,565,-179
20141222,IF1503                        ,17,华泰长城    ,3361,-3944,安信期货    ,861,10,中信建投    ,557,9
20141222,IF1503                        ,18,银河期货    ,3151,-498,五矿期货    ,827,-76,鲁证期货    ,523,14
20141222,IF1503                        ,19,上海东证    ,2820,255,南华期货    ,803,-241,申银万国    ,509,-236
20141222,IF1503                        ,20,浙江中大    ,2466,811,鲁证期货    ,788,-9,光大期货    ,474,244
